problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,2/1/0,6.6,1.3,32.0,0.3
30n20b8,3,0/0/3,265.0,17.4,1042.6,224.6
50v-10,3,0/3/0,134.9,0.2,21.7,0.3
CMS750_4,3,3/0/0,87.0,3.3,65.2,16.0
a1c1s1,3,3/0/0,41.8,0.2,31.3,1.3
academictimetablesmall,3,0/0/3,inf,2193.6,877.3,0.0
aflow30a,3,3/0/0,169.6,0.1,33.2,2.1
aflow40b,3,3/0/0,323.2,0.2,36.5,4.2
air04,3,3/0/0,2.7,17.8,5.5,0.0
air05,3,3/0/0,2.5,4.5,7.4,0.0
app1-1,3,3/0/0,0.0,0.2,34.6,3.8
app1-2,3,3/0/0,45.5,10.4,53.5,14.5
arki001,3,0/1/2,2.4,12.0,777.6,180.9
assign1-5-8,3,3/0/0,8.4,0.1,5.0,0.0
atlanta-ip,3,0/3/0,14.7,37.2,12.1,0.0
b1c1s1,3,3/0/0,116.0,0.2,34.0,4.0
bab2,3,1/0/2,56.1,1674.4,519.6,92.0
bab6,3,3/0/0,53.6,193.0,121.0,16.6
beasleyC3,3,3/0/0,11.8,0.1,35.0,4.8
binkar10_1,3,3/0/0,2.3,0.1,10.3,0.0
blp-ar98,3,3/0/0,61.6,1.2,9.3,0.0
blp-ic98,3,3/0/0,19.9,0.7,4.0,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,3/0/0,31.8,0.1,5.6,0.0
brazil3,3,0/3/0,1100.5,55.3,46.7,0.3
buildingenergy,3,0/3/0,1.0,1186.8,3.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,1.9,32.3,1.9
chromaticindex1024-7,3,3/0/0,0.0,32.2,4.6,0.0
chromaticindex512-7,3,3/0/0,0.0,9.5,4.2,0.0
cmflsp50-24-8-8,3,0/0/3,20.9,235.4,1211.0,353.1
co-100,3,3/0/0,377.2,3.3,16.8,0.0
cod105,3,3/0/0,100.0,2.0,1.0,0.0
comp07-2idx,3,0/3/0,3070.0,20.8,50.9,1.3
comp21-2idx,3,0/3/0,508.0,30.4,59.6,0.6
cost266-UUE,3,3/0/0,44.9,0.5,22.0,0.3
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/0/3,72.6,5.9,924.1,206.8
csched008,3,1/2/0,9.1,0.7,152.4,39.5
cvs16r128-89,3,3/0/0,97.9,0.1,1.0,0.0
dano3_3,3,3/0/0,0.0,70.3,2.0,0.0
dano3_5,3,3/0/0,0.3,69.4,2.0,0.0
dano3mip,3,3/0/0,15.4,105.2,5.0,0.0
danoint,3,3/0/0,25.0,0.4,50.4,5.6
disctom,3,3/0/0,0.0,2.4,3.0,0.0
drayage-100-23,3,3/0/0,33.4,0.2,9.0,0.0
drayage-25-23,3,3/0/0,25.1,0.2,12.8,0.0
ds,0,0/0/0,-,-,-,-
dws008-01,3,0/0/3,82.5,42.4,707.9,182.8
eil33-2,3,2/1/0,53.4,4.2,68.0,4.6
eilA101-2,1,0/0/1,466.4,3460.9,688.0,4.0
enlight_hard,3,0/0/3,0.0,0.8,803.8,409.6
exp-1-500-5-5,3,3/0/0,133.9,0.1,15.5,0.0
fast0507,3,3/0/0,23.8,1.6,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,597.2,0.2,37.3,1.3
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,18.1,0.7,7.5,0.0
fiber,3,3/0/0,173.2,0.1,1.0,0.0
fixnet6,3,3/0/0,34.7,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,15.0,0.1,1.3,0.0
germanrr,3,0/3/0,2.6,4.0,21.5,0.3
gesa2-o,3,0/3/0,22.4,0.1,36.0,1.9
gesa2,3,0/3/0,2.3,0.1,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.2,1.0,0.0
glass4,3,3/0/0,338.3,0.1,72.7,29.9
gmu-35-40,3,3/0/0,2.5,0.3,120.0,29.2
gmu-35-50,3,3/0/0,2.5,0.1,35.9,1.4
graph20-20-1rand,3,3/0/0,16.1,3.8,14.3,0.0
graphdraw-domain,3,0/3/0,54.9,0.1,22.1,1.2
h80x6320d,3,3/0/0,34.6,1.4,33.3,2.2
harp2,3,3/0/0,12.0,0.1,14.5,0.0
highschool1-aigio,3,0/3/0,inf,829.9,55.8,0.3
hypothyroid-k1,3,3/0/0,0.0,31.4,1.0,0.0
ic97p,3,0/0/3,12.3,2.7,875.6,211.1
ic97t,2,0/2/0,12.0,0.4,340.8,110.9
icir97p,3,0/0/3,20.3,17.9,1257.1,222.8
icir97t,3,0/3/0,12.8,1.9,136.5,75.1
irish-electricity,3,0/0/3,41.5,996.0,782.5,5.3
irp,3,3/0/0,3.0,1.7,20.1,0.6
istanbul-no-cutoff,3,3/0/0,24.9,4.3,12.7,0.0
k1mushroom,3,3/0/0,18.2,26.1,1.0,0.0
lectsched-5-obj,3,0/0/3,2526.0,131.5,1301.0,0.3
leo1,3,3/0/0,50.6,0.2,1.0,0.0
leo2,3,3/0/0,48.3,0.2,1.0,0.0
liu,3,3/0/0,410.2,0.1,14.6,0.0
lotsize,3,3/0/0,220.6,0.3,42.3,7.6
mad,3,3/0/0,9829.7,0.1,15.3,0.0
manna81,3,0/3/0,1.1,0.1,2.6,0.0
map10,3,3/0/0,66.2,26.4,8.0,0.0
map16715-04,3,3/0/0,85.0,32.9,8.7,0.0
markshare1,3,3/0/0,58961.3,0.1,51.6,8.2
markshare2,3,3/0/0,49263.2,0.1,53.0,8.3
markshare_4_0,3,3/0/0,25992.0,0.1,48.2,8.1
mas74,3,0/3/0,41.6,0.1,7.2,0.0
mas76,3,0/3/0,14.0,0.1,4.6,0.0
mc11,3,3/0/0,116.3,0.4,43.0,13.0
mcsched,3,3/0/0,23.7,0.2,4.3,0.0
mik-250-20-75-4,3,0/3/0,2.2,0.1,6.3,0.0
milo-v12-6-r2-40-1,3,3/0/0,143.4,1.4,41.3,11.3
misc07,3,3/0/0,46.3,0.1,24.4,0.6
mkc,3,0/3/0,70.8,0.1,2.0,0.0
mod011,0,0/0/0,-,-,-,-
modglob,3,3/0/0,50.8,0.1,5.6,0.0
momentum1,3,0/2/1,259.7,186.0,1463.5,1280.7
msc98-ip,3,0/3/0,18.7,1.7,9.9,0.0
mushroom-best,3,0/3/0,8.22e+06,30.6,83.3,28.3
mzzv11,3,0/3/0,19.7,1.7,12.6,0.0
mzzv42z,3,0/3/0,18.8,1.1,5.6,0.0
n2seq36q,3,3/0/0,5.9,0.5,3.0,0.0
n3div36,3,3/0/0,43.5,0.3,1.0,0.0
n5-3,3,0/3/0,24.2,0.3,20.4,0.0
neos-1122047,3,3/0/0,0.6,0.3,1.0,0.0
neos-1171448,3,3/0/0,4.9,1.9,3.6,0.0
neos-1171737,3,3/0/0,13.4,0.5,3.9,0.0
neos-1354092,3,0/3/0,15.1,73.6,26.0,0.0
neos-1445765,3,3/0/0,16.5,1.6,7.6,0.0
neos-1456979,3,0/1/2,107.7,22.7,373.5,60.1
neos-1582420,3,0/3/0,80.7,1.2,132.4,18.6
neos-2657525-crna,3,0/3/0,1076.3,0.1,41.7,2.3
neos-2746589-doon,3,0/0/3,49.2,221.8,685.7,269.5
neos-2978193-inde,3,3/0/0,15.7,0.1,4.2,0.0
neos-2987310-joes,3,3/0/0,0.5,13.1,57.2,14.3
neos-3004026-krka,2,0/0/2,0.0,86.2,1322.7,2.2
neos-3024952-loue,3,0/1/2,740.7,37.8,1112.6,26.8
neos-3046615-murg,3,0/3/0,33.1,0.1,15.0,0.0
neos-3083819-nubu,3,0/3/0,0.8,0.1,1.0,0.0
neos-3216931-puriri,0,0/0/0,-,-,-,-
neos-3381206-awhea,3,0/0/3,4.9,11.4,1087.1,0.3
neos-3402294-bobin,3,3/0/0,420.4,27.7,19.9,0.0
neos-3555904-turama,3,0/1/2,4.3,2839.4,508.3,94.2
neos-3627168-kasai,3,3/0/0,2.4,0.1,20.4,0.0
neos-3656078-kumeu,0,0/0/0,-,-,-,-
neos-3754480-nidda,3,3/0/0,33.0,0.1,10.7,0.0
neos-4300652-rahue,3,0/0/3,206.4,885.8,716.2,0.4
neos-4338804-snowy,3,0/3/0,1.29e+05,0.5,163.8,37.5
neos-4387871-tavua,3,0/0/3,677.1,14.5,912.9,483.3
neos-4413714-turia,3,3/0/0,168.2,55.7,8.3,0.0
neos-4532248-waihi,3,0/0/3,949.4,720.5,767.0,43.4
neos-4647030-tutaki,3,3/0/0,99.9,20.2,15.1,0.0
neos-4722843-widden,3,0/3/0,37.9,16.8,45.9,7.9
neos-4738912-atrato,3,0/3/0,11.1,0.3,13.4,0.3
neos-4763324-toguru,3,3/0/0,50.6,57.0,8.0,0.0
neos-4954672-berkel,3,3/0/0,94.6,0.1,11.6,0.0
neos-5049753-cuanza,3,0/1/2,57.2,923.9,699.8,114.3
neos-5052403-cygnet,3,3/0/0,0.3,70.0,2.0,0.0
neos-5093327-huahum,3,3/0/0,47.9,5.6,35.8,4.2
neos-5104907-jarama,0,0/0/0,-,-,-,-
neos-5107597-kakapo,3,1/2/0,38596.2,21.6,433.4,391.8
neos-5114902-kasavu,0,0/0/0,-,-,-,-
neos-5188808-nattai,3,3/0/0,4474.0,4.0,20.3,0.0
neos-5195221-niemur,3,3/0/0,897.7,32.5,20.3,0.0
neos-631710,3,3/0/0,173.9,1.6,1.0,0.0
neos-662469,3,0/3/0,1527.8,3.9,2.9,0.0
neos-787933,3,0/3/0,0.0,0.1,1.0,0.0
neos-827175,3,3/0/0,0.4,0.9,2.3,0.0
neos-848589,3,3/0/0,3.32e+05,57.4,73.3,23.0
neos-860300,3,3/0/0,55.0,0.5,10.5,0.0
neos-873061,3,3/0/0,52.2,54.2,31.3,1.3
