problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,0/2/1,5.2,14.5,565.7,66.9
30n20b8,3,0/1/2,194.3,18.2,1073.8,219.3
50v-10,3,0/3/0,131.4,0.2,20.4,0.0
CMS750_4,3,3/0/0,67.8,6.6,137.2,23.0
a1c1s1,3,3/0/0,27.4,0.2,32.3,2.3
academictimetablesmall,3,0/0/3,inf,1842.6,1031.5,0.3
aflow30a,3,3/0/0,154.6,0.1,66.2,16.3
aflow40b,3,2/1/0,226.9,0.5,99.2,27.7
air04,3,3/0/0,0.7,19.6,11.9,0.0
air05,3,3/0/0,1.8,4.5,7.3,0.0
app1-1,3,3/0/0,33.3,0.2,36.0,3.3
app1-2,3,3/0/0,45.5,11.5,55.0,16.3
arki001,3,0/2/1,2.3,7.9,639.1,173.2
assign1-5-8,3,3/0/0,1.1,0.1,24.0,0.0
atlanta-ip,3,0/3/0,44.2,55.9,152.9,22.7
b1c1s1,3,3/0/0,145.4,0.2,34.0,4.0
bab2,3,0/0/3,59.8,1379.6,1405.6,213.7
bab6,3,0/0/3,37.9,511.4,963.9,70.7
beasleyC3,3,3/0/0,11.7,0.1,35.7,5.6
binkar10_1,3,3/0/0,3.9,0.1,4.9,0.0
blp-ar98,3,3/0/0,64.2,1.4,13.3,0.0
blp-ic98,3,3/0/0,21.2,1.0,7.0,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,3/0/0,24.6,0.4,61.7,8.3
brazil3,3,0/3/0,286.4,29.2,24.3,0.0
buildingenergy,1,0/1/0,0.6,3155.3,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,inf,1.7,31.3,1.3
chromaticindex1024-7,3,3/0/0,0.0,6.3,2.0,0.0
chromaticindex512-7,3,3/0/0,0.0,3.2,2.0,0.0
cmflsp50-24-8-8,3,2/0/1,18.5,65.8,293.4,79.7
co-100,3,3/0/0,346.5,2.8,14.3,0.0
cod105,3,3/0/0,100.0,2.0,1.0,0.0
comp07-2idx,3,0/3/0,3990.8,16.7,25.9,0.0
comp21-2idx,3,0/3/0,341.5,14.8,26.7,0.0
