problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,1/1/1,6.1,4.2,130.9,8.5
30n20b8,3,0/3/0,406.6,12.7,769.6,127.0
50v-10,3,0/3/0,138.0,0.1,19.3,0.0
CMS750_4,3,3/0/0,88.3,5.7,121.7,24.5
a1c1s1,3,3/0/0,23.6,0.2,32.0,1.9
academictimetablesmall,3,0/0/3,inf,1333.7,1174.1,0.7
aflow30a,3,3/0/0,187.1,0.1,64.9,18.1
aflow40b,3,3/0/0,199.9,0.3,54.1,10.3
air04,3,3/0/0,2.7,15.0,7.1,0.0
air05,3,3/0/0,3.9,4.0,16.1,0.0
app1-1,3,3/0/0,66.7,0.3,57.6,20.3
app1-2,3,3/0/0,45.5,7.5,39.8,7.0
arki001,3,0/1/2,2.1,10.9,827.2,240.0
assign1-5-8,3,3/0/0,5.9,0.1,5.6,0.0
atlanta-ip,3,0/3/0,25.6,52.0,66.6,7.7
b1c1s1,3,3/0/0,113.0,0.2,35.0,4.6
bab2,3,0/0/3,59.5,1666.9,1998.0,363.0
bab6,3,0/0/3,43.0,495.7,936.9,77.9
beasleyC3,3,3/0/0,11.3,0.1,35.7,5.6
binkar10_1,3,3/0/0,1.5,0.1,5.5,0.0
blp-ar98,3,3/0/0,60.1,1.3,10.3,0.0
blp-ic98,3,3/0/0,16.8,0.7,4.3,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,3/0/0,37.0,0.1,6.0,0.0
brazil3,3,0/3/0,393.0,50.1,41.6,0.0
buildingenergy,3,0/3/0,0.9,1574.1,3.6,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,inf,1.9,36.1,4.0
chromaticindex1024-7,3,3/0/0,0.0,27.3,4.8,0.0
chromaticindex512-7,3,3/0/0,0.0,9.7,3.8,0.0
cmflsp50-24-8-8,3,3/0/0,14.9,23.8,114.3,29.7
co-100,3,3/0/0,397.0,2.7,13.6,0.0
cod105,3,3/0/0,100.0,2.0,1.0,0.0
comp07-2idx,3,0/3/0,4028.8,21.6,60.3,1.3
