problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,2/1/0,7.0,1.7,47.6,0.0
30n20b8,3,0/0/3,222.2,19.9,1149.6,266.9
50v-10,3,0/3/0,114.5,0.2,29.2,0.6
CMS750_4,3,3/0/0,59.9,3.4,65.2,13.7
a1c1s1,3,3/0/0,35.7,0.2,31.7,1.6
academictimetablesmall,3,0/0/3,inf,2179.8,1043.8,0.0
aflow30a,3,3/0/0,265.0,0.1,38.9,4.9
aflow40b,3,3/0/0,251.1,0.2,44.3,6.5
air04,3,3/0/0,0.9,21.6,9.6,0.0
air05,3,3/0/0,1.5,3.7,4.3,0.0
app1-1,3,3/0/0,0.0,0.2,35.7,4.3
app1-2,3,3/0/0,43.1,8.7,40.5,8.0
arki001,3,0/1/2,2.1,6.5,373.8,80.8
assign1-5-8,3,3/0/0,1.6,0.1,20.2,0.0
atlanta-ip,3,0/3/0,32.5,45.9,47.0,0.7
b1c1s1,3,3/0/0,171.8,0.2,33.7,3.6
bab2,2,0/0/2,46.8,2773.6,966.8,228.2
bab6,3,1/0/2,29.9,347.4,409.5,69.4
beasleyC3,3,3/0/0,12.3,0.1,35.0,4.8
binkar10_1,3,3/0/0,3.9,0.1,6.0,0.0
blp-ar98,3,3/0/0,56.1,1.2,10.7,0.0
blp-ic98,3,3/0/0,21.6,0.9,6.6,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,3/0/0,51.3,0.4,61.6,9.0
brazil3,3,0/3/0,572.2,27.8,24.9,0.0
buildingenergy,1,0/1/0,0.6,3055.2,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,inf,1.7,31.3,1.3
chromaticindex1024-7,3,3/0/0,0.0,7.0,2.0,0.0
chromaticindex512-7,3,3/0/0,0.0,3.0,2.0,0.0
cmflsp50-24-8-8,3,0/0/3,21.3,242.2,1236.3,349.3
co-100,3,3/0/0,347.0,3.9,19.9,0.0
cod105,3,3/0/0,100.0,2.0,1.0,0.0
comp07-2idx,3,0/3/0,4002.2,18.2,25.9,0.0
comp21-2idx,3,0/3/0,347.5,17.2,21.2,0.0
cost266-UUE,3,3/0/0,35.5,0.4,27.1,0.3
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/2/1,92.9,4.2,774.1,167.5
csched008,3,0/3/0,8.4,1.1,223.7,53.9
cvs16r128-89,3,3/0/0,97.9,0.1,1.0,0.0
dano3_3,3,3/0/0,0.0,47.1,14.5,0.0
dano3_5,3,3/0/0,0.2,139.0,29.6,0.8
dano3mip,3,3/0/0,16.1,1284.6,70.0,17.9
danoint,3,3/0/0,27.8,1.0,86.6,27.6
disctom,3,3/0/0,0.0,2.8,3.0,0.0
drayage-100-23,3,3/0/0,31.0,0.3,18.9,0.0
drayage-25-23,3,3/0/0,29.6,0.2,7.0,0.0
ds,2,2/0/0,1030.3,3158.8,66.0,0.0
dws008-01,1,0/0/1,61.9,40.2,729.0,175.0
eil33-2,3,3/0/0,52.9,1.4,29.4,0.4
eilA101-2,3,0/1/2,393.3,3320.2,699.7,6.6
enlight_hard,3,0/0/3,0.0,0.8,803.8,409.6
exp-1-500-5-5,3,3/0/0,76.3,0.1,26.9,0.0
fast0507,3,3/0/0,23.8,1.4,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,522.2,0.1,16.6,0.0
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,12.8,3.8,53.3,4.9
fiber,3,3/0/0,173.2,0.1,1.0,0.0
fixnet6,3,3/0/0,27.7,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,15.0,0.1,1.3,0.0
germanrr,3,0/3/0,2.5,4.6,26.7,0.0
gesa2-o,3,0/3/0,21.0,0.1,34.0,2.2
gesa2,3,0/3/0,2.1,0.1,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.2,1.0,0.0
glass4,3,3/0/0,490.8,0.1,141.2,70.1
gmu-35-40,3,3/0/0,4.6,0.2,69.2,8.2
gmu-35-50,3,3/0/0,1.1,0.1,13.3,0.0
graph20-20-1rand,3,3/0/0,28.0,7.4,23.0,0.0
graphdraw-domain,3,0/3/0,45.5,0.1,71.2,14.5
h80x6320d,3,3/0/0,30.3,1.3,33.3,2.2
harp2,3,3/0/0,11.3,0.1,13.0,0.0
highschool1-aigio,3,0/3/0,inf,295.0,29.5,0.6
hypothyroid-k1,3,3/0/0,0.0,30.9,1.0,0.0
ic97p,3,0/0/3,15.5,3.3,1045.8,223.5
ic97t,3,0/3/0,12.4,0.9,696.3,247.5
icir97p,3,0/0/3,21.1,13.5,969.8,133.0
icir97t,3,0/3/0,14.3,1.7,160.2,99.5
irish-electricity,3,0/0/3,45.2,1339.5,1241.2,26.8
irp,3,3/0/0,1.0,0.9,13.9,0.0
istanbul-no-cutoff,3,3/0/0,23.0,3.3,9.0,0.0
k1mushroom,3,3/0/0,18.2,26.0,1.0,0.0
lectsched-5-obj,3,0/0/3,2670.0,85.9,1016.9,0.3
leo1,3,3/0/0,50.6,0.2,1.0,0.0
leo2,3,3/0/0,48.3,0.2,1.0,0.0
liu,3,3/0/0,674.7,0.5,93.3,39.6
lotsize,3,3/0/0,62.8,0.3,46.6,9.1
mad,3,3/0/0,9392.7,0.1,14.0,0.0
manna81,3,0/3/0,1.1,0.1,2.6,0.0
map10,3,3/0/0,30.0,63.5,40.1,4.6
map16715-04,3,3/0/0,89.2,107.2,46.3,8.9
markshare1,3,3/0/0,48650.9,0.1,70.3,16.3
markshare2,3,3/0/0,89202.7,0.1,70.3,15.6
markshare_4_0,3,3/0/0,18064.6,0.1,65.0,15.9
mas74,3,0/3/0,53.6,0.1,90.0,14.6
mas76,3,0/3/0,19.3,0.1,90.7,21.5
mc11,3,3/0/0,106.3,0.4,42.3,12.3
mcsched,3,3/0/0,12.3,0.2,3.6,0.0
mik-250-20-75-4,3,0/3/0,61.1,0.1,38.3,4.5
milo-v12-6-r2-40-1,3,3/0/0,149.8,1.4,42.0,11.9
misc07,3,3/0/0,32.1,0.1,22.8,0.3
mkc,3,0/3/0,70.8,0.1,2.0,0.0
mod011,0,0/0/0,-,-,-,-
modglob,3,3/0/0,0.2,0.1,31.3,1.3
momentum1,3,0/2/1,273.2,139.8,954.3,725.5
msc98-ip,3,0/3/0,13.4,2.5,15.1,0.0
mushroom-best,3,0/3/0,9.67e+06,18.5,47.0,1.0
mzzv11,3,0/3/0,15.4,2.9,21.2,0.0
mzzv42z,3,0/3/0,22.9,3.1,24.2,0.3
n2seq36q,3,3/0/0,8.3,0.4,2.0,0.0
n3div36,3,3/0/0,43.5,0.3,1.0,0.0
n5-3,3,0/3/0,33.0,0.2,20.4,0.0
neos-1122047,3,3/0/0,0.6,0.3,1.0,0.0
neos-1171448,3,3/0/0,7.4,2.9,13.2,0.0
neos-1171737,3,3/0/0,3.8,1.7,24.6,0.0
neos-1354092,3,0/3/0,16.3,101.5,33.9,0.0
neos-1445765,3,3/0/0,24.7,1.7,11.3,0.0
neos-1456979,3,0/2/1,166.2,34.5,558.8,85.9
