problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,2/1/0,11.0,10.4,184.0,1.1
30n20b8,3,0/0/3,325.9,34.6,1122.8,157.1
50v-10,3,0/3/0,125.3,0.2,19.4,0.3
CMS750_4,3,3/0/0,60.2,1.8,48.2,6.2
a1c1s1,3,3/0/0,23.0,0.4,32.0,1.3
academictimetablesmall,0,0/0/0,-,-,-,-
aflow30a,3,3/0/0,111.7,0.1,29.8,0.8
aflow40b,3,3/0/0,196.1,0.2,25.8,1.5
air04,3,3/0/0,1.8,6.2,10.1,0.0
air05,3,3/0/0,2.7,1.7,9.1,0.0
app1-1,3,3/0/0,15.6,0.1,33.9,3.0
app1-2,3,3/0/0,43.1,2.6,41.2,9.5
arki001,3,0/0/3,2.8,49.6,939.1,206.3
assign1-5-8,3,0/3/0,6.4,0.1,6.0,0.0
atlanta-ip,3,3/0/0,26.2,23.1,14.2,0.0
b1c1s1,3,3/0/0,104.4,0.2,33.3,3.3
bab2,3,0/3/0,54.5,538.2,354.3,139.4
bab6,3,1/2/0,43.0,207.4,165.7,38.1
beasleyC3,3,3/0/0,11.6,0.1,35.0,4.8
binkar10_1,3,3/0/0,2.5,0.1,11.1,0.0
blp-ar98,3,3/0/0,75.7,1.8,21.5,0.8
blp-ic98,3,3/0/0,51.9,0.2,1.0,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,0/3/0,41.2,0.2,6.0,0.0
brazil3,3,0/3/0,1123.5,105.2,50.5,0.3
buildingenergy,3,0/3/0,1.1,893.6,3.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.3,33.5,2.3
chromaticindex1024-7,3,3/0/0,0.0,2286.9,5.0,0.0
chromaticindex512-7,3,3/0/0,0.0,157.7,1.9,0.0
cmflsp50-24-8-8,2,0/0/2,16.8,86.1,784.3,213.6
co-100,3,3/0/0,55197.0,2.4,13.3,0.0
cod105,3,3/0/0,100.0,15.6,1.0,0.0
comp07-2idx,3,0/3/0,2724.8,34.8,51.3,1.3
comp21-2idx,3,0/3/0,395.0,12.1,58.6,0.3
cost266-UUE,3,0/0/3,105.8,0.2,5.8,0.0
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/0/3,95.9,217.3,852.2,10.0
csched008,3,0/2/1,9.4,13.4,198.7,16.9
cvs16r128-89,3,3/0/0,97.9,3.3,1.0,0.0
dano3_3,3,3/0/0,0.0,64.6,2.0,0.0
dano3_5,3,3/0/0,0.3,97.4,2.0,0.0
dano3mip,3,3/0/0,15.4,141.0,5.0,0.0
danoint,3,3/0/0,15.4,0.5,37.8,3.0
disctom,3,3/0/0,0.0,6.2,2.0,0.0
drayage-100-23,3,3/0/0,149.8,1.2,36.0,0.8
drayage-25-23,3,3/0/0,178.6,1.6,42.8,0.4
ds,0,0/0/0,-,-,-,-
dws008-01,1,0/0/1,17.4,18.8,697.0,200.0
eil33-2,3,2/1/0,77.9,1.7,78.7,5.9
eilA101-2,3,0/2/1,255.1,1042.4,534.7,4.6
enlight_hard,0,0/0/0,-,-,-,-
exp-1-500-5-5,3,3/0/0,135.5,0.1,15.5,0.0
fast0507,3,3/0/0,24.2,4.6,1.0,0.0
fastxgemm-n2r6s0t2,3,0/0/3,2714.2,18.4,742.8,125.8
