problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,3/0/0,3.1,1.2,36.0,0.3
30n20b8,3,0/2/1,199.5,21.1,858.7,213.3
50v-10,3,0/3/0,121.8,0.3,20.4,0.0
CMS750_4,3,3/0/0,85.4,4.8,160.5,36.6
a1c1s1,3,3/0/0,25.0,0.2,32.3,1.9
academictimetablesmall,1,0/0/1,inf,2460.1,788.0,0.0
aflow30a,3,3/0/0,111.6,0.1,39.5,3.6
aflow40b,3,3/0/0,70.9,0.3,39.2,4.4
air04,3,3/0/0,1.0,4.5,12.4,0.0
air05,3,3/0/0,2.9,1.6,4.0,0.0
app1-1,3,3/0/0,53.0,0.2,48.9,8.9
app1-2,3,3/0/0,41.5,3.1,46.9,13.8
arki001,3,0/2/1,2.0,27.5,769.3,225.1
assign1-5-8,3,0/3/0,2.0,0.1,22.3,0.0
atlanta-ip,3,3/0/0,13.9,25.8,30.0,0.3
b1c1s1,3,3/0/0,125.3,0.2,33.3,3.3
bab2,3,1/0/2,13.2,570.7,319.6,30.6
bab6,3,1/1/1,23.9,313.1,258.9,23.4
beasleyC3,3,3/0/0,11.8,0.1,35.7,5.6
binkar10_1,3,3/0/0,4.2,0.1,5.3,0.0
blp-ar98,3,3/0/0,68.6,1.5,19.7,0.0
blp-ic98,3,3/0/0,51.9,0.2,1.0,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,0/3/0,31.4,0.5,63.7,8.3
brazil3,3,0/3/0,545.3,34.8,27.5,0.0
buildingenergy,2,0/2/0,1.0,3489.1,11.5,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,inf,2.2,31.7,1.3
chromaticindex1024-7,3,3/0/0,0.0,739.4,2.0,0.0
chromaticindex512-7,3,3/0/0,0.0,140.4,1.3,0.0
cmflsp50-24-8-8,3,2/1/0,17.3,17.2,201.8,52.9
co-100,3,3/0/0,44546.1,2.3,12.6,0.0
cod105,3,3/0/0,100.0,15.6,1.0,0.0
comp07-2idx,3,0/3/0,3687.3,14.6,25.3,0.0
comp21-2idx,3,0/3/0,511.8,6.3,29.7,0.3
cost266-UUE,3,0/0/3,105.8,0.2,8.6,0.0
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/3/0,76.6,53.9,458.9,13.5
csched008,3,0/3/0,8.6,8.5,265.0,32.3
cvs16r128-89,3,3/0/0,97.9,3.3,1.0,0.0
dano3_3,3,3/0/0,0.0,60.9,16.6,0.0
dano3_5,3,3/0/0,0.3,171.8,45.4,6.9
dano3mip,3,3/0/0,12.0,275.3,71.0,15.0
danoint,3,1/2/0,29.6,1.5,146.6,57.9
disctom,3,3/0/0,0.0,6.2,2.0,0.0
drayage-100-23,3,3/0/0,122.2,1.3,42.0,1.9
drayage-25-23,3,3/0/0,112.6,1.7,55.4,0.6
ds,0,0/0/0,-,-,-,-
dws008-01,1,0/0/1,21.9,21.0,713.0,199.0
eil33-2,3,0/0/3,440.7,14.4,696.2,184.0
eilA101-2,3,0/1/2,211.2,1567.7,834.1,36.6
enlight_hard,0,0/0/0,-,-,-,-
exp-1-500-5-5,3,3/0/0,50.0,0.1,27.2,0.3
fast0507,3,3/0/0,24.2,4.6,1.0,0.0
fastxgemm-n2r6s0t2,3,0/0/3,2714.2,22.1,857.0,163.7
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,8.2,13.2,129.0,13.2
fiber,3,3/0/0,27192.6,0.1,1.0,0.0
fixnet6,3,3/0/0,25.2,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,11.1,0.1,3.8,0.0
germanrr,3,0/3/0,3.1,11.2,77.0,11.1
gesa2-o,3,0/3/0,3.6,0.1,31.0,1.0
gesa2,3,0/3/0,2.2,0.1,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.4,1.0,0.0
glass4,3,3/0/0,287.8,0.1,89.3,36.9
gmu-35-40,3,3/0/0,9.7,0.1,43.8,5.7
gmu-35-50,3,3/0/0,6.2,0.2,50.4,6.3
graph20-20-1rand,3,3/0/0,16.1,2.4,33.0,0.3
graphdraw-domain,3,0/3/0,52.5,0.1,79.3,17.5
h80x6320d,3,3/0/0,30.3,0.9,33.3,2.2
harp2,3,3/0/0,12.4,0.1,13.0,0.0
highschool1-aigio,0,0/0/0,-,-,-,-
hypothyroid-k1,3,2/1/0,35.9,26.1,78.3,22.4
ic97p,3,0/1/2,13.6,2.9,532.1,227.1
ic97t,3,0/0/3,11.0,3.8,1043.9,375.4
icir97p,3,0/0/3,13.6,46.2,1264.3,425.4
icir97t,3,0/1/2,9.4,14.0,488.9,291.7
irish-electricity,3,3/0/0,4.5,65.2,49.4,3.2
irp,3,3/0/0,5.3,0.7,16.3,0.0
istanbul-no-cutoff,3,3/0/0,3.5,6.6,10.0,0.0
k1mushroom,3,3/0/0,18.2,84.2,1.0,0.0
lectsched-5-obj,2,0/0/2,2428.6,204.0,1412.2,1.4
leo1,3,3/0/0,842.0,0.2,1.0,0.0
leo2,3,3/0/0,7522.4,0.4,1.0,0.0
liu,3,3/0/0,227.8,0.6,90.0,19.9
lotsize,3,3/0/0,63.0,0.4,47.3,9.9
mad,3,3/0/0,7882.7,0.1,12.3,0.0
manna81,3,0/3/0,1.2,0.2,2.6,0.0
map10,3,3/0/0,43.5,60.4,65.3,17.0
map16715-04,3,3/0/0,68.0,83.5,61.9,15.0
markshare1,3,3/0/0,44679.3,0.1,1.0,0.0
markshare2,3,3/0/0,58088.2,0.1,1.0,0.0
markshare_4_0,3,3/0/0,6400.0,0.1,1.0,0.0
mas74,3,3/0/0,80.0,0.1,89.0,9.0
mas76,3,2/1/0,17.3,0.1,89.3,9.8
mc11,3,3/0/0,103.4,0.3,42.3,12.3
