problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,0/2/1,3.4,10.0,336.3,28.1
30n20b8,3,0/0/3,176.8,39.3,1303.9,276.6
50v-10,3,0/3/0,125.9,0.3,22.0,0.3
CMS750_4,3,3/0/0,72.7,3.0,89.4,18.7
a1c1s1,3,3/0/0,23.9,0.3,32.0,1.9
academictimetablesmall,0,0/0/0,-,-,-,-
aflow30a,3,3/0/0,163.9,0.1,54.1,8.4
aflow40b,3,3/0/0,102.2,0.3,34.4,2.5
air04,3,3/0/0,0.9,7.7,23.4,0.0
air05,3,3/0/0,7.1,1.9,15.8,0.0
app1-1,3,3/0/0,53.0,0.1,35.5,4.5
app1-2,3,3/0/0,41.5,2.7,40.9,9.3
arki001,2,0/1/1,2.5,24.0,598.4,173.9
assign1-5-8,3,0/3/0,5.4,0.1,6.0,0.0
atlanta-ip,3,2/1/0,17.6,25.2,26.1,1.4
b1c1s1,3,3/0/0,93.3,0.2,34.3,3.9
bab2,3,0/0/3,23.4,938.6,899.2,215.0
bab6,3,0/0/3,33.9,552.4,778.7,244.6
beasleyC3,3,3/0/0,11.1,0.1,35.7,5.6
binkar10_1,3,3/0/0,1.7,0.1,6.0,0.0
blp-ar98,3,3/0/0,75.5,1.3,15.5,0.0
blp-ic98,3,3/0/0,51.9,0.2,1.0,0.0
bnatt400,1,0/0/1,0.0,94.2,1244.0,0.0
bppc4-08,3,0/3/0,35.1,0.2,7.0,0.0
brazil3,3,0/3/0,863.1,84.0,57.9,0.0
buildingenergy,3,0/3/0,1.6,1178.3,4.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.2,32.0,1.3
chromaticindex1024-7,3,3/0/0,0.0,3120.7,7.6,0.0
chromaticindex512-7,3,3/0/0,0.0,158.2,2.0,0.0
cmflsp50-24-8-8,3,3/0/0,14.5,12.3,158.2,40.9
co-100,3,3/0/0,59179.0,2.4,13.3,0.0
cod105,3,3/0/0,100.0,15.5,1.0,0.0
comp07-2idx,3,0/3/0,4554.4,31.2,55.9,0.6
comp21-2idx,3,0/3/0,1023.7,9.9,65.8,1.3
cost266-UUE,3,0/0/3,105.8,0.2,6.0,0.0
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/2/1,65.6,37.5,420.6,16.9
csched008,3,0/3/0,9.8,2.3,81.9,8.9
cvs16r128-89,3,3/0/0,97.9,3.3,1.0,0.0
dano3_3,3,3/0/0,0.0,64.3,2.0,0.0
dano3_5,3,3/0/0,0.3,97.3,2.0,0.0
dano3mip,3,3/0/0,15.4,140.3,5.0,0.0
danoint,3,2/1/0,24.3,1.2,98.2,22.4
disctom,3,3/0/0,0.0,6.2,2.0,0.0
drayage-100-23,3,3/0/0,167.9,1.4,43.7,1.3
drayage-25-23,3,3/0/0,167.3,2.1,69.5,1.3
ds,0,0/0/0,-,-,-,-
dws008-01,0,0/0/0,-,-,-,-
eil33-2,3,0/3/0,31.2,4.5,223.2,48.8
eilA101-2,3,0/1/2,251.6,1041.0,614.8,32.3
enlight_hard,0,0/0/0,-,-,-,-
exp-1-500-5-5,3,3/0/0,168.3,0.1,23.4,0.0
fast0507,3,3/0/0,24.2,4.6,1.0,0.0
fastxgemm-n2r6s0t2,3,0/1/2,2714.2,18.3,731.9,165.6
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,10.5,9.2,79.7,7.4
fiber,3,3/0/0,27192.6,0.1,1.0,0.0
fixnet6,3,3/0/0,34.0,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,12.7,0.1,3.1,0.0
germanrr,3,0/3/0,3.0,5.7,36.2,2.1
gesa2-o,3,0/3/0,8.4,0.1,31.0,1.0
gesa2,3,0/3/0,2.4,0.1,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.4,1.0,0.0
glass4,3,3/0/0,207.6,0.1,11.0,0.0
