problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,2/1/0,5.2,4.5,76.4,1.1
30n20b8,3,0/0/3,274.1,34.0,1152.8,187.9
50v-10,3,0/3/0,114.5,0.3,27.2,0.3
CMS750_4,3,3/0/0,60.2,2.6,81.2,16.4
a1c1s1,3,3/0/0,31.1,0.2,31.7,1.3
academictimetablesmall,0,0/0/0,-,-,-,-
aflow30a,3,3/0/0,154.4,0.1,44.0,6.0
aflow40b,3,3/0/0,100.4,0.3,35.1,2.6
air04,3,3/0/0,0.5,4.0,8.5,0.0
air05,3,3/0/0,3.6,1.6,6.1,0.0
app1-1,3,3/0/0,15.6,0.1,33.3,2.9
app1-2,3,3/0/0,43.1,2.7,41.6,10.0
arki001,3,0/0/3,2.8,55.9,1150.9,255.2
assign1-5-8,3,0/3/0,1.9,0.1,24.5,0.0
atlanta-ip,3,3/0/0,39.5,32.2,51.4,2.3
b1c1s1,3,3/0/0,145.6,0.1,33.3,3.0
bab2,3,2/1/0,24.8,323.7,91.6,14.7
bab6,3,2/1/0,15.4,158.5,61.5,4.5
beasleyC3,3,3/0/0,12.3,0.1,35.0,4.8
binkar10_1,3,3/0/0,4.2,0.1,6.5,0.0
blp-ar98,3,3/0/0,87.7,1.6,21.1,0.7
blp-ic98,3,3/0/0,51.9,0.2,1.0,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,0/3/0,38.7,0.5,59.3,8.7
brazil3,3,0/3/0,660.0,47.6,32.3,0.0
buildingenergy,1,0/1/0,1.4,3437.4,12.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,inf,2.1,31.0,1.0
chromaticindex1024-7,3,3/0/0,0.0,710.5,2.0,0.0
chromaticindex512-7,3,3/0/0,0.0,142.5,1.3,0.0
cmflsp50-24-8-8,0,0/0/0,-,-,-,-
co-100,3,3/0/0,44546.1,2.3,12.6,0.0
cod105,3,3/0/0,100.0,15.5,1.0,0.0
comp07-2idx,3,0/3/0,3445.7,14.7,21.3,0.0
comp21-2idx,3,0/3/0,487.7,8.5,24.8,0.0
cost266-UUE,3,1/0/2,76.0,0.2,11.3,0.0
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/1/2,75.1,145.6,606.6,24.9
csched008,3,0/3/0,9.2,7.2,145.4,18.2
cvs16r128-89,3,3/0/0,97.9,3.3,1.0,0.0
dano3_3,3,3/0/0,0.0,61.0,16.2,0.0
dano3_5,3,3/0/0,0.1,117.5,29.6,0.8
dano3mip,3,3/0/0,24.2,438.1,71.7,18.6
danoint,3,3/0/0,24.4,4.0,128.3,46.7
disctom,3,3/0/0,0.0,6.2,2.0,0.0
drayage-100-23,3,3/0/0,144.0,1.1,33.2,0.4
drayage-25-23,3,3/0/0,171.1,1.5,40.9,1.3
ds,0,0/0/0,-,-,-,-
dws008-01,0,0/0/0,-,-,-,-
eil33-2,3,3/0/0,52.9,0.6,30.7,0.4
eilA101-2,3,0/3/0,169.5,1068.8,554.8,8.0
enlight_hard,0,0/0/0,-,-,-,-
exp-1-500-5-5,3,3/0/0,70.3,0.1,26.9,0.0
fast0507,3,3/0/0,24.2,4.6,1.0,0.0
fastxgemm-n2r6s0t2,3,0/0/3,2714.2,19.4,764.9,152.4
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,9.2,7.6,74.1,5.3
fiber,3,3/0/0,27192.6,0.1,1.0,0.0
fixnet6,3,3/0/0,27.7,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,10.5,0.1,2.9,0.0
germanrr,3,0/3/0,4.3,8.1,47.2,4.9
gesa2-o,3,0/3/0,6.8,0.1,31.7,1.3
gesa2,3,0/3/0,2.2,0.1,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.4,1.0,0.0
glass4,3,3/0/0,271.3,0.1,91.0,39.8
gmu-35-40,3,3/0/0,12.1,0.1,42.0,4.2
gmu-35-50,3,3/0/0,14.4,0.1,39.6,3.9
graph20-20-1rand,3,3/0/0,34.6,2.8,25.6,0.0
graphdraw-domain,3,0/3/0,36.5,0.1,74.6,17.3
h80x6320d,3,3/0/0,30.3,0.9,33.3,2.2
harp2,3,3/0/0,11.7,0.1,13.9,0.0
highschool1-aigio,0,0/0/0,-,-,-,-
hypothyroid-k1,3,3/0/0,96.1,24.3,72.7,14.5
ic97p,3,0/0/3,14.5,4.1,743.1,170.8
ic97t,2,0/0/2,12.1,5.4,1115.1,305.4
icir97p,3,0/0/3,14.0,34.3,900.3,163.3
icir97t,3,0/2/1,13.4,25.4,701.5,471.9
irish-electricity,3,3/0/0,5.7,56.6,35.5,1.8
irp,3,3/0/0,5.8,0.9,20.7,0.6
istanbul-no-cutoff,3,3/0/0,1.8,8.1,7.0,0.0
k1mushroom,3,3/0/0,18.2,84.3,1.0,0.0
lectsched-5-obj,1,0/0/1,2841.7,200.1,2196.0,17.0
leo1,3,3/0/0,842.0,0.2,1.0,0.0
leo2,3,3/0/0,7522.4,0.4,1.0,0.0
liu,3,1/2/0,674.7,0.6,92.7,35.9
lotsize,3,3/0/0,63.1,0.3,47.6,10.1
mad,3,3/0/0,7951.3,0.1,12.0,0.0
manna81,3,0/3/0,1.2,0.2,2.6,0.0
map10,3,3/0/0,24.8,53.5,42.8,5.9
map16715-04,3,3/0/0,93.3,66.5,41.3,5.5
markshare1,3,3/0/0,44679.3,0.1,1.0,0.0
markshare2,3,3/0/0,58088.2,0.1,1.0,0.0
markshare_4_0,3,3/0/0,6400.0,0.1,1.0,0.0
mas74,3,3/0/0,74.2,0.1,89.0,15.7
mas76,3,2/1/0,34.8,0.1,90.0,19.4
mc11,3,3/0/0,108.2,0.3,42.3,12.3
mcsched,3,3/0/0,16.7,0.4,3.6,0.0
mik-250-20-75-4,3,0/3/0,61.1,0.1,38.3,4.5
milo-v12-6-r2-40-1,3,0/0/3,94.1,24.0,889.5,0.0
misc07,3,3/0/0,70.4,0.1,29.1,0.3
mkc,3,3/0/0,25959.1,0.2,12.0,0.0
mod011,3,3/0/0,10.3,0.2,20.2,0.0
modglob,3,3/0/0,0.3,0.1,31.3,1.3
momentum1,3,0/2/1,232.8,12.1,312.2,198.5
msc98-ip,3,3/0/0,21.7,8.9,26.2,0.3
mushroom-best,3,0/3/0,1.27e+07,111.0,49.0,3.6
mzzv11,3,0/3/0,58.5,20.9,19.2,0.0
mzzv42z,3,0/3/0,62.7,8.4,20.3,0.0
n2seq36q,3,3/0/0,99.3,0.7,3.0,0.0
n3div36,3,3/0/0,99.3,0.4,1.0,0.0
n5-3,3,0/3/0,37.0,0.4,13.9,0.0
neos-1122047,3,3/0/0,1.5,1.3,4.2,0.0
neos-1171448,3,3/0/0,2.9,1.7,31.0,1.0
neos-1171737,3,3/0/0,7.7,0.6,31.3,1.3
neos-1354092,3,0/3/0,5.9,231.9,31.2,0.0
neos-1445765,3,3/0/0,35.2,43.4,11.0,0.0
neos-1456979,3,0/2/1,121.0,9.7,188.7,29.6
