problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,3/0/0,1.1,0.5,8.0,0.0
30n20b8,3,0/1/2,383.4,25.2,844.8,211.5
50v-10,3,0/3/0,141.7,0.4,23.3,0.6
CMS750_4,3,3/0/0,72.2,10.6,173.1,17.8
a1c1s1,3,3/0/0,23.2,0.6,35.0,3.3
academictimetablesmall,3,0/0/3,inf,570.1,1199.2,7.2
aflow30a,3,3/0/0,127.6,0.2,41.7,4.4
aflow40b,3,3/0/0,195.7,0.3,34.0,2.6
air04,3,3/0/0,0.8,3.3,12.2,0.3
air05,3,3/0/0,2.6,1.2,7.1,0.0
app1-1,3,2/1/0,42.0,1.1,62.2,15.3
app1-2,3,0/2/1,43.9,45.8,239.7,121.9
arki001,3,0/2/1,3.0,28.0,979.6,260.9
assign1-5-8,3,3/0/0,2.5,0.1,23.3,0.0
atlanta-ip,3,3/0/0,10.7,15.9,19.9,0.0
b1c1s1,3,3/0/0,165.5,1.0,42.3,7.0
bab2,3,1/0/2,15.0,523.5,406.0,21.2
bab6,3,0/0/3,12.5,518.8,769.5,264.9
beasleyC3,3,3/0/0,11.9,0.3,52.6,12.3
binkar10_1,3,3/0/0,3.9,0.1,7.7,0.0
blp-ar98,3,3/0/0,70.1,2.2,17.8,0.0
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,3/0/0,37.5,1.1,60.2,7.1
brazil3,3,0/3/0,506.1,21.9,27.2,0.0
buildingenergy,3,0/3/0,1.1,617.8,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.8,41.7,10.7
chromaticindex1024-7,3,3/0/0,0.0,54.4,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,45.3,2.0,0.0
cmflsp50-24-8-8,3,2/0/1,15.5,32.5,237.0,71.2
co-100,3,3/0/0,287.3,6.0,15.6,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3401.0,6.2,25.3,0.0
comp21-2idx,3,0/3/0,382.5,4.8,28.1,0.0
cost266-UUE,3,3/0/0,38.1,0.5,31.1,1.1
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/2/1,54.4,9.4,964.2,238.7
csched008,3,2/1/0,9.2,1.1,115.9,16.9
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,17.9,18.0,0.0
