problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,3/0/0,1.6,1.4,17.3,0.3
30n20b8,3,0/1/2,612.9,17.0,591.3,118.8
50v-10,3,0/3/0,128.2,0.3,22.0,0.3
CMS750_4,3,3/0/0,62.3,6.3,105.6,12.7
a1c1s1,3,3/0/0,26.0,0.5,31.7,1.6
academictimetablesmall,1,0/0/1,inf,435.3,729.0,0.0
aflow30a,3,3/0/0,135.4,0.1,34.3,2.3
aflow40b,3,3/0/0,207.5,0.4,37.6,4.9
air04,3,3/0/0,0.9,3.2,11.8,0.0
air05,3,3/0/0,3.1,1.5,16.7,0.0
app1-1,3,3/0/0,33.3,0.6,39.4,5.9
app1-2,3,0/3/0,43.9,27.7,147.4,72.3
arki001,3,0/2/1,3.2,19.1,786.7,191.9
assign1-5-8,3,3/0/0,1.5,0.1,22.6,0.0
atlanta-ip,3,3/0/0,15.2,15.7,22.4,0.0
b1c1s1,3,3/0/0,159.7,0.6,36.0,4.3
bab2,3,1/0/2,15.1,540.6,397.6,65.1
bab6,3,1/1/1,16.9,209.8,258.8,31.5
beasleyC3,3,3/0/0,11.0,0.2,35.7,5.6
binkar10_1,3,3/0/0,3.9,0.1,7.7,0.0
blp-ar98,3,3/0/0,72.5,2.1,17.2,0.0
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,1,0/0/1,0.0,251.7,1170.0,0.0
bppc4-08,3,3/0/0,41.2,1.1,61.3,7.1
brazil3,3,0/3/0,204.1,17.1,22.6,0.0
buildingenergy,3,0/3/0,1.1,629.4,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.7,40.7,10.7
chromaticindex1024-7,3,3/0/0,0.0,54.4,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,45.1,2.0,0.0
cmflsp50-24-8-8,3,1/2/0,19.2,43.3,333.0,106.2
co-100,3,3/0/0,302.4,6.3,15.9,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3664.4,6.0,24.0,0.0
comp21-2idx,3,0/3/0,435.5,4.8,27.5,0.3
cost266-UUE,3,3/0/0,36.5,0.5,29.9,0.6
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/1/2,52.8,10.4,944.7,222.0
csched008,3,2/1/0,9.8,1.9,216.9,52.9
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,17.9,18.0,0.0
dano3_5,3,3/0/0,0.1,35.4,31.5,1.1
dano3mip,3,3/0/0,15.0,150.8,72.6,17.3
danoint,3,3/0/0,69.6,2.0,76.2,22.8
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,6.4,0.4,14.7,0.0
drayage-25-23,3,3/0/0,3.9,0.6,19.8,0.0
ds,3,3/0/0,4945.0,6.1,1.0,0.0
dws008-01,3,0/0/3,44.3,55.2,831.3,258.0
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,1.0,1.0,0.0
enlight_hard,3,0/0/3,0.0,2.8,720.3,224.7
exp-1-500-5-5,3,3/0/0,60.5,0.1,28.3,0.3
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,961.6,0.5,30.2,1.2
fhnw-binpack4-48,1,0/0/1,0.0,44.7,1804.0,258.0
fiball,3,0/3/0,14.4,7.3,57.0,5.6
fiber,3,3/0/0,153.6,0.1,15.7,0.0
fixnet6,3,3/0/0,58.3,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
