problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,2/1/0,8.7,4.9,96.4,1.3
30n20b8,3,0/3/0,730.5,6.3,227.3,37.9
50v-10,3,0/3/0,145.2,0.2,18.4,0.0
CMS750_4,3,3/0/0,73.6,5.4,90.4,14.5
a1c1s1,3,3/0/0,23.6,0.7,31.3,1.3
academictimetablesmall,2,0/0/2,inf,559.2,1050.6,0.0
aflow30a,3,3/0/0,131.6,0.1,34.2,2.8
aflow40b,3,3/0/0,295.6,0.3,34.9,2.8
air04,3,3/0/0,4.2,3.8,30.5,1.0
air05,3,3/0/0,2.5,0.7,4.0,0.0
app1-1,3,3/0/0,53.0,0.5,32.3,1.9
app1-2,3,2/1/0,43.9,10.9,56.1,18.3
arki001,3,0/1/2,2.8,22.3,834.0,217.9
assign1-5-8,3,3/0/0,4.2,0.1,5.6,0.0
atlanta-ip,3,3/0/0,15.9,14.8,23.3,0.3
b1c1s1,3,3/0/0,87.5,0.7,35.0,4.3
bab2,3,0/0/3,20.8,939.4,819.2,232.9
bab6,3,2/1/0,13.4,78.0,81.6,7.7
beasleyC3,3,3/0/0,10.7,0.2,35.7,5.6
binkar10_1,3,3/0/0,1.7,0.1,14.3,0.0
blp-ar98,3,3/0/0,70.5,1.8,14.8,0.0
blp-ic98,3,3/0/0,36.3,0.4,2.2,0.0
bnatt400,1,0/0/1,0.0,289.4,1347.0,0.0
bppc4-08,3,3/0/0,54.5,0.1,5.3,0.0
brazil3,3,0/3/0,306.9,43.6,46.9,0.3
buildingenergy,3,0/3/0,0.9,167.7,4.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.8,41.3,11.3
chromaticindex1024-7,3,3/0/0,0.0,61.7,6.3,0.0
chromaticindex512-7,3,3/0/0,0.0,75.9,6.3,0.0
cmflsp50-24-8-8,3,1/2/0,18.5,23.4,168.2,36.5
co-100,3,3/0/0,395.1,7.0,17.9,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,2936.5,16.6,55.8,0.4
comp21-2idx,3,0/3/0,394.4,13.9,61.5,0.8
cost266-UUE,3,3/0/0,36.9,0.4,24.3,0.8
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/0/3,74.7,13.3,1284.6,340.8
csched008,3,0/2/1,9.8,4.0,496.0,153.1
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,19.6,2.0,0.0
dano3_5,3,3/0/0,0.3,21.1,2.0,0.0
dano3mip,3,3/0/0,15.4,25.6,5.0,0.0
danoint,3,3/0/0,22.1,0.8,42.9,8.0
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,8.2,0.5,18.0,0.0
drayage-25-23,3,3/0/0,6.7,0.2,5.0,0.0
ds,3,3/0/0,4945.0,6.1,1.0,0.0
dws008-01,3,0/0/3,49.5,58.5,816.2,238.1
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,1.1,1.0,0.0
enlight_hard,3,0/0/3,0.0,3.2,697.4,197.5
exp-1-500-5-5,3,3/0/0,160.9,0.1,24.9,0.3
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,642.5,0.7,42.6,2.3
fhnw-binpack4-48,1,0/0/1,0.0,45.0,1804.0,258.0
fiball,3,0/3/0,13.8,2.0,12.2,0.0
fiber,3,3/0/0,126.5,0.1,14.0,0.0
fixnet6,3,3/0/0,54.7,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,11.3,0.1,2.9,0.0
germanrr,3,0/3/0,3.0,9.5,56.9,7.7
gesa2-o,3,0/3/0,17.4,0.2,34.8,1.3
gesa2,3,0/3/0,2.6,0.2,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.6,1.0,0.0
glass4,3,3/0/0,187.2,0.2,77.7,26.7
gmu-35-40,3,3/0/0,7.4,0.1,3.0,0.0
gmu-35-50,3,3/0/0,15.2,0.3,21.8,1.9
graph20-20-1rand,3,3/0/0,22.2,2.8,28.0,0.0
graphdraw-domain,3,0/3/0,56.4,0.1,15.8,0.3
h80x6320d,3,3/0/0,20.0,1.2,32.3,2.3
harp2,3,3/0/0,11.6,0.1,13.0,0.0
highschool1-aigio,3,0/3/0,inf,1198.9,54.6,0.0
hypothyroid-k1,3,3/0/0,0.0,4.7,1.0,0.0
ic97p,3,0/0/3,15.2,4.2,671.5,187.2
ic97t,3,0/0/3,12.8,3.3,1010.9,282.0
icir97p,3,0/0/3,19.3,19.4,855.3,205.3
icir97t,3,0/3/0,14.3,5.1,181.0,101.3
irish-electricity,3,3/0/0,7.2,10.3,7.0,0.0
irp,3,3/0/0,2.5,0.3,2.8,0.0
istanbul-no-cutoff,3,3/0/0,33.4,4.5,13.9,0.0
k1mushroom,3,3/0/0,18.2,40.4,1.0,0.0
lectsched-5-obj,3,0/0/3,2394.3,114.5,1237.9,23.6
leo1,3,3/0/0,50.7,0.1,1.0,0.0
leo2,3,3/0/0,45.2,0.2,1.0,0.0
liu,3,3/0/0,402.8,0.2,13.6,0.0
lotsize,3,1/1/1,360.4,2.0,164.7,61.9
mad,3,3/0/0,5972.2,0.1,14.6,0.0
manna81,3,0/3/0,13.9,0.1,2.6,0.0
map10,3,3/0/0,64.1,14.9,8.0,0.0
map16715-04,3,3/0/0,69.6,20.7,8.7,0.0
markshare1,3,3/0/0,36348.2,0.1,1.0,0.0
markshare2,3,3/0/0,53841.8,0.1,1.0,0.0
markshare_4_0,3,3/0/0,7400.0,0.1,1.0,0.0
mas74,3,0/3/0,33.0,0.1,8.3,0.0
mas76,3,0/3/0,13.6,0.1,5.3,0.0
mc11,3,3/0/0,112.4,0.4,43.6,13.3
mcsched,3,3/0/0,11.4,0.5,4.6,0.0
mik-250-20-75-4,3,0/3/0,0.5,0.1,6.7,0.0
milo-v12-6-r2-40-1,3,3/0/0,122.8,0.9,41.6,11.5
misc07,3,3/0/0,29.0,0.1,21.3,0.0
mkc,3,0/3/0,66.5,0.1,2.0,0.0
mod011,3,3/0/0,7.3,0.1,6.0,0.0
modglob,3,3/0/0,50.8,0.1,6.0,0.0
momentum1,3,0/0/3,160.0,84.1,1124.0,566.6
msc98-ip,3,3/0/0,9.7,5.8,31.7,1.0
mushroom-best,3,0/3/0,8.35e+06,21.7,60.2,1.5
mzzv11,3,0/3/0,23.4,2.9,14.7,0.0
mzzv42z,3,0/3/0,24.7,1.9,7.0,0.0
n2seq36q,3,3/0/0,29.9,0.4,1.0,0.0
n3div36,3,3/0/0,39.2,0.4,1.0,0.0
n5-3,3,0/3/0,7.8,0.4,27.2,0.3
neos-1122047,3,3/0/0,100.0,0.1,0.0,0.0
neos-1171448,3,3/0/0,17.8,1.2,4.6,0.0
neos-1171737,3,3/0/0,12.6,0.4,4.6,0.0
neos-1354092,3,0/3/0,11.6,109.5,26.6,0.0
neos-1445765,3,3/0/0,33.8,0.6,5.2,0.0
neos-1456979,3,0/2/1,80.6,38.9,551.0,93.7
neos-1582420,3,0/3/0,104.3,6.2,377.0,71.0
neos-2657525-crna,3,0/3/0,1141.4,0.8,88.0,3.7
neos-2746589-doon,3,0/0/3,11.9,692.5,725.3,31.5
neos-2978193-inde,3,3/0/0,3.9,0.2,3.6,0.0
neos-2987310-joes,3,2/1/0,1.4,12.1,66.4,18.1
neos-3004026-krka,3,0/0/3,0.0,88.5,1122.5,3.9
neos-3024952-loue,3,0/1/2,908.2,142.1,1395.8,24.8
neos-3046615-murg,3,0/3/0,1287.1,0.2,105.7,72.9
neos-3083819-nubu,3,0/3/0,0.8,0.1,1.0,0.0
neos-3216931-puriri,3,0/0/3,130.2,134.7,920.9,69.3
neos-3381206-awhea,3,0/0/3,4.9,20.6,897.7,0.0
neos-3402294-bobin,3,3/0/0,530.4,32.0,30.2,0.3
neos-3555904-turama,3,2/0/1,4.3,197.6,98.2,5.2
neos-3627168-kasai,3,3/0/0,1.3,0.1,22.0,0.3
neos-3656078-kumeu,3,0/0/3,31.4,177.9,1296.4,0.0
neos-3754480-nidda,3,3/0/0,10382.1,0.1,21.6,0.0
neos-4300652-rahue,3,0/1/2,225.9,367.0,379.4,1.0
neos-4338804-snowy,3,0/3/0,32229.3,0.8,102.1,32.3
neos-4387871-tavua,3,0/1/2,939.7,18.4,788.3,434.5
neos-4413714-turia,3,3/0/0,87.1,18.7,7.0,0.0
neos-4532248-waihi,3,0/0/3,949.4,620.0,860.2,244.1
neos-4647030-tutaki,3,3/0/0,16.5,15.2,15.1,0.0
neos-4722843-widden,3,0/3/0,96.9,81.1,133.2,33.3
neos-4738912-atrato,3,0/3/0,7.4,0.3,14.3,0.0
