problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,3/0/0,2.0,1.5,18.7,1.2
30n20b8,3,0/1/2,449.2,20.0,721.3,181.2
50v-10,3,0/3/0,143.6,0.3,22.0,0.3
CMS750_4,3,3/0/0,62.9,6.5,108.0,15.7
a1c1s1,3,3/0/0,25.8,0.6,31.7,1.6
academictimetablesmall,3,0/0/3,inf,548.9,1272.8,17.0
aflow30a,3,3/0/0,69.4,0.1,36.6,3.7
aflow40b,3,3/0/0,224.0,0.4,44.1,5.8
air04,3,3/0/0,0.8,3.6,17.8,0.0
air05,3,3/0/0,3.1,1.6,16.1,0.0
app1-1,3,3/0/0,42.0,0.8,50.5,11.2
app1-2,3,3/0/0,43.9,17.2,84.3,35.1
arki001,3,0/2/1,2.9,25.3,1152.1,284.4
assign1-5-8,3,3/0/0,1.5,0.1,24.2,0.0
atlanta-ip,3,3/0/0,12.1,15.1,20.3,0.0
b1c1s1,3,3/0/0,162.2,0.6,37.6,5.5
bab2,3,0/0/3,17.5,941.6,882.6,183.7
bab6,3,0/1/2,21.3,425.2,660.4,109.1
beasleyC3,3,3/0/0,11.4,0.2,35.7,5.6
binkar10_1,3,3/0/0,3.9,0.1,7.7,0.0
blp-ar98,3,3/0/0,69.6,2.1,17.9,0.0
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,2,0/0/2,0.0,156.8,809.7,0.0
bppc4-08,3,3/0/0,226.9,1.1,60.9,8.9
brazil3,3,0/3/0,191.4,18.0,23.3,0.0
buildingenergy,3,0/3/0,1.1,627.1,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.8,40.7,10.7
chromaticindex1024-7,3,3/0/0,0.0,54.0,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,45.2,2.0,0.0
cmflsp50-24-8-8,3,2/0/1,19.0,51.3,367.4,127.6
co-100,3,3/0/0,302.2,6.1,15.6,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3610.3,6.5,26.5,0.0
comp21-2idx,3,0/3/0,431.3,4.7,26.7,0.0
cost266-UUE,3,3/0/0,40.9,0.5,29.5,0.6
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/1/2,39.4,8.9,814.0,168.3
csched008,3,2/1/0,9.0,1.3,121.4,16.7
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,18.1,18.0,0.0
dano3_5,3,3/0/0,0.3,109.0,47.3,7.5
dano3mip,3,3/0/0,13.4,146.7,72.3,14.3
danoint,3,1/2/0,651.4,2.9,152.2,61.9
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,17.8,0.6,22.9,0.0
drayage-25-23,3,3/0/0,10.9,0.7,24.1,0.0
ds,3,3/0/0,4945.0,6.0,1.0,0.0
dws008-01,3,0/1/2,35.9,63.5,942.4,334.2
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,1.0,1.0,0.0
enlight_hard,2,0/0/2,0.0,3.1,702.2,201.5
exp-1-500-5-5,3,3/0/0,60.4,0.1,28.3,0.3
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,642.9,0.3,20.0,0.0
fhnw-binpack4-48,2,0/0/2,0.0,74.2,1611.3,166.0
fiball,3,0/3/0,12.2,7.0,53.3,3.7
fiber,3,3/0/0,153.6,0.1,15.7,0.0
fixnet6,3,3/0/0,53.0,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,12.5,0.1,4.5,0.0
germanrr,3,0/3/0,4.3,16.1,84.4,13.6
gesa2-o,3,0/3/0,10.0,0.2,34.6,1.6
gesa2,3,0/3/0,2.4,0.2,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.6,1.0,0.0
glass4,3,3/0/0,525.8,0.4,145.3,61.1
gmu-35-40,3,3/0/0,6.5,0.1,14.6,0.0
gmu-35-50,3,3/0/0,6.2,0.4,41.4,2.9
graph20-20-1rand,3,3/0/0,33.3,4.9,53.1,1.5
graphdraw-domain,3,0/3/0,118.7,0.5,97.8,26.0
h80x6320d,3,3/0/0,21.4,1.2,32.3,2.3
harp2,3,3/0/0,12.1,0.1,12.7,0.0
highschool1-aigio,3,0/3/0,inf,1151.7,43.4,0.3
hypothyroid-k1,3,3/0/0,0.0,4.6,1.0,0.0
ic97p,3,0/2/1,12.3,2.2,294.8,90.3
ic97t,3,0/0/3,13.1,4.1,1280.7,449.0
icir97p,3,0/0/3,20.2,24.2,1101.1,270.5
icir97t,3,0/3/0,13.9,7.5,280.8,156.6
irish-electricity,3,3/0/0,7.1,28.5,46.2,5.0
irp,3,3/0/0,1.8,0.3,3.0,0.0
istanbul-no-cutoff,3,3/0/0,16.7,6.5,23.3,0.0
k1mushroom,3,3/0/0,18.2,39.9,1.0,0.0
lectsched-5-obj,3,0/0/3,2402.6,112.5,1111.3,0.4
leo1,3,3/0/0,50.7,0.1,1.0,0.0
leo2,3,3/0/0,45.2,0.2,1.0,0.0
liu,3,3/0/0,674.7,1.2,89.7,56.6
lotsize,3,3/0/0,72.8,0.5,48.1,12.9
mad,3,3/0/0,6322.9,0.1,15.3,0.0
manna81,3,0/3/0,13.9,0.1,2.6,0.0
map10,3,3/0/0,33.6,52.5,73.0,21.0
map16715-04,3,3/0/0,99.7,60.7,56.7,11.6
markshare1,3,3/0/0,36348.2,0.1,1.0,0.0
markshare2,3,3/0/0,53841.8,0.1,1.0,0.0
markshare_4_0,3,3/0/0,7400.0,0.1,1.0,0.0
mas74,3,0/3/0,1233.3,0.2,90.0,12.5
mas76,3,0/3/0,173.7,0.2,90.0,9.5
mc11,3,3/0/0,105.6,0.4,43.3,13.0
mcsched,3,3/0/0,16.1,0.6,4.0,0.0
mik-250-20-75-4,3,0/3/0,51.9,0.2,21.0,2.0
milo-v12-6-r2-40-1,3,3/0/0,110.0,0.9,42.3,12.3
misc07,3,3/0/0,20.8,0.2,25.9,0.0
mkc,3,0/3/0,66.5,0.1,2.0,0.0
mod011,3,3/0/0,22.7,0.4,21.7,0.0
modglob,3,3/0/0,106.9,0.1,31.3,1.3
momentum1,2,0/0/2,152.4,58.2,752.8,394.9
msc98-ip,3,3/0/0,11.6,6.7,34.9,1.7
mushroom-best,3,0/3/0,9.56e+06,20.2,54.1,1.3
mzzv11,3,0/3/0,21.7,4.7,29.7,1.2
mzzv42z,3,0/3/0,23.3,4.0,22.0,0.0
n2seq36q,3,3/0/0,29.9,0.4,1.0,0.0
n3div36,3,3/0/0,39.2,0.4,1.0,0.0
n5-3,3,0/3/0,26.5,0.4,30.3,0.6
neos-1122047,3,3/0/0,100.0,0.1,0.0,0.0
neos-1171448,3,3/0/0,2.6,5.4,32.7,2.0
neos-1171737,3,3/0/0,4.6,1.7,28.1,1.9
neos-1354092,3,0/3/0,4.6,180.9,42.9,0.0
