problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,3/0/0,1.1,2.5,47.2,0.0
30n20b8,3,0/3/0,389.3,9.8,365.6,79.7
50v-10,3,0/3/0,139.7,0.2,19.3,0.0
CMS750_4,3,3/0/0,70.0,5.7,93.9,19.0
a1c1s1,3,3/0/0,44.8,0.5,31.3,1.3
academictimetablesmall,1,0/0/1,inf,576.8,1103.0,0.0
aflow30a,3,3/0/0,111.8,0.1,34.0,2.9
aflow40b,3,3/0/0,256.8,0.5,38.7,2.7
air04,3,3/0/0,4.4,4.1,30.9,0.0
air05,3,3/0/0,2.4,0.9,5.0,0.0
app1-1,3,3/0/0,53.0,0.6,39.9,3.6
app1-2,3,3/0/0,43.9,8.4,37.6,7.1
arki001,3,0/2/1,3.0,16.2,837.1,210.3
assign1-5-8,3,3/0/0,5.0,0.1,5.3,0.0
atlanta-ip,3,2/1/0,22.4,20.0,50.6,2.0
b1c1s1,3,3/0/0,211.1,0.6,34.7,4.3
bab2,3,0/0/3,16.3,788.0,748.6,248.5
bab6,3,0/2/1,18.2,181.3,270.5,37.1
beasleyC3,3,3/0/0,10.9,0.2,35.7,5.6
binkar10_1,3,3/0/0,1.7,0.1,14.3,0.0
blp-ar98,3,3/0/0,73.9,1.8,14.6,0.0
blp-ic98,3,3/0/0,36.3,0.4,2.2,0.0
bnatt400,1,0/0/1,0.0,282.2,1082.0,0.0
bppc4-08,3,3/0/0,54.5,0.1,6.0,0.0
brazil3,3,0/3/0,263.7,45.8,40.9,0.0
buildingenergy,3,0/3/0,0.9,176.8,4.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.5,40.3,10.3
chromaticindex1024-7,3,3/0/0,0.0,61.5,6.3,0.0
chromaticindex512-7,3,3/0/0,0.0,70.3,6.9,0.0
cmflsp50-24-8-8,3,3/0/0,15.0,17.5,143.4,39.3
co-100,3,3/0/0,377.5,6.0,17.0,0.0
cod105,3,3/0/0,100.0,1.7,1.0,0.0
comp07-2idx,3,0/3/0,3110.3,16.0,55.2,0.6
comp21-2idx,3,0/3/0,389.5,14.1,64.3,1.0
cost266-UUE,3,3/0/0,35.6,0.3,19.7,0.4
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/0/3,48.0,8.8,984.9,340.2
csched008,3,0/2/1,9.6,3.1,394.8,131.3
cvs16r128-89,3,3/0/0,97.9,0.9,1.0,0.0
dano3_3,3,3/0/0,0.0,18.0,2.0,0.0
dano3_5,3,3/0/0,0.3,19.2,2.0,0.0
dano3mip,3,3/0/0,15.4,23.8,5.0,0.0
danoint,3,2/1/0,59.0,1.0,60.6,11.9
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,7.4,0.4,16.2,0.0
drayage-25-23,3,3/0/0,6.7,0.2,5.0,0.0
ds,3,3/0/0,4945.0,5.9,1.0,0.0
dws008-01,3,0/0/3,63.7,88.0,1124.7,373.2
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,0.9,1.0,0.0
enlight_hard,2,0/0/2,0.0,3.7,877.9,242.6
exp-1-500-5-5,3,3/0/0,120.1,0.1,23.4,0.0
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,814.9,0.7,42.3,1.6
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,13.8,1.5,9.0,0.0
fiber,3,3/0/0,107.5,0.1,15.0,0.0
fixnet6,3,3/0/0,58.8,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,12.7,0.1,3.1,0.0
germanrr,3,0/3/0,4.5,13.4,83.7,13.8
gesa2-o,3,0/3/0,17.4,0.2,34.8,1.3
gesa2,3,0/3/0,2.6,0.2,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.5,1.0,0.0
glass4,3,3/0/0,187.7,0.1,56.1,17.5
gmu-35-40,3,3/0/0,7.4,0.1,3.0,0.0
gmu-35-50,3,3/0/0,12.4,0.3,23.4,2.8
graph20-20-1rand,3,3/0/0,16.1,2.5,27.3,0.0
graphdraw-domain,3,0/3/0,58.5,0.1,13.2,0.0
h80x6320d,3,3/0/0,22.5,1.2,32.0,1.9
harp2,3,3/0/0,11.3,0.1,12.7,0.0
highschool1-aigio,3,0/3/0,inf,1267.2,52.5,0.0
hypothyroid-k1,3,3/0/0,0.0,5.0,1.0,0.0
ic97p,3,0/3/0,11.2,0.8,134.1,44.5
ic97t,3,0/0/3,12.2,4.4,1561.5,569.0
icir97p,3,0/0/3,20.2,23.3,936.6,241.8
icir97t,3,0/3/0,15.5,15.3,524.1,314.9
