problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,1/2/0,2.2,5.7,113.9,2.3
30n20b8,3,0/2/1,359.3,12.6,468.1,95.0
50v-10,3,0/3/0,146.5,0.3,22.0,0.3
CMS750_4,3,3/0/0,68.1,5.3,90.7,16.9
a1c1s1,3,3/0/0,39.0,0.5,31.3,1.3
academictimetablesmall,2,0/0/2,inf,551.7,1441.7,13.3
aflow30a,3,3/0/0,108.8,0.1,34.0,2.9
aflow40b,3,3/0/0,221.7,0.3,32.8,1.6
air04,3,3/0/0,3.5,4.0,31.6,0.4
air05,3,3/0/0,2.5,0.6,4.0,0.0
app1-1,3,3/0/0,66.7,0.6,42.8,4.5
app1-2,3,3/0/0,43.9,7.9,37.3,6.7
arki001,3,0/3/0,3.1,15.0,760.7,185.2
assign1-5-8,3,3/0/0,6.3,0.1,5.6,0.0
atlanta-ip,3,2/1/0,17.4,17.7,30.8,1.6
b1c1s1,3,3/0/0,133.9,0.6,35.0,4.3
bab2,3,1/0/2,12.8,437.9,302.7,28.7
bab6,3,1/1/1,13.8,164.7,211.2,23.0
beasleyC3,3,3/0/0,10.8,0.2,35.7,5.6
binkar10_1,3,3/0/0,1.7,0.1,14.3,0.0
blp-ar98,3,3/0/0,72.9,1.9,15.8,0.0
blp-ic98,3,3/0/0,36.3,0.4,2.2,0.0
bnatt400,1,0/0/1,0.0,117.9,706.0,0.0
bppc4-08,3,3/0/0,54.5,0.2,5.3,0.0
brazil3,3,0/3/0,379.4,47.5,49.3,0.0
buildingenergy,3,0/3/0,0.9,165.3,4.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.6,41.3,11.3
chromaticindex1024-7,3,3/0/0,0.0,63.2,6.3,0.0
chromaticindex512-7,3,3/0/0,0.0,69.4,7.1,0.0
cmflsp50-24-8-8,3,2/1/0,16.2,23.8,189.0,52.6
co-100,3,3/0/0,377.5,5.6,17.0,0.0
cod105,3,3/0/0,100.0,1.6,1.0,0.0
comp07-2idx,3,0/3/0,3196.0,15.6,57.9,0.6
comp21-2idx,3,0/3/0,873.7,13.7,67.2,1.1
cost266-UUE,3,3/0/0,36.7,0.3,19.7,0.4
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/0/3,53.3,14.1,1344.4,404.0
csched008,3,1/1/1,9.2,4.2,472.6,148.3
cvs16r128-89,3,3/0/0,97.9,0.9,1.0,0.0
dano3_3,3,3/0/0,0.0,19.5,2.0,0.0
dano3_5,3,3/0/0,0.3,20.7,2.0,0.0
dano3mip,3,3/0/0,15.4,23.3,5.0,0.0
danoint,3,3/0/0,59.0,1.1,62.3,14.2
disctom,3,3/0/0,0.0,1.2,2.0,0.0
drayage-100-23,3,3/0/0,24.1,0.5,18.1,0.0
drayage-25-23,3,3/0/0,6.7,0.2,5.0,0.0
ds,3,3/0/0,4945.0,5.4,1.0,0.0
dws008-01,3,0/0/3,43.0,69.4,1053.0,355.9
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,0.9,1.0,0.0
enlight_hard,0,0/0/0,-,-,-,-
exp-1-500-5-5,3,3/0/0,136.6,0.1,23.4,0.0
fast0507,3,3/0/0,25.0,0.8,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,650.9,0.7,43.0,3.2
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,13.8,1.9,12.2,0.0
fiber,3,3/0/0,126.5,0.1,15.7,0.0
fixnet6,3,3/0/0,58.8,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,15.7,0.1,6.2,0.7
germanrr,3,0/3/0,4.4,13.5,84.6,16.5
gesa2-o,3,0/3/0,17.4,0.2,34.8,1.3
gesa2,3,0/3/0,2.6,0.2,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.5,1.0,0.0
glass4,3,3/0/0,168.5,0.1,45.9,10.1
gmu-35-40,3,3/0/0,7.4,0.1,3.0,0.0
gmu-35-50,3,2/1/0,11.0,0.4,30.1,4.5
graph20-20-1rand,3,3/0/0,23.3,2.7,28.7,0.3
graphdraw-domain,3,0/3/0,52.8,0.1,15.4,0.3
h80x6320d,3,3/0/0,21.5,1.1,32.0,1.9
harp2,3,3/0/0,11.3,0.1,12.7,0.0
highschool1-aigio,3,0/3/0,inf,1152.0,51.6,0.6
hypothyroid-k1,3,3/0/0,0.0,5.0,1.0,0.0
ic97p,3,0/3/0,11.8,0.7,122.8,41.3
ic97t,3,0/0/3,12.3,4.1,1440.1,525.3
icir97p,3,0/0/3,18.6,19.5,889.2,319.9
icir97t,3,0/3/0,13.6,9.7,376.2,211.5
irish-electricity,3,3/0/0,7.2,10.0,6.7,0.0
irp,3,3/0/0,2.5,0.3,3.0,0.0
istanbul-no-cutoff,3,3/0/0,24.7,4.1,12.9,0.0
k1mushroom,3,3/0/0,18.2,41.7,1.0,0.0
lectsched-5-obj,3,0/0/3,2469.7,120.8,1184.3,0.8
leo1,3,3/0/0,50.7,0.1,1.0,0.0
leo2,3,3/0/0,45.2,0.2,1.0,0.0
liu,3,3/0/0,402.8,0.2,13.9,0.0
lotsize,3,3/0/0,215.9,0.5,47.3,12.3
mad,3,3/0/0,6602.2,0.1,14.9,0.0
manna81,3,0/3/0,13.9,0.1,2.6,0.0
map10,3,3/0/0,63.5,13.7,7.7,0.0
map16715-04,3,3/0/0,73.6,18.1,8.3,0.0
