problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,1/2/0,12.1,12.2,159.6,1.2
30n20b8,3,0/3/0,462.2,5.7,167.0,28.9
50v-10,3,0/3/0,124.7,0.3,23.0,0.3
CMS750_4,3,3/0/0,53.0,4.1,65.1,12.0
a1c1s1,3,3/0/0,52.8,0.4,31.3,1.3
academictimetablesmall,1,0/0/1,inf,770.0,1154.0,0.0
aflow30a,3,3/0/0,131.6,0.1,33.5,2.0
aflow40b,3,3/0/0,207.3,0.3,32.0,1.5
air04,3,3/0/0,0.1,2.6,6.6,0.0
air05,3,3/0/0,4.1,0.8,4.0,0.0
app1-1,3,3/0/0,3.1,0.5,34.6,4.0
app1-2,3,3/0/0,43.9,10.7,51.8,15.3
arki001,3,0/1/2,2.9,20.7,804.1,186.4
assign1-5-8,3,3/0/0,1.9,0.1,22.3,0.0
atlanta-ip,3,3/0/0,18.0,16.9,25.8,0.6
b1c1s1,3,3/0/0,161.3,0.5,33.7,3.6
bab2,3,1/1/1,25.5,314.1,173.0,23.5
bab6,3,2/1/0,23.7,104.4,87.7,15.3
beasleyC3,3,3/0/0,11.6,0.2,35.0,4.8
binkar10_1,3,3/0/0,4.0,0.1,15.7,0.0
blp-ar98,3,3/0/0,71.3,2.0,16.9,0.0
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,3,0/0/3,0.0,212.8,847.3,0.0
bppc4-08,3,3/0/0,51.6,1.2,62.3,9.3
brazil3,3,0/3/0,634.5,21.1,21.4,0.0
buildingenergy,3,0/3/0,1.1,696.7,11.7,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.7,40.0,10.0
chromaticindex1024-7,3,3/0/0,0.0,54.8,3.0,0.0
chromaticindex512-7,3,3/0/0,0.0,45.0,2.0,0.0
cmflsp50-24-8-8,3,0/0/3,19.5,167.5,1050.2,294.6
co-100,3,3/0/0,302.8,6.1,15.6,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3426.9,6.2,24.0,0.0
comp21-2idx,3,0/3/0,426.9,4.6,25.1,0.0
cost266-UUE,3,3/0/0,35.1,0.4,23.5,0.3
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,1/0/2,69.0,6.1,382.5,49.4
csched008,3,1/2/0,9.8,1.7,152.0,24.0
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,18.7,16.2,0.0
dano3_5,3,3/0/0,0.2,44.0,30.1,0.9
dano3mip,3,3/0/0,17.2,280.2,70.6,18.3
danoint,3,3/0/0,651.4,4.0,111.5,41.2
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,5.6,0.3,13.0,0.0
drayage-25-23,3,3/0/0,10.2,0.4,16.4,0.0
ds,3,3/0/0,4945.0,6.0,1.0,0.0
dws008-01,3,0/0/3,95.9,74.6,819.6,235.7
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,1.1,1.0,0.0
enlight_hard,1,0/0/1,0.0,3.0,903.0,499.0
exp-1-500-5-5,3,3/0/0,75.4,0.1,26.9,0.0
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,907.2,0.4,20.3,0.0
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,17.2,7.0,56.0,4.6
fiber,3,3/0/0,153.6,0.1,14.9,0.0
fixnet6,3,3/0/0,42.6,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,10.5,0.1,2.9,0.0
germanrr,3,0/3/0,4.1,11.7,50.8,5.9
gesa2-o,3,0/3/0,20.0,0.2,35.6,1.5
gesa2,3,0/3/0,2.4,0.2,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.6,1.0,0.0
glass4,3,3/0/0,681.5,0.3,104.2,32.2
gmu-35-40,3,3/0/0,6.5,0.1,14.0,0.0
gmu-35-50,3,3/0/0,12.2,0.3,31.4,1.0
graph20-20-1rand,3,3/0/0,14.0,4.1,31.3,0.4
graphdraw-domain,3,0/3/0,28.8,0.3,60.7,10.4
h80x6320d,3,3/0/0,22.0,1.2,32.0,1.9
harp2,3,3/0/0,12.4,0.1,12.7,0.0
highschool1-aigio,3,0/3/0,inf,688.6,15.3,0.0
hypothyroid-k1,3,3/0/0,0.0,4.8,1.0,0.0
ic97p,3,0/0/3,15.4,5.1,886.9,205.4
