problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,1.7316017316017316,3.276903185,95,0
30n20b8,1,3,200.0,22.750346344,1326,337
50v-10,1,2,102.05878303509247,0.178868933,26,0
CMS750_4,1,1,55.95238095237735,3.633690338,73,16
a1c1s1,1,1,26.947994179981578,0.197599179,32,2
academictimetablesmall,1,3,inf,1968.309667584,1080,0
aflow30a,1,1,228.8428324697755,0.070495759,42,6
aflow40b,1,1,368.83561643835617,0.360574963,73,27
air04,1,1,0.43643229955287954,10.410573812,3,0
air05,1,1,1.4787290513384395,5.510136557,4,0
app1-1,1,1,0.0,0.222486023,36,4
app1-2,1,1,43.90243902439025,9.667891895,46,15
arki001,1,3,2.3579608539808437,12.106551373,785,176
assign1-5-8,1,1,2.830188679246248,0.035460643,23,0
atlanta-ip,1,2,31.12304559941099,43.538911527,33,0
b1c1s1,1,1,175.75053220204322,0.168588586,34,4
bab2,0,0,0,0,0,0
bab6,1,3,31.69494577965715,421.477509642,738,216
beasleyC3,1,1,11.405835543766578,0.112499633,36,6
binkar10_1,1,1,12.939992533224967,0.019676058,4,0
blp-ar98,1,1,53.84943420571179,1.070680238,9,0
blp-ic98,1,1,19.24511607212877,0.848475697,6,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,96.22641509433963,0.384122061,59,8
brazil3,1,2,775.0,27.869488107,30,0
buildingenergy,0,0,0,0,0,0
cap6000,1,1,0.34984418961261365,0.047376493,1,0
cbs-cta,1,1,0.0,1.561833011,31,1
chromaticindex1024-7,1,1,0.0,6.708381054,2,0
chromaticindex512-7,1,1,0.0,3.015461871,2,0
cmflsp50-24-8-8,1,3,23.31579939832668,254.250036459,1283,352
co-100,1,1,346.68666781270156,3.667142796,18,0
cod105,1,1,100.0,2.032047641,1,0
comp07-2idx,1,2,4166.666666666667,19.724843141,27,0
comp21-2idx,1,2,339.18918918918916,16.485561519,18,0
cost266-UUE,1,1,34.07312335705006,0.373436532,26,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,75.78347578347578,6.428843887,863,186
csched008,1,2,9.248554913294798,2.824600803,708,210
cvs16r128-89,1,1,97.9381443298969,0.097445145,1,0
dano3_3,1,1,1.1170548403180844e-10,47.811823509,13,0
dano3_5,1,1,0.011997093328031215,81.135778172,26,0
dano3mip,1,1,10.162335686465433,1264.676051841,68,17
danoint,1,1,33.9421613394216,1.129746482,102,36
disctom,1,1,0.0,3.68511604,3,0
drayage-100-23,1,1,37.79540403604392,0.340989088,21,0
drayage-25-23,1,1,29.611294350072242,0.171710952,7,0
ds,1,1,1026.6577540106941,3227.208868684,67,0
dws008-01,1,3,61.86848857193723,40.155084999,729,175
eil33-2,1,1,75.37883554725691,2.133451733,40,2
