problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,3.463203463203463,0.405404532,14,0
30n20b8,1,3,250.66225165562915,16.774127131,979,214
50v-10,1,2,130.36047622046243,0.163329743,25,0
CMS750_4,1,1,92.46031746031746,2.950456949,56,13
a1c1s1,1,1,24.013592177095504,0.228213534,31,1
academictimetablesmall,1,3,inf,3117.102910827,1191,0
aflow30a,1,1,218.39378238341968,0.063038247,37,4
aflow40b,1,1,468.57876712328766,0.211681912,42,8
air04,1,1,2.166129290842047,14.60231726,4,0
air05,1,1,2.5441722908925457,5.096758519,6,0
app1-1,1,1,0.0,0.211984422,36,5
app1-2,1,1,46.34146341463415,6.916160334,36,5
arki001,1,3,2.347839727165004,12.561696197,772,183
assign1-5-8,1,1,6.1320754716991095,0.010762092,5,0
atlanta-ip,1,2,7.789223041255456,36.76319309,8,0
b1c1s1,1,1,86.26863725719875,0.216156819,34,4
bab2,1,3,61.22339706137373,2746.283295298,1002,260
bab6,1,1,54.063968251113565,194.743911655,94,16
beasleyC3,1,1,11.140583554376658,0.111173064,36,6
binkar10_1,1,1,1.1011263056986245,0.017064659,3,0
blp-ar98,1,1,64.72723310715371,1.580277845,14,0
blp-ic98,1,1,20.27980691358635,0.727184219,4,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,35.84905660377358,0.048840854,5,0
brazil3,1,2,1058.3333333333333,55.814017138,46,1
buildingenergy,1,2,1.387776124130428,1396.901857902,3,0
cap6000,1,1,0.34984418961261365,0.047649439,1,0
cbs-cta,1,1,0.0,1.966318063,33,2
chromaticindex1024-7,1,1,0.0,31.074454555,4,0
chromaticindex512-7,1,1,0.0,5.192793035,3,0
cmflsp50-24-8-8,1,3,19.549546799316897,210.930470653,948,265
co-100,1,1,410.24771695178777,4.490808787,24,0
cod105,1,1,100.0,2.002296357,1,0
comp07-2idx,1,2,3433.3333333333335,19.982068847,50,2
comp21-2idx,1,2,341.8918918918919,29.403584882,61,1
cost266-UUE,1,1,33.04231222056687,0.607451521,31,1
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,72.64957264957265,5.763446943,972,228
csched008,1,2,8.670520231213873,0.51772733,132,41
cvs16r128-89,1,1,97.9381443298969,0.098412984,1,0
dano3_3,1,1,0.00897937312629246,69.71507371,2,0
dano3_5,1,1,0.31682528385330483,69.225008999,2,0
dano3mip,1,1,15.44095552884615,105.898789948,5,0
danoint,1,1,20.243531202435307,0.091582324,32,1
disctom,1,1,0.0,2.210984488,3,0
drayage-100-23,1,1,40.26910518148813,0.189431814,10,0
drayage-25-23,1,1,25.0501411681011,0.203802057,10,0
ds,0,0,0,0,0,0
dws008-01,1,3,49.01312905444919,30.30674968,707,191
eil33-2,1,1,30.218547847939348,1.711604703,34,1
eilA101-2,0,0,0,0,0,0
enlight_hard,1,3,0.0,0.669107633,708,333
exp-1-500-5-5,1,1,177.25955044242414,0.013728643,13,0
fast0507,1,1,13.793103448275861,1.270185934,1,0
fastxgemm-n2r6s0t2,1,1,1043.4782608695652,0.236089081,38,1
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,16.666666666666668,0.931289328,10,0
fiber,1,1,173.24675465443744,0.005522892,1,0
fixnet6,1,1,35.30002510670349,0.045508598,31,1
gen-ip002,1,2,16.47404906422928,0.00299835,1,0
gen-ip054,1,2,11.508147931320472,0.001874363,2,0
germanrr,1,2,2.301337202344303,3.351524032,22,0
gesa2-o,1,2,9.973896742592833,0.084396272,36,3
gesa2,1,2,2.398589762702777,0.077573392,25,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.18590182,1,0
glass4,1,1,262.499977083574,0.040517569,50,11
gmu-35-40,1,1,1.957205775706137,0.221449931,105,25
gmu-35-50,1,1,1.4790392930035487,0.059385692,17,0
graph20-20-1rand,1,1,11.11111111111111,3.405756716,13,0
graphdraw-domain,1,2,70.69491008838769,0.017969461,12,0
h80x6320d,1,1,36.355439616558144,1.451343738,35,3
harp2,1,1,12.060533241938945,0.028632189,17,0
highschool1-aigio,1,2,inf,819.969561398,50,0
hypothyroid-k1,1,1,0.0,30.897040867,1,0
ic97p,1,3,12.049720953931967,2.16867528,691,178
ic97t,1,2,12.810755961440893,0.596673052,492,166
icir97p,1,3,22.67193675889328,15.887140015,1108,207
icir97t,1,2,15.435294117647059,2.012685507,156,87
irish-electricity,1,3,41.03362319492777,972.311524767,726,2
irp,1,1,3.449314509089115,1.181451641,15,0
istanbul-no-cutoff,1,1,18.065812290448942,4.308791433,13,0
k1mushroom,1,1,18.248175182481752,26.393396447,1,0
lectsched-5-obj,1,3,2583.3333333333335,138.389905728,1525,0
leo1,1,1,33.790793377800625,0.149496584,1,0
leo2,1,1,37.79900895646415,0.237054185,1,0
liu,1,1,455.5350553505535,0.095438418,14,0
lotsize,1,1,335.2297501342729,0.295638926,44,9
mad,1,1,9213.432835820895,0.084602035,15,0
manna81,1,2,2.1498024916438774,0.064830988,2,0
map10,1,1,44.24242424242424,23.162068221,7,0
map16715-04,1,1,80.18018018018019,33.194515847,9,0
markshare1,1,1,67700.0,0.043079963,47,6
markshare2,1,1,28300.0,0.071406443,51,9
markshare_4_0,1,1,50200.0,0.019432724,54,11
mas74,1,2,35.13542622275701,0.006255336,6,0
mas76,1,2,12.179250649292209,0.004607039,4,0
mc11,1,1,128.68508854478569,0.398042203,44,14
mcsched,1,1,27.24986197165818,0.199395307,4,0
mik-250-20-75-4,1,2,9.877440201908186,0.014984883,6,0
milo-v12-6-r2-40-1,1,1,146.90537991965712,1.49100121,43,13
misc07,1,1,77.40213523131672,0.085210801,51,3
mkc,1,2,117.7562965590635,0.034915191,2,0
mod011,0,0,0,0,0,0
modglob,1,1,58.7041257682033,0.006850298,6,0
momentum1,1,2,246.85701387878697,141.389256886,997,811
msc98-ip,1,2,19.495075938564607,1.788852993,12,0
mushroom-best,1,2,8019801.959218225,30.365184295,81,28
mzzv11,1,2,17.598305552997513,1.512245648,14,0
mzzv42z,1,2,17.224926971762414,1.086395583,5,0
n2seq36q,1,1,5.363984674329502,0.555678447,3,0
n3div36,1,1,35.015290519877674,0.322740161,1,0
n5-3,1,2,24.367674275138803,0.288660568,25,0
neos-1122047,1,1,0.6211180124223602,0.325265512,1,0
neos-1171448,1,1,8.090614886731391,1.173175814,3,0
neos-1171737,1,1,18.974358974358974,0.418369727,4,0
neos-1354092,1,2,15.217391304347826,70.246319572,26,0
neos-1445765,1,1,12.630039925771804,1.528030161,6,0
neos-1456979,1,3,90.9090909090909,46.279169631,745,113
neos-1582420,1,2,47.252747252747255,0.408501269,56,5
neos-2657525-crna,1,2,960.7462717064991,0.008899066,6,0
