problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,3.6796536796536796,7.308023275,330,49
30n20b8,1,3,134.43708609271522,22.322053972,1319,258
50v-10,1,2,150.05103974802068,0.179367538,25,0
CMS750_4,1,1,59.523809523809526,8.247322826,175,30
a1c1s1,1,1,21.414413890675803,0.190277193,32,2
academictimetablesmall,1,3,inf,1591.869340274,761,0
aflow30a,1,1,178.67012089810018,0.163927154,94,31
aflow40b,1,2,266.8664383561644,0.7483559,147,50
air04,1,1,0.09441188520939843,27.634276128,26,0
air05,1,1,2.0285129294001667,6.83216217,8,0
app1-1,1,1,33.333333333333336,0.227214844,34,3
app1-2,1,1,43.90243902439025,9.032443516,41,7
arki001,1,2,2.1817430431424736,6.758240458,574,184
assign1-5-8,1,1,0.47169811320849003,0.036651471,25,0
atlanta-ip,1,2,62.23543960288901,57.408782945,194,24
b1c1s1,1,1,116.40115301954633,0.200599381,34,4
bab2,1,3,59.34899176825513,1664.709647808,1709,232
bab6,1,3,44.85395152188724,526.686524549,960,75
beasleyC3,1,1,10.344827586206897,0.119957534,36,6
binkar10_1,1,1,0.9683802264567108,0.017031619,3,0
blp-ar98,1,1,65.44387056250991,1.360158076,13,0
blp-ic98,1,1,19.24511607212877,0.840806446,6,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,37.735849056603776,0.381652674,62,7
brazil3,1,2,395.8333333333333,24.844982552,22,0
buildingenergy,0,0,0,0,0,0
cap6000,1,1,0.34984418961261365,0.047539276,1,0
cbs-cta,1,1,inf,1.842822143,32,2
chromaticindex1024-7,1,1,0.0,6.596149769,2,0
chromaticindex512-7,1,1,0.0,3.173298868,2,0
cmflsp50-24-8-8,1,1,12.120222082497158,21.693467964,87,23
co-100,1,1,347.034880757951,3.122164012,16,0
cod105,1,1,100.0,2.012111541,1,0
comp07-2idx,1,2,4216.666666666667,16.044042334,20,0
comp21-2idx,1,2,305.4054054054054,14.229919331,24,0
cost266-UUE,1,1,30.734300562520325,0.439188444,26,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,56.98005698005698,7.371386944,950,323
csched008,1,2,8.670520231213873,0.90814581,238,70
cvs16r128-89,1,1,97.9381443298969,0.098711659,1,0
dano3_3,1,1,0.00897938506209148,33.321293776,18,0
dano3_5,1,1,0.1421363481970643,475.734026151,48,9
dano3mip,1,1,12.592103887959846,1190.478388776,70,17
danoint,1,2,32.420091324200904,1.005502155,274,124
disctom,1,1,0.0,2.9034629,4,0
drayage-100-23,1,1,53.21064071992309,0.253501895,14,0
drayage-25-23,1,1,75.26304582443572,0.404046462,22,0
ds,0,0,0,0,0,0
dws008-01,1,3,67.75515484229994,38.536766918,717,196
eil33-2,1,2,15.600106648346765,10.297381602,164,31
eilA101-2,0,0,0,0,0,0
enlight_hard,1,3,0.0,0.848647426,757,232
exp-1-500-5-5,1,1,59.542853673714085,0.026894265,25,0
fast0507,1,1,13.793103448275861,1.598742071,1,0
fastxgemm-n2r6s0t2,1,1,1305.6521739130435,0.107556128,26,0
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,10.869565217391305,4.399727888,52,6
