problem,numSols,stage,gap,time,iterations,restarts
10teams,1,3,6.4935064935064934,19.213215058,703,78
30n20b8,1,2,266.2251655629139,11.960024982,708,95
50v-10,1,2,148.52167559054038,0.147454571,21,0
CMS750_4,1,1,115.47619047619192,5.63313235,119,39
a1c1s1,1,1,23.445799720082753,0.236225291,32,2
academictimetablesmall,1,3,inf,1388.607187543,1182,0
aflow30a,1,1,176.07944732297065,0.085426216,48,11
aflow40b,1,1,155.3082191780822,0.285542774,54,11
air04,1,1,2.770009084917256,11.893179828,4,0
air05,1,1,4.565101994388413,5.474383861,12,0
app1-1,1,1,66.66666666666667,0.354849202,59,23
app1-2,1,1,46.34146341463415,7.157824832,35,3
arki001,1,3,1.9687557154658297,16.525259974,1386,425
assign1-5-8,1,1,5.188679245284006,0.010855534,5,0
atlanta-ip,1,2,8.900524017266555,39.378043926,9,0
b1c1s1,1,1,111.46372494003178,0.242171116,34,4
bab2,1,3,57.720525054416825,1270.047919498,1672,149
bab6,1,3,46.98472555875091,570.480628078,1129,79
beasleyC3,1,1,10.610079575596817,0.119460335,36,6
binkar10_1,1,1,0.9683802264567108,0.017711118,3,0
blp-ar98,1,1,58.78338347078512,1.579262691,13,0
blp-ic98,1,1,13.498402087925813,0.733888054,4,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,33.9622641509434,0.054614966,6,0
brazil3,1,2,391.6666666666667,50.567214362,39,0
buildingenergy,1,2,0.8702550703683039,2212.040233923,4,0
cap6000,1,1,0.34984418961261365,0.047611767,1,0
cbs-cta,1,1,inf,2.103800077,39,7
chromaticindex1024-7,1,1,0.0,37.521686364,6,0
chromaticindex512-7,1,1,0.0,7.127673752,3,0
cmflsp50-24-8-8,1,1,24.150710813052154,48.110326131,269,79
co-100,1,1,409.6162250621513,2.59642844,13,0
cod105,1,1,100.0,2.012123404,1,0
comp07-2idx,1,2,4300.0,21.556438526,62,1
comp21-2idx,1,2,382.43243243243245,26.777465399,62,1
cost266-UUE,1,1,34.64989111255025,0.543569712,31,1
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,2,43.3048433048433,5.263317693,1250,279
csched008,1,2,9.248554913294798,1.349293156,337,97
cvs16r128-89,1,1,97.9381443298969,0.09863955,1,0
dano3_3,1,1,0.00897937312629246,66.694437315,2,0
dano3_5,1,1,0.31682528385330483,69.60976119,2,0
dano3mip,1,1,15.44095552884615,103.018398786,5,0
danoint,1,1,17.19939117199391,0.23252461,71,24
disctom,1,1,0.0,4.905925615,4,0
drayage-100-23,1,1,40.26910518148813,0.218234269,10,0
drayage-25-23,1,1,26.805003051801588,0.21049455,9,0
ds,0,0,0,0,0,0
dws008-01,1,3,27.26047989282968,44.713928334,1114,293
eil33-2,1,2,33.494413017373304,12.865023488,209,55
eilA101-2,1,2,107.44454172454876,2456.910890262,530,5
enlight_hard,1,3,0.0,0.844597321,757,232
exp-1-500-5-5,1,1,137.5385129084645,0.025297865,25,0
fast0507,1,1,13.793103448275861,1.948937746,1,0
fastxgemm-n2r6s0t2,1,1,1042.1739130434783,0.232514491,44,4
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,16.666666666666668,0.925171858,10,0
fiber,1,1,173.24675465443744,0.005571195,1,0
fixnet6,1,1,35.30002510670349,0.048299987,31,1
gen-ip002,1,2,16.47404906422928,0.00297868,1,0
gen-ip054,1,2,11.508147931320472,0.001899785,2,0
germanrr,1,2,4.967524684937388,11.462009414,94,30
gesa2-o,1,2,8.613947319750688,0.084202496,35,2
gesa2,1,2,2.398589762702777,0.081175245,25,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.183242269,1,0
glass4,1,1,899.9977968180052,0.09649334,117,49
gmu-35-40,1,1,1.4907579404148774,0.080983112,42,4
gmu-35-50,1,1,1.5930225861558254,0.181169822,56,4
graph20-20-1rand,1,1,11.11111111111111,21.659098269,20,0
graphdraw-domain,1,2,74.04246672762369,0.100200725,87,33
h80x6320d,1,1,38.03595642128365,1.412783838,34,3
harp2,1,1,11.101764731732933,0.023701417,13,0
highschool1-aigio,1,2,inf,930.01630789,55,0
hypothyroid-k1,1,1,0.0,33.736811846,1,0
ic97p,1,3,15.626585487950306,2.378801417,771,222
ic97t,0,0,0,0,0,0
icir97p,1,3,21.075098811968395,13.302126349,911,198
icir97t,1,2,17.349019607843136,14.038304402,1004,634
irish-electricity,1,3,48.024127905187264,1303.208180917,1247,1
irp,1,1,3.5305784329530687,2.424515207,32,0
istanbul-no-cutoff,1,1,61.85804005142416,5.252317895,15,0
k1mushroom,1,1,18.248175182481752,26.058537936,1,0
lectsched-5-obj,1,3,2379.1666666666665,142.691237686,1412,0
leo1,1,1,33.790793377800625,0.14764014,1,0
leo2,1,1,37.79900895646415,0.228840152,1,0
liu,1,1,455.5350553505535,0.098920075,14,0
lotsize,1,1,334.9149943081824,0.303041657,43,7
mad,1,1,6642.537313432836,0.069169793,12,0
manna81,1,2,2.1498024916438774,0.066614886,2,0
map10,1,1,44.24242424242424,23.10232346,7,0
map16715-04,1,1,80.18018018018019,35.106861804,9,0
markshare1,1,1,54700.0,0.055473232,60,9
markshare2,1,1,50500.0,0.087596813,62,8
markshare_4_0,1,1,34900.0,0.02344622,64,12
mas74,1,2,35.13542622275701,0.00876132,9,0
mas76,1,2,12.179250649292209,0.005578962,5,0
mc11,1,1,125.67371032594747,0.414216522,44,14
mcsched,1,1,40.41611416005625,0.197796972,4,0
mik-250-20-75-4,1,2,107.23313129768073,0.015974578,6,0
milo-v12-6-r2-40-1,1,1,140.01371083117493,1.481205665,44,14
misc07,1,1,43.77224199288256,0.068094608,42,0
mkc,1,2,117.7562965590635,0.035467277,2,0
mod011,0,0,0,0,0,0
modglob,1,1,58.7041257682033,0.007831938,7,0
momentum1,1,3,389.1497281358179,89.253879981,795,541
msc98-ip,1,2,20.930525637717768,1.66898264,12,0
mushroom-best,1,2,8014324.601599896,94.196934351,105,30
mzzv11,1,2,23.35389999079105,1.69311836,14,0
mzzv42z,1,2,16.49464459591042,1.082894986,6,0
n2seq36q,1,1,5.363984674329502,0.61841255,3,0
n3div36,1,1,35.015290519877674,0.315481617,1,0
n5-3,1,2,20.66625539790253,0.291086508,25,0
neos-1122047,1,1,0.6211180124223602,0.330149824,1,0
neos-1171448,1,1,8.090614886731391,1.256043555,3,0
neos-1171737,1,1,19.487179487179485,0.429900629,4,0
neos-1354092,1,2,10.869565217391305,64.09672886,23,0
neos-1445765,1,1,26.435359613113647,1.581460656,12,0
neos-1456979,1,2,121.02272727272727,23.6249872,613,180
neos-1582420,1,2,85.71428571428571,0.671263363,110,12
neos-2657525-crna,1,2,960.7462717064991,0.008658776,6,0
neos-2746589-doon,1,3,25.639876506325514,193.518199077,684,274
neos-2978193-inde,1,1,11.743489926342741,0.13548755,4,0
neos-2987310-joes,1,1,0.5493888590468604,12.549117033,57,12
neos-3004026-krka,0,0,0,0,0,0
neos-3024952-loue,1,3,956.4508895201077,89.103302978,2000,8
neos-3046615-murg,1,2,33.0625,0.010745943,15,0
neos-3083819-nubu,1,2,0.8047722287712294,0.03286726,1,0
