problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,4.97835497835499,6.077227179,112,2
30n20b8,1,3,265.5629139072848,40.929903707,1370,219
50v-10,1,2,101.87606878739273,0.332349133,26,0
CMS750_4,1,1,51.98412698412698,2.407093227,76,10
a1c1s1,1,1,20.42611151920301,0.25765605,32,1
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,159.32642487046633,0.071397936,37,4
aflow40b,1,1,139.6404109589041,0.32139777,41,5
air04,1,1,0.11222544845645474,4.600415792,12,0
air05,1,1,2.328050352620046,1.4035312,5,0
app1-1,1,1,66.66666666666667,0.111812123,32,2
app1-2,1,1,43.90243902439025,2.853580814,45,15
arki001,1,3,2.608171697228411,36.744829687,786,166
assign1-5-8,1,2,0.47169811320849003,0.064748608,22,0
atlanta-ip,1,1,31.123214182066572,29.786221419,34,0
b1c1s1,1,1,158.39876956924758,0.143475317,33,3
bab2,1,2,53.902239331249795,472.488746439,219,80
bab6,1,1,10.156609850799327,120.604903428,30,0
beasleyC3,1,1,11.405835543766578,0.139323264,36,6
binkar10_1,1,1,12.939992533197112,0.023263802,4,0
blp-ar98,1,1,96.54500559923127,3.150720635,47,4
blp-ic98,1,1,44.12347311659201,0.23825218,1,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,2,33.9622641509434,0.496338717,56,6
brazil3,1,2,950.0000000000008,59.42574446,29,0
buildingenergy,0,0,0,0,0,0
cap6000,1,1,0.34984418961261365,0.034978445,1,0
cbs-cta,1,1,0.0,2.09180974,31,1
chromaticindex1024-7,1,1,0.0,677.994920326,2,0
chromaticindex512-7,1,1,0.0,143.493748847,1,0
cmflsp50-24-8-8,0,0,0,0,0,0
co-100,1,1,44544.54352456508,2.158477927,12,0
cod105,1,1,100.0,15.440197661,1,0
comp07-2idx,1,2,3233.3333333333335,13.366617261,19,0
comp21-2idx,1,2,494.5945945945948,7.016791961,28,0
cost266-UUE,1,3,105.80110011600401,0.232081209,9,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,59.82905982905983,191.482728194,804,37
csched008,1,2,9.248554913294798,13.930490443,258,41
cvs16r128-89,1,1,97.9381443298969,3.336291542,1,0
dano3_3,1,1,0.008979373126174106,59.744789404,18,0
dano3_5,1,1,0.01199709333090824,98.408156102,26,0
dano3mip,1,1,23.442963286713265,442.327830333,71,18
danoint,1,1,8.828006088280057,2.798681798,74,22
disctom,1,1,0.0,6.16571454,2,0
drayage-100-23,1,1,124.10697624971424,1.185629379,34,0
drayage-25-23,1,1,161.74577561735475,1.293957031,33,1
ds,0,0,0,0,0,0
dws008-01,0,0,0,0,0,0
eil33-2,1,1,75.37883554725691,0.771759882,40,2
eilA101-2,1,2,108.01228855591067,993.138180395,504,8
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,48.83209130784525,0.029699537,26,0
fast0507,1,1,17.24137931034483,4.658746064,1,0
fastxgemm-n2r6s0t2,1,3,2714.2260869565216,21.12141305,820,148
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,8.695652173913043,5.860969461,57,2
fiber,1,1,27192.59152692351,0.006249223,1,0
fixnet6,1,1,21.591765001255336,0.04983508,31,1
gen-ip002,1,2,9.532299706806048,0.003321512,1,0
gen-ip054,1,2,8.049697986159025,0.003839456,4,0
germanrr,1,2,3.6002971564959667,8.749124551,49,7
gesa2-o,1,2,3.4136374242918004,0.086068333,31,1
gesa2,1,2,2.1555859259511125,0.15188401,26,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.443472616,1,0
glass4,1,1,272.9162635458994,0.06670795,89,36
gmu-35-40,1,1,13.083002042598343,0.108311016,52,9
gmu-35-50,1,1,15.493188639252534,0.155259817,43,4
graph20-20-1rand,1,1,33.333333333333336,2.526149329,24,0
graphdraw-domain,1,2,28.76155643604592,0.090701011,71,18
h80x6320d,1,1,29.22288129117287,0.832256603,34,3
harp2,1,1,11.913857605793641,0.034948421,16,0
highschool1-aigio,0,0,0,0,0,0
hypothyroid-k1,1,1,98.98281304805332,32.689857674,83,23
ic97p,1,3,14.814814814814815,3.96176792,717,140
ic97t,0,0,0,0,0,0
icir97p,1,3,14.181818181818182,36.004056051,991,193
icir97t,1,2,13.882352941176471,15.137076826,445,291
irish-electricity,1,1,4.045784548664732,51.674892378,30,0
irp,1,1,7.0779148542908805,0.687154646,16,0
istanbul-no-cutoff,1,1,1.8368368411994749,9.176191884,7,0
k1mushroom,1,1,18.248175182481766,84.023895904,1,0
lectsched-5-obj,1,3,2841.6666666666665,200.094822717,2196,17
leo1,1,1,786.9816554458648,0.205164288,1,0
leo2,1,1,7046.7202880608065,0.454114713,1,0
liu,1,1,674.7232472324723,0.583185101,92,34
lotsize,1,1,67.2069558402778,0.357095427,49,12
mad,1,1,7680.597014925374,0.033134757,12,0
manna81,1,2,2.1422060164083865,0.171952864,3,0
map10,1,1,53.73737373737374,100.752653329,64,21
map16715-04,1,1,100.0,64.416438739,39,4
markshare1,1,1,41700.0,0.000526218,1,0
markshare2,1,1,48800.0,0.000680606,1,0
markshare_4_0,1,1,6400.0,0.000347964,1,0
mas74,1,1,134.0585745517404,0.068059042,89,16
mas76,1,1,58.88987682070536,0.079559814,89,16
mc11,1,1,118.93232954059373,0.296141763,42,12
mcsched,1,1,15.468612119124357,0.320326402,4,0
mik-250-20-75-4,1,2,42.11774153457869,0.13192479,35,3
milo-v12-6-r2-40-1,1,3,91.76746996384408,21.306496324,798,0
misc07,1,1,68.86120996441281,0.046309991,26,0
mkc,1,1,26698.687477829022,0.198078785,12,0
mod011,1,1,7.722202681073614,0.160037677,21,0
modglob,1,1,0.14113012834527447,0.022629925,31,1
momentum1,1,2,276.322906580277,31.962004011,1202,983
msc98-ip,1,1,27.819026893874298,9.093471983,31,1
mushroom-best,1,2,12214418.54907336,107.260327484,48,4
mzzv11,1,2,58.269638088221754,20.918655937,17,0
mzzv42z,1,2,61.31937682570594,7.953367594,19,0
n2seq36q,1,1,99.28352490421456,0.734623293,3,0
n3div36,1,1,99.34785932721712,0.368195059,1,0
n5-3,1,2,34.79333744602098,0.440265622,17,0
neos-1122047,1,1,3.7267080745341614,2.460881007,11,0
neos-1171448,1,1,3.883495145631068,1.633925171,31,1
neos-1171737,1,1,8.717948717948717,0.698955441,31,1
neos-1354092,1,2,19.565217391304348,264.75152524,35,0
neos-1445765,1,1,37.608952370241276,399.766028239,11,0
neos-1456979,1,3,116.47727272727273,37.655409859,731,83
neos-1582420,1,2,140.65934065934067,7.082899387,553,87
neos-2657525-crna,1,2,1220.534845268364,0.760294152,324,9
neos-2746589-doon,1,2,1857.6735384921822,1058.381709841,656,52
neos-2978193-inde,1,1,12.027533509823224,0.132270511,2,0
neos-2987310-joes,1,0,0,0,0,0
neos-3004026-krka,0,0,0,0,0,0
neos-3024952-loue,1,3,597.7537748542383,119.038303848,1459,3
neos-3046615-murg,1,2,6172.5625,0.047957195,116,94
neos-3083819-nubu,1,2,0.8047722287712294,0.06767842,1,0
neos-3216931-puriri,0,0,0,0,0,0
neos-3381206-awhea,0,0,0,0,0,0
neos-3402294-bobin,1,1,502.2304832713801,17.321200485,22,0
neos-3555904-turama,0,0,0,0,0,0
neos-3627168-kasai,1,1,1.7025394320423444,0.152400729,26,0
neos-3656078-kumeu,1,3,699.4564309682513,1262.493557316,881,36
neos-3754480-nidda,1,1,23.21787473803761,0.058447541,69,15
neos-4300652-rahue,0,0,0,0,0,0
neos-4338804-snowy,1,2,506.4581917063222,2.475965246,467,81
neos-4387871-tavua,0,0,0,0,0,0
neos-4413714-turia,1,3,131506.37926366675,848.927159825,1485,867
neos-4532248-waihi,1,2,949.3506493506494,216.094553576,163,19
neos-4647030-tutaki,1,1,47.61430274352747,16.086165047,26,0
neos-4722843-widden,1,2,348.88705100901234,329.009352899,428,22
neos-4738912-atrato,1,2,19.565093843562295,0.234595151,5,0
neos-4763324-toguru,1,1,34.827799150604015,23.077088911,21,0
neos-4954672-berkel,1,1,51.17228216424071,0.04224846,32,1
neos-5049753-cuanza,0,0,0,0,0,0
