problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,13.203463203463203,5.108192105,91,0
30n20b8,1,3,316.2251655629139,39.452728851,1256,173
50v-10,1,2,134.32431993801126,0.323974125,31,1
CMS750_4,1,1,58.73015873015873,1.454679522,36,2
a1c1s1,1,1,21.11490608987623,0.361286505,31,1
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,65.8894645941278,0.05106841,25,0
aflow40b,1,1,204.96575342465752,0.261436988,35,2
air04,1,1,1.5373105082209206,6.349153441,12,0
air05,1,1,2.6579206794570687,1.612191734,7,0
app1-1,1,1,0.0,0.132054363,37,6
app1-2,1,1,41.46341463414634,2.470513071,37,5
arki001,1,3,2.908869890883636,43.395868206,958,215
assign1-5-8,1,2,3.7735849056613513,0.03657104,6,0
atlanta-ip,1,1,32.23408203595541,23.432832646,17,0
b1c1s1,1,1,90.38866862910865,0.259810879,33,3
bab2,1,2,58.68276640166873,830.240985767,692,278
bab6,1,2,51.876362268593745,235.964445216,231,56
beasleyC3,1,1,11.140583554376658,0.135540963,36,6
binkar10_1,1,1,1.101126305702523,0.021321131,3,0
blp-ar98,1,1,84.79835507353147,2.835989943,42,2
blp-ic98,1,1,45.29739265621692,0.233735628,1,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,2,37.735849056603776,0.15737347,5,0
brazil3,1,2,1191.6666666666658,118.695797042,62,0
buildingenergy,1,2,1.428460284417821,889.469430549,3,0
cap6000,1,1,0.34984418961261365,0.034894019,1,0
cbs-cta,1,1,0.0,2.068873858,31,1
chromaticindex1024-7,1,1,0.0,1824.659557485,5,0
chromaticindex512-7,1,1,0.0,141.415145885,1,0
cmflsp50-24-8-8,0,0,0,0,0,0
co-100,1,1,59331.89988040874,2.651500457,15,0
cod105,1,1,100.0,15.749879765,1,0
comp07-2idx,1,2,3266.6666666666665,36.198465056,50,1
comp21-2idx,1,2,352.7027027027027,12.463802822,57,0
cost266-UUE,1,3,105.80110011600401,0.228451367,7,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,103.98860398860398,185.590383251,846,27
csched008,1,2,9.826589595375722,0.5637042,52,7
cvs16r128-89,1,1,97.9381443298969,3.34728234,1,0
dano3_3,1,1,0.011019244640079678,64.382480523,2,0
dano3_5,1,1,0.31762584799913945,97.502179941,2,0
dano3mip,1,1,15.44095552884615,141.067742063,5,0
danoint,1,1,20.243531202435307,0.292604141,32,1
disctom,1,1,0.0,6.181072581,2,0
drayage-100-23,1,1,196.85967101001916,1.162367219,34,1
drayage-25-23,1,1,192.0025117397389,1.700204714,53,0
ds,0,0,0,0,0,0
dws008-01,1,3,17.39539691181468,18.81274169,697,200
eil33-2,1,1,30.218547847939348,0.640439277,34,1
eilA101-2,1,2,190.5193026880027,1223.269174772,622,11
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,177.25955044242414,0.017457265,13,0
fast0507,1,1,14.367816091954023,4.614500643,1,0
fastxgemm-n2r6s0t2,1,3,2714.2260869565216,18.400819859,729,143
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,12.318840579710145,3.758551778,32,1
fiber,1,1,27192.59152692351,0.006271792,1,0
fixnet6,1,1,35.30002510670349,0.051742854,31,1
gen-ip002,1,2,16.47404906422928,0.003158228,1,0
gen-ip054,1,2,9.695150073878425,0.004286266,5,0
germanrr,1,2,3.5177677081819785,4.664638962,30,0
gesa2-o,1,2,3.680499698373411,0.10327897,33,2
gesa2,1,2,2.509994184645312,0.165411841,25,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.439463495,1,0
glass4,1,1,207.63813091073655,0.010313728,11,0
gmu-35-40,1,1,7.605918589613913,0.022411964,3,0
gmu-35-50,1,1,6.1597767093157865,0.122232887,32,1
graph20-20-1rand,1,1,0.0,1.69213053,18,0
graphdraw-domain,1,2,32.22594737376816,0.07227371,65,33
h80x6320d,1,1,36.35543961655809,0.852362051,35,3
harp2,1,1,12.512727977819607,0.033817538,15,0
highschool1-aigio,0,0,0,0,0,0
hypothyroid-k1,1,1,99.0529638723255,19.749648496,56,6
ic97p,1,3,16.0832064941654,3.099047321,756,174
ic97t,1,3,11.897513952308472,3.398690883,1149,295
icir97p,0,0,0,0,0,0
icir97t,1,2,14.305882352941177,7.896857991,361,231
irish-electricity,1,1,13.220548850019325,50.068338546,31,1
irp,1,1,2.862546689363095,0.951198012,21,0
istanbul-no-cutoff,1,1,52.16185236222464,13.537941251,13,0
k1mushroom,1,1,18.248175182481766,83.848798814,1,0
lectsched-5-obj,0,0,0,0,0,0
leo1,1,1,744.4055960227685,0.204067945,1,0
leo2,1,1,6568.021909195959,0.447160271,1,0
liu,1,1,295.9409594095941,0.112997288,13,0
lotsize,1,1,130.2159512766899,0.319158195,43,8
mad,1,1,6671.641791044776,0.040670382,15,0
manna81,1,2,2.1422060164083865,0.170491931,2,0
map10,1,1,44.24242424242424,22.972454146,7,0
map16715-04,1,1,80.18018018018019,31.204188336,9,0
markshare1,1,1,67900.0,0.000539816,1,0
markshare2,1,1,78600.0,0.000657879,1,0
markshare_4_0,1,1,6400.0,0.000346258,1,0
mas74,1,1,29.73537996729151,0.006510186,7,0
mas76,1,1,12.179250649292209,0.003754817,3,0
mc11,1,1,128.590982975447,0.307682488,44,14
mcsched,1,1,27.24986197165818,0.354926472,4,0
mik-250-20-75-4,1,2,9.877440201908186,0.016936944,6,0
milo-v12-6-r2-40-1,1,3,93.51193339169693,23.765712985,891,0
misc07,1,1,66.83274021352314,0.036342915,19,0
mkc,1,1,26698.687477829022,0.112904904,6,0
mod011,1,1,14.313063604681751,0.0965863,5,0
modglob,1,1,58.704125768202644,0.007766003,6,0
momentum1,1,1,117.6149109384523,6.763245935,166,95
msc98-ip,1,1,18.23683839347515,6.501645205,31,1
mushroom-best,1,2,12331816.200226555,310.661253322,104,54
mzzv11,1,2,56.957362556404824,20.35824715,8,0
mzzv42z,1,2,64.00681596884128,7.725771707,11,0
n2seq36q,1,1,99.34865900383141,0.806532882,3,0
n3div36,1,1,99.34785932721712,0.368814484,1,0
n5-3,1,2,20.727945712523134,0.253393073,10,0
neos-1122047,1,1,2.484472049689441,0.583596307,3,0
neos-1171448,1,1,7.44336569579288,0.486961753,3,0
neos-1171737,1,1,18.974358974358974,0.148191961,3,0
neos-1354092,1,2,21.739130434782624,355.860924413,41,0
neos-1445765,1,1,45.66721025698701,32.305892596,8,0
neos-1456979,1,3,143.75,35.238236757,979,87
neos-1582420,1,2,78.02197802197803,1.149512116,86,12
neos-2657525-crna,1,2,1332.3560318719115,1.457110287,598,13
neos-2746589-doon,1,2,1037.9344686784184,78.853052844,234,38
neos-2978193-inde,1,1,8.099466810675278,0.159674437,5,0
neos-2987310-joes,1,0,0,0,0,0
neos-3004026-krka,0,0,0,0,0,0
neos-3024952-loue,1,3,640.256391089849,173.116888886,2000,11
neos-3046615-murg,1,2,16.8125,0.039209924,86,56
neos-3083819-nubu,1,2,0.8047722287712294,0.067700967,1,0
neos-3216931-puriri,1,3,69.64245653393161,1125.273138918,1010,0
neos-3381206-awhea,1,3,4.856512141280353,20.462014988,1103,3
neos-3402294-bobin,1,1,133.82899628252977,6.44145757,14,0
neos-3555904-turama,0,0,0,0,0,0
neos-3627168-kasai,1,1,1.0482410213492814,0.141224421,31,1
neos-3656078-kumeu,1,3,680.2037624694432,1678.59121289,826,17
neos-3754480-nidda,1,1,26.628355093061153,0.016508316,10,0
neos-4300652-rahue,1,3,300.32218901755533,3479.528755285,717,0
neos-4338804-snowy,1,2,78860.91094493541,0.35398626,113,31
neos-4387871-tavua,1,3,653.314615843589,7.707655198,759,430
neos-4413714-turia,1,1,797.3086403242468,14.161914014,11,0
neos-4532248-waihi,1,3,949.3506493506494,740.847458914,727,21
neos-4647030-tutaki,1,1,130.56924328311845,10.965572125,10,0
neos-4722843-widden,1,2,289.2358503085968,85.602428379,154,8
neos-4738912-atrato,1,2,8.503598071303482,0.457189372,26,0
neos-4763324-toguru,1,1,70.62327929831388,21.968645794,8,0
neos-4954672-berkel,1,1,61.204687852842454,0.021974057,12,0
neos-5049753-cuanza,0,0,0,0,0,0
neos-5052403-cygnet,1,3,7.6923076923076925,3448.596816401,4,0
neos-5093327-huahum,1,1,89.2332268370607,3.289120246,39,4
neos-5104907-jarama,0,0,0,0,0,0
neos-5107597-kakapo,1,1,43394.32098765432,1.750514533,129,102
neos-5114902-kasavu,0,0,0,0,0,0
neos-5188808-nattai,1,1,1628.8309144504633,2.700269118,22,0
neos-5195221-niemur,1,1,398.48788373963356,6.242281204,4,0
neos-631710,1,1,161.57635467980296,986.630412646,1,0
neos-662469,1,2,1033.2883176049463,4.651458717,4,0
neos-787933,1,1,166.66666666666666,5.500219342,1,0
neos-827175,1,1,7.142760205397644,1.299938909,1,0
neos-848589,1,1,424689.47237077315,49.088432344,70,21
neos-860300,1,1,81.6932208684786,0.791885251,21,0
neos-873061,1,1,48.4339902419422,662.61522698,32,2
neos-911970,1,2,260.171658144631,0.043401603,22,0
neos-933966,1,2,316.3522012578616,18.928239376,16,0
neos-950242,1,1,3.3306690738754696e-14,16.187708198,22,0
neos-957323,1,1,11.338245841894468,11.489281532,1,0
neos-960392,1,1,2.100840336134454,19.557131011,34,0
neos10,1,2,100.1762114537445,0.047211251,2,0
neos16,0,0,0,0,0,0
neos17,1,1,253.50943026080117,0.156879415,37,4
neos20,1,3,38.24884792626728,4.00511965,805,33
neos5,1,1,6.666666666666667,0.007096685,4,0
neos7,1,2,32.68996888912283,0.096222723,11,0
neos8,1,2,100.0,0.01444992,2,0
net12,1,1,38.3177570093458,3.897420329,19,0
netdiversion,1,1,59.917355371900825,553.988273324,11,0
nexp-150-20-8-5,1,1,172.2943722943723,1.489616851,30,0
nh97p,1,3,9.026798307475318,23.886861919,1956,598
nh97t,1,3,9.943582510578311,11.975759491,1014,206
noswot,1,2,4.878048780487805,0.003615738,5,0
ns1116954,1,1,0.0,835.247146615,99,4
ns1208400,1,1,100.0,35.015554848,75,0
ns1644855,1,2,28.296523070194468,486.014944119,6,0
ns1760995,1,1,16.3874241358056,145.042079618,32,1
ns1830653,1,1,499.4665890796237,3.02023771,61,1
ns1952667,0,0,0,0,0,0
nsrand-ipx,1,1,99.18359375,0.080174991,1,0
nu25-pr12,1,2,79.64567294314071,0.063005268,3,0
nursesched-medium-hint03,1,2,1466.9565217391305,192.514964617,33,0
nursesched-sprint02,1,2,29.310344827586206,2.330301777,11,0
nw04,1,1,43.29261060372435,0.900654223,6,0
opm2-z10-s4,1,1,94.36712855811717,91.362405627,1,0
opt1217,1,2,0.0,0.015332672,5,0
p200x1188c,1,1,4.4369279745324315,0.104374075,31,1
p2756,1,1,121.15877080665813,0.020250065,3,0
peg-solitaire-a3,0,0,0,0,0,0
pg,1,1,6.244090854179752,0.041220919,8,0
pg5_34,1,1,6.835161439096507,0.031125894,5,0
physiciansched3-3,0,0,0,0,0,0
physiciansched6-2,1,3,115.45697834725489,172.658356084,1464,7
piperout-08,1,3,13.769941225860622,48.441317873,1650,5
piperout-27,1,3,112.55539143279172,78.065799011,1596,0
pk1,1,1,809.0909090909091,0.06111714,35,1
pp08a,1,1,87.61904761904762,0.006811296,21,0
pp08aCUTS,1,1,21.08843537414966,0.008035281,10,0
proteindesign121hz512p9,1,2,9.979633401221996,27.382420863,104,7
proteindesign122trx11p8,1,3,29.708070978820835,403.037263245,807,12
protfold,1,1,74.19354838709677,77.599984229,37,0
qap10,1,1,49.99999999999972,26.68024731,4,0
qiu,1,1,1563.8813288984236,0.074720676,7,0
rB10-011000,1,1,242.78369067818397,0.570703823,25,0
rB10-011001,1,1,196.08984915930228,0.667130511,21,0
rB11-010000,1,1,277.0182590721176,2.281694378,25,0
rB11-110001,1,1,184.69348142201986,3.561414791,25,0
rB12-111111,1,3,93.75464756760988,34.036295645,854,7
rC10-001000,1,1,187.64397905759162,0.253447782,29,0
rC10-100001,1,2,568.0830065189725,2.740517965,156,0
rC11-010100,1,2,333.8265529237457,2.107099971,2,0
rC11-011100,1,2,480.5352099190962,0.830607993,2,0
rC12-100000,1,1,426.45824699544136,8.292526037,59,2
rC12-111100,1,1,194.89988095641232,0.623399185,1,0
radiationm18-12-05,1,2,229.6424911761357,1.954250304,85,5
radiationm40-10-02,1,2,132.99598269468478,21.454229125,223,28
rail01,0,0,0,0,0,0
rail02,0,0,0,0,0,0
rail507,1,1,14.942528735632184,4.653186816,1,0
ran14x18-disj-8,1,1,17.349137931013704,0.189899431,31,1
rd-rplusc-21,1,3,100.2860209933419,20.848692323,335,135
reblock115,1,1,16.222619702665554,0.580029404,22,0
rmatr100-p10,1,1,0.4728132387706856,1.405428102,4,0
