problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,1.9480519480519602,1.498660603,51,1
30n20b8,1,2,183.11258278145695,15.374759847,689,157
50v-10,1,2,122.90482595274614,0.328017976,25,0
CMS750_4,1,1,90.47619047619048,4.768809171,160,34
a1c1s1,1,1,20.999239355320945,0.272685392,32,2
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,109.24006908462867,0.127575573,60,15
aflow40b,1,1,93.75,0.395264897,49,9
air04,1,1,1.4428986230114054,4.78503549,19,0
air05,1,1,2.9157503602032304,1.613042088,4,0
app1-1,1,1,33.333333333333336,0.359265545,90,47
app1-2,1,1,41.46341463414634,2.847731055,43,11
arki001,1,3,2.7529979128291377,46.879158501,1192,365
assign1-5-8,1,2,2.830188679246248,0.065920936,23,0
atlanta-ip,1,1,11.123016268810979,26.056114782,35,0
b1c1s1,1,1,91.8535705918905,0.220160684,33,3
bab2,1,3,15.01485462732586,926.825390039,965,141
bab6,1,2,55.299689645526456,420.598684831,625,44
beasleyC3,1,1,10.344827586206897,0.147519735,36,6
binkar10_1,1,1,0.9683802264508968,0.021045614,3,0
blp-ar98,1,1,70.28678385439545,1.062607965,13,0
blp-ic98,1,1,45.29739265621692,0.234307769,1,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,2,32.075471698113205,0.526277156,64,10
brazil3,1,2,583.3333333333331,36.809092288,31,0
buildingenergy,1,2,1.393619003518549,3383.994298901,12,0
cap6000,1,1,0.34984418961261365,0.03505201,1,0
cbs-cta,1,1,inf,2.164741117,31,1
chromaticindex1024-7,1,1,0.0,762.562620243,2,0
chromaticindex512-7,1,1,0.0,137.730136636,1,0
cmflsp50-24-8-8,1,1,15.612464967831528,9.587890053,86,22
co-100,1,1,44544.54352456508,2.20380737,12,0
cod105,1,1,100.0,15.594177956,1,0
comp07-2idx,1,2,3266.666666666666,15.637667593,20,0
comp21-2idx,1,2,474.3243243243243,5.407362048,19,0
cost266-UUE,1,3,105.80110011600401,0.220393588,7,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,2,88.31908831908832,70.370758097,512,8
csched008,1,2,7.514450867052023,0.97606279,124,12
cvs16r128-89,1,1,97.9381443298969,3.333317512,1,0
dano3_3,1,1,0.008979373126174106,59.879498963,18,0
dano3_5,1,1,0.14213598979603675,171.78648102,48,9
dano3mip,1,1,10.097123138957803,239.335400165,70,15
danoint,1,2,25.57077625570776,1.708119239,188,78
disctom,1,1,0.0,6.171464817,2,0
drayage-100-23,1,1,133.54741819257322,1.216016533,40,2
drayage-25-23,1,1,104.08601737269817,1.498268478,45,1
ds,0,0,0,0,0,0
dws008-01,0,0,0,0,0,0
eil33-2,1,3,440.7063534994712,13.581719162,687,185
eilA101-2,1,3,466.38764181779794,1941.035290031,1007,108
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,53.91807185028913,0.030755196,25,0
fast0507,1,1,14.367816091954023,4.596596001,1,0
fastxgemm-n2r6s0t2,1,3,2714.2260869565216,22.271381418,840,147
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,5.797101449275362,7.495859253,75,7
fiber,1,1,27192.59152692351,0.006276061,1,0
fixnet6,1,1,35.30002510670349,0.05481375,31,1
gen-ip002,1,2,16.47404906422928,0.0031098,1,0
