problem,numSols,stage,gap,time,iterations,restarts
10teams,1,3,7.142857142857143,24.734321444,765,116
30n20b8,1,3,166.2251655629139,48.144846258,1566,336
50v-10,1,2,123.09599647243118,0.161486535,13,0
CMS750_4,1,1,87.3015873015873,4.355133162,140,33
a1c1s1,1,1,24.659821847702055,0.27466003,33,3
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,231.9516407599309,0.137039676,66,19
aflow40b,1,1,103.93835616438356,0.276924961,37,5
air04,1,1,0.42218144895515675,5.911845242,14,0
air05,1,1,10.715098202775419,1.76805726,15,0
app1-1,1,1,66.66666666666667,0.135577374,35,5
app1-2,1,1,41.46341463414634,2.788200306,42,11
arki001,0,0,0,0,0,0
assign1-5-8,1,2,3.3018867924537996,0.037087623,6,0
atlanta-ip,1,2,16.678493974766536,30.433244382,88,12
b1c1s1,1,1,64.8945883455392,0.263591796,36,5
bab2,1,3,26.130493674487862,910.875781446,809,229
bab6,1,3,33.55079951250504,537.719898348,789,246
beasleyC3,1,1,11.273209549071618,0.13790544,35,5
binkar10_1,1,1,4.0273228944934845,0.049727995,20,0
blp-ar98,1,1,72.10879544426862,1.216422474,15,0
blp-ic98,1,1,69.91970449954962,0.241139977,1,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,2,35.84905660377358,0.166902205,7,0
brazil3,1,2,812.4999999999999,86.260027079,59,0
buildingenergy,1,2,1.1640067766577211,1060.518397884,4,0
cap6000,1,1,0.34984418961261365,0.035258296,1,0
cbs-cta,1,1,0.0,2.16593244,31,1
chromaticindex1024-7,1,1,0.0,3254.722534599,9,0
chromaticindex512-7,1,1,0.0,197.808272858,6,0
cmflsp50-24-8-8,1,1,17.504113812625004,15.967733486,249,84
co-100,1,1,44566.36513984705,2.359201122,13,0
cod105,1,1,100.0,15.500939817,1,0
comp07-2idx,1,2,2683.3333333333335,32.992023487,57,1
comp21-2idx,1,2,2008.1081081081081,9.405085973,72,2
cost266-UUE,1,3,105.80110011600401,0.219775953,6,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,2,64.1025641025641,17.880942665,236,17
csched008,1,2,9.826589595375722,0.538902142,51,5
cvs16r128-89,1,1,97.9381443298969,3.351968919,1,0
dano3_3,1,1,0.010055605097265599,63.743458137,2,0
dano3_5,1,1,0.3174327375727285,97.469415535,2,0
dano3mip,1,1,15.44095552884615,140.595832106,5,0
danoint,1,2,47.640791476407905,5.210882707,625,321
disctom,1,1,0.0,6.188688686,2,0
drayage-100-23,1,1,178.64873245481607,1.537045082,55,2
drayage-25-23,1,1,160.21179463871673,2.660532689,107,2
ds,0,0,0,0,0,0
dws008-01,0,0,0,0,0,0
eil33-2,1,2,17.28394419732104,12.873907204,627,159
eilA101-2,1,3,466.38764181779794,1114.203803024,696,24
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,140.3493860700897,0.033204717,27,0
fast0507,1,1,56.32183908045977,4.415324196,1,0
fastxgemm-n2r6s0t2,1,3,2714.2260869565216,21.341731457,823,173
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,11.594202898550725,8.43800383,73,6
fiber,1,1,27192.59152692351,0.006290334,1,0
fixnet6,1,1,31.483806176249058,0.054079065,31,1
gen-ip002,1,2,16.950993641411525,0.003481247,1,0
gen-ip054,1,2,14.35012540513408,0.001801461,1,0
germanrr,1,2,2.9414894981760127,6.142002746,41,4
gesa2-o,1,2,21.62513946287113,0.169172307,31,1
gesa2,1,2,1.9817152646312155,0.08579206,13,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,30.434782608695652,0.378089046,1,0
glass4,1,1,207.63813091073655,0.011074537,11,0
gmu-35-40,1,1,6.895152435715877,0.023039847,3,0
gmu-35-50,1,1,6.2530811027184185,0.125747149,32,1
graph20-20-1rand,1,1,22.22222222222222,2.271692579,35,1
graphdraw-domain,1,2,35.76145484100376,0.04040828,32,1
h80x6320d,1,1,38.09371182388924,0.914333085,31,1
harp2,1,1,11.01197423016529,0.030112411,12,0
highschool1-aigio,0,0,0,0,0,0
hypothyroid-k1,1,2,64.9596632760435,30.149025391,112,40
ic97p,1,2,10.857432775240994,3.615895853,827,360
ic97t,1,3,8.777270421106037,2.715804873,838,318
icir97p,1,3,15.304347826086957,38.344194361,1489,481
icir97t,1,3,10.03921568627451,18.725447976,797,464
irish-electricity,1,1,15.657058961161395,54.074817634,33,2
irp,1,1,3.179541941729155,0.742242364,16,0
istanbul-no-cutoff,1,1,21.89662781675388,8.125940469,11,0
k1mushroom,1,1,18.248175182481766,84.444622357,1,0
lectsched-5-obj,0,0,0,0,0,0
leo1,1,1,1018.7732206372905,0.203217134,1,0
leo2,1,1,9197.101141769375,0.435433942,1,0
liu,1,1,295.9409594095941,0.115920503,13,0
lotsize,1,1,83.3169953958769,0.337263971,43,9
mad,1,1,7899.253731343282,0.046292723,17,0
manna81,1,2,0.022789425706472195,0.160131875,3,0
map10,1,1,79.79797979797979,28.993224049,8,0
map16715-04,1,1,76.57657657657657,26.85751371,8,0
markshare1,1,1,31500.0,0.000554399,1,0
markshare2,1,1,51100.0,0.00066343,1,0
markshare_4_0,1,1,6400.0,0.000347039,1,0
mas74,1,1,96.72358262888517,0.007804995,9,0
mas76,1,1,12.179250649292209,0.00450228,4,0
mc11,1,1,102.19009325006417,0.326406709,44,14
mcsched,1,1,38.10242882692425,0.339084349,4,0
mik-250-20-75-4,1,2,0.8011319095237185,0.018280965,6,0
milo-v12-6-r2-40-1,1,3,107.98341416521417,22.024626454,846,0
misc07,1,1,70.88967971530249,0.046053648,25,0
mkc,1,1,26698.687477829022,0.114620312,6,0
mod011,1,1,6.045649504931851,0.098329545,6,0
modglob,1,1,48.57043749400847,0.007140523,5,0
momentum1,1,3,323.3320588481131,58.441600151,1734,1212
msc98-ip,1,1,17.609393050443565,7.983676895,32,1
mushroom-best,1,2,11296367.643769223,891.881126926,103,32
mzzv11,1,2,59.40233907357952,20.167824167,15,0
mzzv42z,1,2,60.379746835443036,7.54013394,16,0
n2seq36q,1,1,99.36206896551724,0.805692294,3,0
n3div36,1,1,99.18883792048929,0.369353322,1,0
n5-3,1,2,32.32572486119679,0.351816322,13,0
neos-1122047,1,1,0.0,1.41066001,2,0
neos-1171448,1,1,5.501618122977346,0.54610953,4,0
neos-1171737,1,1,12.820512820512821,0.170313047,4,0
neos-1354092,1,2,8.695652173913043,94.003680695,24,0
neos-1445765,1,1,41.680256424675214,23.872155628,9,0
neos-1456979,1,3,85.79545454545455,67.062991822,1730,135
neos-1582420,1,2,94.50549450549451,1.198880228,133,28
neos-2657525-crna,1,2,993.927040096137,0.389801246,185,5
neos-2746589-doon,1,2,1051.2797530126481,209.247919917,267,21
neos-2978193-inde,1,1,8.487654144311504,0.138800718,3,0
neos-2987310-joes,1,0,0,0,0,0
neos-3004026-krka,0,0,0,0,0,0
neos-3024952-loue,0,0,0,0,0,0
neos-3046615-murg,1,2,22.5625,0.039383718,81,50
neos-3083819-nubu,1,2,0.8047722287712294,0.067693754,1,0
neos-3216931-puriri,0,0,0,0,0,0
neos-3381206-awhea,1,3,4.856512141280353,12.97528728,646,0
neos-3402294-bobin,1,1,102.23048327137631,5.651485987,12,0
neos-3555904-turama,0,0,0,0,0,0
neos-3627168-kasai,1,1,1.7507770343655498,0.098338207,13,0
neos-3656078-kumeu,1,3,669.1425881781327,925.094822826,1720,29
neos-3754480-nidda,1,1,31.217102166559606,0.01684828,11,0
neos-4300652-rahue,1,3,263.83545013074246,2316.118030784,692,4
neos-4338804-snowy,1,2,84188.71515975527,0.336252561,102,33
neos-4387871-tavua,0,0,0,0,0,0
neos-4413714-turia,1,1,797.3086403242468,14.107378118,11,0
neos-4532248-waihi,1,3,949.3506493506494,575.051348156,934,80
neos-4647030-tutaki,1,1,55.70948502122091,16.103798879,26,0
neos-4722843-widden,1,2,26.560618376306397,14.471742584,46,6
neos-4738912-atrato,1,2,8.840417474788488,0.2382162,5,0
neos-4763324-toguru,1,1,28.959803582571983,21.72561597,9,0
neos-4954672-berkel,1,1,82.83586773886118,0.026744564,16,0
neos-5049753-cuanza,0,0,0,0,0,0
neos-5052403-cygnet,0,0,0,0,0,0
neos-5093327-huahum,1,1,32.236421725239616,1.929579047,21,0
neos-5104907-jarama,0,0,0,0,0,0
neos-5107597-kakapo,1,1,43328.641975308645,1.35669,107,73
neos-5114902-kasavu,0,0,0,0,0,0
neos-5188808-nattai,1,1,149.8610659535544,1.317299926,10,0
neos-5195221-niemur,1,1,398.48788373963293,6.658498428,7,0
neos-631710,1,1,164.03940886699507,1007.774832351,1,0
neos-662469,1,2,957.365766352099,5.012335319,4,0
neos-787933,1,1,166.66666666666666,5.487232319,1,0
neos-827175,1,1,7.142760205397644,1.323092708,1,0
neos-848589,1,1,265662.1317204186,56.495797845,81,25
neos-860300,1,1,40.862230552952205,0.379440513,8,0
neos-873061,1,1,66.53016910119587,339.212461159,31,1
neos-911970,1,2,212.61869978086193,0.043070128,20,0
neos-933966,1,2,2.830188679245283,17.758617024,7,0
neos-950242,1,1,175.0,55.982271656,39,1
neos-957323,1,1,3.359118389697119,11.451691244,1,0
neos-960392,1,1,2.9411764705882355,20.791023115,46,0
neos10,1,2,64.49339207048457,0.050713012,2,0
neos16,0,0,0,0,0,0
neos17,1,1,253.50943026080117,0.107104903,31,1
neos20,1,3,38.24884792626728,4.815487033,923,69
neos5,1,1,133.33333333333334,0.00360739,1,0
neos7,1,2,10.250244482182582,0.041999525,7,0
neos8,1,2,100.0,0.032171832,7,0
net12,1,1,19.1588785046729,4.3508426,25,0
netdiversion,1,1,74.3801652892562,403.143993691,17,0
nexp-150-20-8-5,1,1,204.76190476190476,2.124327703,40,1
nh97p,1,3,12.411847672778562,19.423648947,1172,384
nh97t,1,3,11.636107193229645,15.644249659,999,273
noswot,1,2,46.34146341463415,0.052139632,67,16
ns1116954,1,1,0.0,867.723952438,207,12
ns1208400,1,3,2.968176260331745e-07,241.553792112,817,17
ns1644855,1,2,28.296523070194468,438.428296647,7,0
ns1760995,1,1,17.76869196245028,103.541735992,15,0
ns1830653,1,3,523.712540005819,26.007915522,868,9
ns1952667,0,0,0,0,0,0
nsrand-ipx,1,1,98.865234375,0.079102123,1,0
nu25-pr12,1,2,79.54178647620815,0.063912129,3,0
nursesched-medium-hint03,1,2,833.9130434782609,136.264078621,42,0
nursesched-sprint02,1,2,29.310344827586206,2.415310735,14,0
nw04,1,1,43.29261060372435,1.014496437,7,0
opm2-z10-s4,1,1,94.0425020289158,99.99282311,1,0
opt1217,1,2,0.0,0.017815806,7,0
p200x1188c,1,1,3.0043772383605254,0.113400856,31,1
p2756,1,1,121.15877080665813,0.02073303,3,0
peg-solitaire-a3,0,0,0,0,0,0
pg,1,1,6.06528910395163,0.057966247,14,0
pg5_34,1,1,5.888378431013319,0.047989195,8,0
physiciansched3-3,1,2,339.02750265509593,2257.370462925,433,20
physiciansched6-2,1,3,89.87105668640012,133.539514682,928,0
piperout-08,1,3,39.9664147774979,64.82394191,1836,11
piperout-27,1,3,29.68980797636632,88.010973484,1299,5
pk1,1,1,109.0909090909091,0.048850982,28,0
pp08a,1,1,102.85714285714286,0.004528066,13,0
pp08aCUTS,1,1,14.013605442176871,0.008506369,13,0
proteindesign121hz512p9,1,2,13.238289205702648,49.459442291,199,17
proteindesign122trx11p8,1,2,2.6903262736119062,23.372595001,99,14
protfold,1,1,70.96774193548386,40.239713032,80,3
qap10,1,1,40.29411764705869,41.199321955,7,0
qiu,1,1,1563.8813288984245,0.06636455,1,0
rB10-011000,1,1,415.31184122576997,0.486340137,13,0
rB10-011001,1,1,337.8137054041421,0.601217518,13,0
rB11-010000,1,1,486.968879191548,2.04333371,13,0
rB11-110001,1,1,180.0306178623205,3.712584864,33,1
rB12-111111,1,2,79.91468044303551,7.225922587,181,20
rC10-001000,1,1,152.72251308900525,0.260992512,28,0
rC10-100001,1,1,501.402488117809,1.77682985,77,1
rC11-010100,1,2,333.8265529237457,2.104917972,2,0
rC11-011100,1,2,480.5352099190962,0.826838991,2,0
rC12-100000,1,1,281.5116038126813,8.989658922,73,2
rC12-111100,1,1,194.89988095641232,0.621246086,1,0
radiationm18-12-05,1,2,194.47796880337015,3.498782851,138,10
radiationm40-10-02,1,2,128.8705191594561,20.683873552,173,1
rail01,0,0,0,0,0,0
rail02,0,0,0,0,0,0
rail507,1,1,53.44827586206897,4.394845468,1,0
ran14x18-disj-8,1,1,21.25538793103103,0.139414947,13,0
rd-rplusc-21,1,3,98.95587436886103,18.637422278,265,83
reblock115,1,1,14.475114764982044,0.882918387,89,28
rmatr100-p10,1,1,0.4728132387706856,1.4374387,4,0
rmatr200-p5,1,1,11.789427117894252,112.607023013,8,0
rocI-4-11,0,0,0,0,0,0
rocII-5-11,0,0,0,0,0,0
roi2alpha3n4,1,1,48.90964280406788,5.207244298,6,0
roi5alpha10n8,1,1,52.967994746677725,80.773917145,7,0
roll3000,1,3,42.24204809930178,22.844224562,1223,286
rout,1,2,13332.164068299928,0.057218029,33,1
s100,1,2,76.4844470153951,2079.996939639,5,0
s250r10,1,2,0.05382611447755174,342.475994698,3,0
satellites2-40,0,0,0,0,0,0
satellites2-60-fs,0,0,0,0,0,0
savsched1,0,0,0,0,0,0
sct2,1,1,14.426710722859323,0.130920117,5,0
set1ch,1,1,52.83665641078297,0.033085671,31,1
seymour,1,1,39.2434988179669,1.298120348,1,0
seymour1,1,1,10.860557020852015,1.424690166,4,0
sing326,1,1,47.99787643295042,74.875864024,13,0
sing44,1,1,20.600422342846166,71.879313637,4,0
snp-02-004-104,1,2,19.78117182783452,195.223561054,35,2
sorrell3,1,1,25.0,4.777452381,1,0
sp150x300d,1,1,2.898550724637681,0.037727427,32,2
sp97ar,1,1,8125.404955817619,2.602185191,1,0
sp98ar,1,1,828.3833184798503,1.512888514,1,0
splice1k1,1,1,98.98477157360406,132.731879077,9,0
square41,0,0,0,0,0,0
square47,0,0,0,0,0,0
supportcase10,1,1,42.85714285714283,333.124400394,7,0
supportcase12,1,2,5.745877249574751,39.622526922,4,0
supportcase18,1,1,41.666666666666664,1.134249894,1,0
supportcase26,1,1,54.612774722217445,0.01212411,7,0
supportcase33,1,2,99.42028985507247,12.806254386,403,112
supportcase40,1,1,54.10973844183147,1.134146705,8,0
supportcase42,1,2,2446169.2811917933,81.005235949,73,0
supportcase6,1,1,0.7172910671562284,17.220608937,5,0
supportcase7,1,1,13.592271412414533,3.440662093,9,0
swath,1,3,55.7054893025246,17.093436284,684,262
swath1,1,1,44.2200114145678,0.651591575,65,15
