problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,6.0606060606060606,5.148365063,69,0
30n20b8,1,2,605.2980132450331,5.515954779,180,33
50v-10,1,2,163.9919912818353,0.378447686,31,1
CMS750_4,1,1,53.96825396825397,2.489929922,39,4
a1c1s1,1,1,27.85437077298886,0.489082576,31,1
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,84.54231433506045,0.129376978,34,3
aflow40b,1,1,326.6267123287671,0.478097392,49,14
air04,1,1,0.10331866683292659,2.183979135,4,0
air05,1,1,6.407825889133237,1.074443581,6,0
app1-1,1,1,66.66666666666667,0.478875577,31,1
app1-2,1,1,43.90243902439025,7.292635435,38,8
arki001,1,3,3.3143289653669066,20.506576961,766,183
assign1-5-8,1,1,9.905660377359522,0.028507236,3,0
atlanta-ip,1,1,16.678022404677616,13.100286261,16,0
b1c1s1,1,1,265.1030960424461,0.500302722,34,4
bab2,1,1,40.310656068149775,205.138908888,104,35
bab6,1,1,9.523187262533398,50.947388974,20,0
beasleyC3,1,1,10.344827586206897,0.221478607,36,6
binkar10_1,1,1,2.961646257161085,0.031186235,4,0
blp-ar98,1,1,66.04727871109897,1.814440735,13,0
blp-ic98,1,1,27.882477830201957,0.742526686,5,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,50.943396226415096,0.39006261,23,0
brazil3,1,2,900.0,45.731469802,30,0
buildingenergy,1,2,1.1620105829017309,304.974382588,5,0
cap6000,1,1,0.34984418961261365,0.033903522,1,0
cbs-cta,1,1,0.0,2.731751599,40,10
chromaticindex1024-7,1,1,0.0,54.887145292,3,0
chromaticindex512-7,1,1,0.0,44.179552435,2,0
cmflsp50-24-8-8,1,3,18.38795286350501,142.357670763,730,194
co-100,1,1,301.75494760669085,3.016635025,7,0
cod105,1,1,100.0,1.748713932,1,0
comp07-2idx,1,2,3216.6666666666665,15.427095629,51,0
comp21-2idx,1,2,1170.2702702702702,13.610525974,66,1
cost266-UUE,1,1,38.613004062068626,0.247590287,17,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,99.14529914530019,15.592898899,1205,203
csched008,1,1,9.826589595375722,1.305401132,147,25
cvs16r128-89,1,1,97.9381443298969,1.010931413,1,0
dano3_3,1,1,0.009037730026164313,20.468984774,2,0
dano3_5,1,1,0.31699637935270264,21.740040842,3,0
dano3mip,1,1,15.44095552884615,26.500425939,12,0
danoint,1,1,15.677321156773207,0.798696863,41,6
disctom,1,1,0.0,1.319453423,2,0
drayage-100-23,1,1,5.526136438113645,0.198360624,7,0
drayage-25-23,1,1,10.24160827168629,0.44955635,14,0
ds,1,1,5538.088235294211,6.088006644,1,0
dws008-01,1,3,60.38723404800673,52.540680521,753,233
eil33-2,1,1,332.455422679737,0.063782495,1,0
eilA101-2,1,1,421.95654364606685,1.050228239,1,0
enlight_hard,1,3,0.0,1.907635733,714,377
exp-1-500-5-5,1,1,65.52278901756037,0.085553379,26,0
fast0507,1,1,18.39080459770115,0.913733163,1,0
fastxgemm-n2r6s0t2,1,1,915.7826086956524,0.960878801,50,5
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,15.217391304347826,2.676477557,18,0
fiber,1,1,109.04462830520733,0.121004231,30,0
fixnet6,1,1,46.648255084107454,0.101422789,31,1
gen-ip002,1,2,9.532299706806066,0.008071271,1,0
gen-ip054,1,2,49.18470530726996,0.013009233,4,0
germanrr,1,2,3.6015498684735054,10.253860398,46,5
gesa2-o,1,2,16.150317209123106,0.184859791,32,1
gesa2,1,2,2.802042455482771,0.205354059,26,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.540379461,1,0
glass4,1,1,241.6663125037187,0.15940381,57,14
gmu-35-40,1,1,7.605918589613913,0.083459068,10,0
gmu-35-50,1,1,9.596208832063652,0.417182802,44,6
graph20-20-1rand,1,1,22.22222222222222,2.486658371,26,0
graphdraw-domain,1,2,40.114802397643,0.236465595,46,6
h80x6320d,1,1,20.157569367519603,1.160612798,32,2
harp2,1,1,12.760405242131725,0.050539623,12,0
highschool1-aigio,1,2,inf,1359.414792767,48,1
hypothyroid-k1,1,1,0.0,4.622849128,1,0
ic97p,1,3,14.332825976661594,3.648233334,656,158
ic97t,1,2,12.988330796549974,4.394826736,1442,366
icir97p,1,3,18.039525691699605,11.907396105,702,128
icir97t,1,2,12.51764705882353,1.740173337,94,41
irish-electricity,1,1,7.768003275160479,9.820074713,8,0
irp,1,1,0.22177616260851973,0.423746444,4,0
istanbul-no-cutoff,1,1,39.72572812505326,6.362998512,22,0
k1mushroom,1,1,18.248175182481752,39.889943791,1,0
lectsched-5-obj,1,3,2833.3333333333335,143.737734771,1564,7
leo1,1,1,44.05847671137042,0.100113149,1,0
leo2,1,1,40.72545429506654,0.229814492,1,0
liu,1,1,69.55719557195572,0.649421168,49,18
lotsize,1,1,118.011207982732,0.605231047,57,16
mad,1,1,8001.492537313431,0.245067873,28,0
manna81,1,2,56.73047705864479,0.083990164,3,0
map10,1,1,100.0,34.791445834,39,5
map16715-04,1,1,90.09009009009009,46.974579651,34,2
markshare1,1,1,24200.0,0.00572926,1,0
markshare2,1,1,27500.0,0.004211239,1,0
markshare_4_0,1,1,7400.0,0.004124013,1,0
mas74,1,2,53.373142207572144,0.044586892,19,0
mas76,1,2,7.814552114355412,0.029203811,12,0
mc11,1,1,102.9942681153221,0.416043236,42,12
mcsched,1,1,121.85708285947536,0.468088189,3,0
mik-250-20-75-4,1,2,114.45479053937783,0.021196918,4,0
milo-v12-6-r2-40-1,1,1,126.27440442116145,0.907808147,43,13
misc07,1,1,53.380782918149464,0.1205602,19,0
mkc,1,2,60.34161050017743,0.037533375,2,0
mod011,1,1,5.111679245420754,0.302430945,19,0
modglob,1,1,37.154441419030405,0.04951447,20,0
momentum1,1,2,235.092620800935,51.331287095,695,413
msc98-ip,1,1,14.807693995344762,6.207447378,31,1
mushroom-best,1,2,10804806.067098564,17.017259843,59,5
mzzv11,1,2,31.724836541117966,3.255300792,14,0
mzzv42z,1,2,33.476144109055504,2.305977986,10,0
n2seq36q,1,1,29.118773946360154,0.408723357,1,0
n3div36,1,1,30.428134556574925,0.37722194,1,0
n5-3,1,2,12.893275755706354,0.353223968,26,0
neos-1122047,1,1,100.0,0.071790723,0,0
neos-1171448,1,1,5.5016181229773276,3.080837693,17,0
neos-1171737,1,1,5.128205128205099,1.20348821,21,0
neos-1354092,1,2,23.91304347826087,135.657400193,33,0
neos-1445765,1,1,41.39908901760108,0.645708707,5,0
neos-1456979,1,2,120.45454545454545,11.109069051,119,45
neos-1582420,1,2,29.67032967032967,0.424402126,19,0
neos-2657525-crna,1,2,961.4941504836675,0.129708388,44,3
neos-2746589-doon,1,3,33.95578129668377,1505.753543272,701,18
neos-2978193-inde,1,1,1.9461194907406691,0.228341366,4,0
neos-2987310-joes,1,2,1.4965723870882937e-09,15.767288768,76,39
neos-3004026-krka,1,3,0.0,112.67779353,1515,4
neos-3024952-loue,1,3,805.4455075497085,114.686490842,2000,35
neos-3046615-murg,1,2,4937.1875,0.16859069,105,80
neos-3083819-nubu,1,2,0.8047722287712294,0.04338643,1,0
neos-3216931-puriri,1,3,135.78238923163207,652.649473351,1570,1
neos-3381206-awhea,1,3,4.856512141280353,21.700478987,1182,0
neos-3402294-bobin,1,1,131.22676579925817,9.17201457,7,0
neos-3555904-turama,1,1,4.322766570605207,301.37020393,90,6
neos-3627168-kasai,1,1,0.7808853217994736,0.14085994,26,0
neos-3656078-kumeu,1,3,34.04063102594821,103.203566278,1054,2
neos-3754480-nidda,1,1,237651.92628864484,0.087275028,19,0
neos-4300652-rahue,1,3,243.43948449757133,593.608559959,699,2
neos-4338804-snowy,1,2,503.3990482664854,0.722658693,91,25
neos-4387871-tavua,1,2,876.9765420094554,31.161653726,1132,584
neos-4413714-turia,1,1,16.78540816621449,40.257561385,38,4
neos-4532248-waihi,1,3,949.3506493506494,596.047642271,732,114
neos-4647030-tutaki,1,1,37.58033149774368,16.415640702,17,0
neos-4722843-widden,1,2,234.13568983427047,25.543993579,47,9
neos-4738912-atrato,1,2,11.503227969751238,0.352980893,18,0
neos-4763324-toguru,1,1,59.216878948612845,36.502814174,42,11
neos-4954672-berkel,1,1,78.8420452327277,0.068020588,22,0
neos-5049753-cuanza,1,2,120.10676267463391,1721.996701789,604,139
neos-5052403-cygnet,1,1,0.5494505494505495,37.956732138,2,0
neos-5093327-huahum,1,2,1502.555910543131,23.228860344,187,147
neos-5104907-jarama,1,3,142.03208556149733,3047.353079857,726,34
neos-5107597-kakapo,1,1,32822.46913580247,1.856695309,135,108
neos-5114902-kasavu,0,0,0,0,0,0
neos-5188808-nattai,1,1,3668.942088527511,13.126479479,56,8
neos-5195221-niemur,1,1,340.9875381462837,13.60382936,32,1
neos-631710,1,1,148.76847290640393,2.412022751,1,0
neos-662469,1,2,282.29580214773836,3.896612408,10,0
neos-787933,1,2,0.0,0.03945994,1,0
neos-827175,1,1,0.0,0.533142765,0,0
neos-848589,1,2,403119.64733737044,132.357017876,91,29
neos-860300,1,1,131.7088409871915,1.414473999,17,0
neos-873061,1,1,44.96683832385226,30.728891395,32,2
neos-911970,1,1,196.95032870708542,0.160036538,35,1
neos-933966,1,1,8.49056603773585,5.137455556,8,0
neos-950242,1,1,100.0,4.763419306,18,0
neos-957323,1,1,10.917014284202159,1.994461974,2,0
neos-960392,1,1,0.8403361344537815,4.621749028,8,0
neos10,1,2,64.49339207048457,0.103299528,3,0
neos16,1,3,0.672645739910314,8.074719987,1150,6
neos17,1,1,256.52423596588244,0.149001311,35,4
neos20,1,3,58.525345622119815,7.958756455,867,112
neos5,1,1,46.666666666666664,0.018010198,5,0
neos7,1,2,23.270825897690614,0.089266991,9,0
neos8,1,2,100.0,0.111031644,3,0
net12,1,1,19.1588785046729,2.397944205,10,0
netdiversion,1,1,120.24793388429752,252.284192962,16,0
nexp-150-20-8-5,1,1,145.8874458874459,0.288159828,3,0
nh97p,1,3,7.686882933709435,10.690739516,796,171
nh97t,1,3,11.142454160789844,13.155907052,1060,362
noswot,1,2,4.878048780487805,0.035907781,16,0
ns1116954,1,2,0.0,506.519793588,497,8
ns1208400,1,2,1.5512480189272537e-09,43.224096629,187,0
ns1644855,1,1,6.910124644653202,494.891753378,38,4
ns1760995,1,1,11.013750757364676,17.006290943,14,0
ns1830653,1,2,529.4636795655125,13.563897452,276,7
ns1952667,0,0,0,0,0,0
nsrand-ipx,1,1,31.25,0.065344967,1,0
nu25-pr12,1,2,3.626750765235136,0.093603965,4,0
nursesched-medium-hint03,1,2,463.4782608695652,66.168128953,29,0
nursesched-sprint02,1,2,41.37931034482759,4.195012812,22,0
nw04,1,1,3.33293796702645,6.209110041,26,0
opm2-z10-s4,1,1,94.0425020289158,27.129331626,1,0
opt1217,1,1,12.5,0.072249345,20,0
p200x1188c,1,1,4.4369279745324315,0.201373323,31,1
p2756,1,2,72.37516005121638,0.057461525,5,0
peg-solitaire-a3,0,0,0,0,0,0
pg,1,1,15.114648727977757,0.138360032,31,1
pg5_34,1,1,30.452929920595874,0.183021419,31,1
physiciansched3-3,1,1,43.60426445554383,47.635441508,64,0
physiciansched6-2,1,2,6.29308247506285,75.867046675,718,45
piperout-08,1,3,337.4643157010915,71.168173863,1716,35
piperout-27,1,3,396.3072378138848,66.898858728,1264,40
pk1,1,1,1354.5454545454545,0.121266033,36,2
pp08a,1,1,25.98639455782313,0.020899525,12,0
pp08aCUTS,1,1,15.782312925170068,0.025388013,11,0
proteindesign121hz512p9,1,3,10.658520027155465,169.223294461,734,14
proteindesign122trx11p8,1,2,1.0875787063537492,3.840870384,19,0
protfold,1,1,64.51612903225806,4.285390843,29,0
qap10,1,1,5.882352941159919,16.919106242,3,0
qiu,1,1,1563.8813288984245,0.062023663,4,0
rB10-011000,1,1,218.047200370199,0.499812138,25,0
rB10-011001,1,1,187.62826701380848,0.550045754,29,0
rB11-010000,1,1,266.8322232429949,1.360712908,30,0
rB11-110001,1,1,160.4119374570944,2.469088416,26,0
rB12-111111,1,3,62.405580994873,65.019171988,781,0
rC10-001000,1,1,223.2111692844677,0.232898886,26,0
rC10-100001,1,1,353.2477988728151,3.090518208,63,1
rC11-010100,1,1,347.01751179745577,0.213171791,1,0
rC11-011100,1,1,480.5352099190962,0.172431392,1,0
rC12-100000,1,1,353.72979693327807,4.533027372,32,1
rC12-111100,1,1,194.89988095641232,0.296235441,1,0
radiationm18-12-05,1,2,122.2646020721849,1.22168495,45,1
radiationm40-10-02,1,2,3271.490008240626,15.738442301,165,19
rail01,1,1,33.50218883418083,1549.68167783,18,0
rail02,0,0,0,0,0,0
rail507,1,1,14.942528735632184,1.136564826,1,0
ran14x18-disj-8,1,1,8.943965413851371,0.320838719,29,0
rd-rplusc-21,1,3,58.50137802074966,33.572260159,843,349
reblock115,1,1,10.468268053467035,0.76742861,29,0
rmatr100-p10,1,1,20.094562647754138,1.005383768,5,0
rmatr200-p5,1,1,17.606724176067242,37.226991894,10,0
rocI-4-11,1,3,99.66441330965085,18.820972043,699,75
rocII-5-11,1,1,90.49947200179223,5.853575318,101,21
roi2alpha3n4,1,1,41.10020684224478,18.364751394,21,0
roi5alpha10n8,1,1,65.53697309894295,200.511278642,15,0
roll3000,1,2,28.456167571761053,0.720691771,35,2
rout,1,2,43.70267260579065,0.18037112,43,5
s100,1,1,0.08497169692003097,227.359279784,7,0
s250r10,1,1,0.6519039403804704,49.277240815,3,0
satellites2-40,1,1,242.10526315789474,484.428359245,56,4
satellites2-60-fs,1,1,221.05263157831027,402.719711333,39,5
savsched1,1,2,17.9724648040518,142.260904688,8,0
sct2,1,1,46.90491796470484,0.884056475,39,4
set1ch,1,1,69.24454231743853,0.07997276,31,1
seymour,1,1,10.638297872340425,0.662664541,1,0
seymour1,1,1,2.689966912251948,1.661245193,4,0
sing326,1,1,47.00270708699485,22.413319293,31,1
sing44,1,1,12.375380907836988,22.47547891,31,0
snp-02-004-104,1,2,116.0839804908776,22.180329115,33,1
sorrell3,1,1,81.25,0.896808074,1,0
sp150x300d,1,1,2.898550724637681,0.074369992,31,1
sp97ar,1,1,16.539215490990188,1.108470376,3,0
sp98ar,1,1,21.511836360900816,0.609235271,1,0
splice1k1,1,1,96.19289340101523,35.23866475,3,0
square41,0,0,0,0,0,0
square47,0,0,0,0,0,0
supportcase10,1,1,142.85714285714286,119.636406792,12,0
supportcase12,1,2,23.072737480023584,4.273734473,5,0
supportcase18,1,1,37.5,0.133986309,1,0
supportcase26,1,1,64.58883831174184,0.230526626,80,50
supportcase33,1,2,59.42028985507246,13.204571824,123,25
supportcase40,1,1,19.83081884237005,2.101140651,10,0
supportcase42,1,2,28.888722223838815,11.243000635,31,1
supportcase6,1,1,19.748104922924092,15.80062497,18,0
supportcase7,1,1,19.948672543094613,13.406246707,44,8
swath,1,2,251.5899995721011,35.067897657,404,145
swath1,1,1,21.399117121096353,2.982506727,80,29
swath3,1,1,43.80907904497922,2.159216614,61,15
t1717,1,1,125.20052067191459,69.881101473,24,0
tbfp-network,1,1,16.841500237499222,22.525297616,26,0
thor50dday,1,1,299.260212286909,12.810682909,43,7
timtab1,1,2,58.35830809702112,0.667465412,162,66
timtab2,1,3,92.40980885671283,8.341044313,1149,440
tr12-30,1,1,73.49689117583999,0.154635933,31,1
traininstance2,1,2,438.27624617098303,1.315770819,286,51
traininstance6,1,3,99.50512548603747,3.530287652,1037,91
trento1,1,1,26.929752748200354,24.444367941,15,0
triptim1,1,2,0.21427228321506206,22.393127692,4,0
uccase12,1,1,1.0366984508836645,8.952861881,13,0
uccase9,1,3,7017.984999346536,177.26663219,754,210
uct-subprob,1,1,14.331210191082803,0.25989352,4,0
unitcal_7,1,3,37.525320214928506,123.164358933,886,143
var-smallemery-m6j6,1,1,52.97071444547518,11.292887624,31,1
vpm2,1,1,35.8695652173913,0.038843669,26,0
wachplan,1,2,0.0,4.160113995,69,18
