problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,6.70995670995671,1.945355567,32,0
30n20b8,1,2,1292.0529801324503,6.717344538,234,63
50v-10,1,2,169.1699037144385,0.38205804,31,1
CMS750_4,1,1,76.19047619047619,5.805269268,97,19
a1c1s1,1,1,28.33803973173148,0.541635676,31,1
academictimetablesmall,1,3,inf,477.671870323,698,0
aflow30a,1,1,107.34024179620035,0.115431755,31,1
aflow40b,1,1,139.2123287671233,0.28233492,29,0
air04,1,1,0.10331866683292659,2.248836383,4,0
air05,1,1,2.0095548646394175,1.022504513,5,0
app1-1,1,1,33.333333333333336,0.62918906,41,10
app1-2,1,1,41.46341463414634,22.157700135,113,63
arki001,1,3,2.7797069073977614,25.94686915,1044,241
assign1-5-8,1,1,3.7735849056613513,0.098220015,21,0
atlanta-ip,1,1,14.456051385322123,14.669666356,18,0
b1c1s1,1,1,221.90963791630372,0.5047684,34,4
bab2,1,1,6.950527165637307,119.600512852,39,0
bab6,1,1,17.68877870450688,92.933311599,82,6
beasleyC3,1,1,9.814323607427056,0.220986705,36,6
binkar10_1,1,1,12.774764578069451,0.021203415,2,0
blp-ar98,1,1,74.44757458363935,2.73325621,24,0
blp-ic98,1,1,30.28640669237616,0.506584897,3,0
bnatt400,1,3,2.220446049250313e-13,191.033143712,751,0
bppc4-08,1,1,9633.962264150943,1.144810995,59,3
brazil3,1,2,408.3333333333333,17.284457706,23,0
buildingenergy,1,2,1.1620105829016651,558.616879218,11,0
cap6000,1,1,0.34984418961261365,0.035228336,1,0
cbs-cta,1,1,inf,2.752417352,40,10
chromaticindex1024-7,1,1,0.0,55.042496806,3,0
chromaticindex512-7,1,1,0.0,45.296302085,2,0
cmflsp50-24-8-8,1,2,15.224284544211955,29.839525528,219,66
co-100,1,1,301.976205492934,5.427207713,14,0
cod105,1,1,100.0,1.863296136,1,0
comp07-2idx,1,2,4116.666666666667,6.754021658,27,0
comp21-2idx,1,2,439.18918918918916,4.189496982,24,0
