problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,11.688311688311689,15.84575569,300,12
30n20b8,1,2,1292.0529801324503,6.414209398,233,66
50v-10,1,2,138.7719790866038,0.247527985,19,0
CMS750_4,1,1,82.53968253968254,5.918266413,101,13
a1c1s1,1,1,60.179694509620624,0.703889673,31,1
academictimetablesmall,1,3,inf,582.208164827,1020,0
aflow30a,1,1,80.22452504317789,0.117453319,31,1
aflow40b,1,1,414.041095890411,0.369879371,38,4
air04,1,1,4.029428006484137,4.695058247,40,1
air05,1,1,2.0095548646394175,0.941802669,5,0
app1-1,1,1,66.66666666666667,0.483736601,31,1
app1-2,1,1,43.90243902439025,7.407442925,39,9
arki001,1,3,2.8874711091109213,21.112021046,808,187
assign1-5-8,1,1,3.3018867924537996,0.039689613,6,0
atlanta-ip,1,1,12.233652479999884,12.571150643,14,0
b1c1s1,1,1,117.38048626460375,0.593096917,35,5
bab2,1,2,58.74461297365642,915.733711958,825,263
bab6,1,1,24.64099974431235,87.021490032,104,6
beasleyC3,1,1,11.007957559681698,0.224830866,36,6
binkar10_1,1,1,0.9683802264566433,0.064332478,12,0
blp-ar98,1,1,62.6953212864607,1.519440664,12,0
blp-ic98,1,1,27.882477830201957,0.508583502,3,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,60.37735849056604,0.165676669,8,0
brazil3,1,2,445.8333333333333,41.145078947,49,0
buildingenergy,1,2,1.1620105829019056,172.695466395,4,0
cap6000,1,1,0.34984418961261365,0.033557021,1,0
cbs-cta,1,1,0.0,2.722634548,41,11
chromaticindex1024-7,1,1,0.0,59.21777795,6,0
chromaticindex512-7,1,1,0.0,81.283758166,6,0
cmflsp50-24-8-8,1,2,15.227421049990639,28.987700856,222,64
co-100,1,1,302.2083840733988,5.210678088,13,0
cod105,1,1,100.0,1.745963686,1,0
comp07-2idx,1,2,2600.0,16.917221295,62,0
comp21-2idx,1,2,378.3783783783784,15.154531955,67,1
cost266-UUE,1,1,32.73900870836537,0.4332462,32,1
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,75.4985754986268,11.52155303,1003,238
csched008,1,2,9.826589595375722,1.785631966,238,65
cvs16r128-89,1,1,97.9381443298969,0.96912571,1,0
dano3_3,1,1,0.00963739684602819,20.098459571,2,0
dano3_5,1,1,0.3173406278143815,21.055159791,2,0
dano3mip,1,1,15.44095552884615,26.049127175,5,0
danoint,1,2,651.4307458143074,3.716893823,206,91
disctom,1,1,0.0,1.308651067,2,0
drayage-100-23,1,1,14.357787151356337,0.631540648,26,0
drayage-25-23,1,1,6.706069814095083,0.225261858,5,0
ds,1,1,5538.088235294211,6.100797333,1,0
dws008-01,1,3,100.10528886568751,91.316845886,1024,317
eil33-2,1,1,332.455422679737,0.062667365,1,0
eilA101-2,1,1,421.95654364606685,1.061487692,1,0
enlight_hard,1,3,0.0,3.945456808,836,285
exp-1-500-5-5,1,1,246.84990969386982,0.063820535,19,0
fast0507,1,1,18.39080459770115,0.91493616,1,0
fastxgemm-n2r6s0t2,1,1,650.8695652173913,0.627625442,40,2
fhnw-binpack4-48,1,3,0.0,77.793163052,1941,251
fiball,1,2,13.768115942028986,1.388143516,8,0
fiber,1,1,120.44396494810009,0.060115623,14,0
fixnet6,1,1,60.35651518955561,0.105578251,31,1
gen-ip002,1,2,9.532299706806066,0.0071705,1,0
gen-ip054,1,2,12.109987209089851,0.014712676,4,0
germanrr,1,2,1.9481028524111779,6.044307161,32,1
gesa2-o,1,2,16.150317209123106,0.183699861,31,1
gesa2,1,2,2.802042455482771,0.221300363,26,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.543622808,1,0
glass4,1,1,299.99970000314994,0.189364243,70,23
gmu-35-40,1,1,7.605918589613913,0.033923919,3,0
gmu-35-50,1,1,15.234713711855983,0.318381801,33,1
graph20-20-1rand,1,1,33.333333333333336,2.959117327,29,0
graphdraw-domain,1,2,143.2947272173118,0.563462148,126,52
h80x6320d,1,1,20.943127498488728,1.160603614,32,2
harp2,1,1,10.927615407797292,0.054813475,13,0
highschool1-aigio,1,2,inf,1176.647864894,55,0
hypothyroid-k1,1,1,0.0,4.9274431,1,0
ic97p,1,3,14.003044140030442,8.657556044,1322,380
ic97t,1,3,11.136478944698123,2.954555111,881,233
icir97p,1,3,19.051383399209485,17.265081484,762,172
icir97t,1,2,14.588235294117647,3.793924092,143,75
irish-electricity,1,1,7.697729660394117,9.432643408,7,0
irp,1,1,0.3037094976156847,0.220653736,2,0
istanbul-no-cutoff,1,1,43.47783697444721,4.903871826,15,0
k1mushroom,1,1,18.248175182481752,39.707893511,1,0
lectsched-5-obj,1,3,2716.6666666666665,126.648951164,1314,14
leo1,1,1,44.05847671137042,0.104813798,1,0
leo2,1,1,40.72545429506654,0.226041618,1,0
liu,1,1,412.9151291512915,0.201670851,13,0
lotsize,1,1,231.36951550302493,0.518181891,47,12
mad,1,1,6188.059701492537,0.146390489,16,0
manna81,1,2,56.73047705864479,0.084568385,3,0
map10,1,1,83.83838383838383,16.54190561,9,0
map16715-04,1,1,100.0,24.06390125,9,0
markshare1,1,1,24200.0,0.006203689,1,0
markshare2,1,1,27500.0,0.004414423,1,0
markshare_4_0,1,1,7400.0,0.005458591,1,0
mas74,1,2,35.13542622275701,0.022824238,9,0
mas76,1,2,17.071951638916037,0.015911598,6,0
mc11,1,1,115.42475831978784,0.425699299,42,12
mcsched,1,1,9.372242382487153,0.584988874,5,0
mik-250-20-75-4,1,2,0.0,0.036510573,7,0
milo-v12-6-r2-40-1,1,1,129.85563788561578,0.869367719,42,12
misc07,1,1,71.53024911032028,0.12274594,19,0
