problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,3.0303030303030303,8.739618863,154,5
30n20b8,1,2,796.0264900662252,11.543579774,387,92
50v-10,1,2,141.63953688187922,0.312437972,26,0
CMS750_4,1,1,78.17460317460318,5.337071503,91,19
a1c1s1,1,1,21.752445744301706,0.474179976,31,1
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,146.54576856649396,0.107316481,32,2
aflow40b,1,1,243.236301369863,0.260437901,29,0
air04,1,1,5.996045388959153,5.159305827,45,2
air05,1,1,2.4759232577538484,0.634745965,4,0
app1-1,1,1,66.66666666666667,0.430440151,31,1
app1-2,1,1,43.90243902439025,8.08312212,39,9
arki001,1,2,3.123406293752795,13.497038411,719,165
assign1-5-8,1,1,6.603773584906661,0.041145997,6,0
atlanta-ip,1,2,40.012377261366666,38.385133511,112,17
b1c1s1,1,1,154.1545168420302,0.567524356,34,4
bab2,1,1,10.757174862785764,141.922737144,47,2
bab6,1,1,23.465717389247867,110.607348649,110,2
beasleyC3,1,1,11.538461538461538,0.201785265,36,6
binkar10_1,1,1,0.9683802264566433,0.056590121,12,0
blp-ar98,1,1,73.51487763919681,2.187090605,15,0
blp-ic98,1,1,27.882477830201957,0.61818045,3,0
bnatt400,1,3,0.0,117.938416976,706,0
bppc4-08,1,1,50.943396226415096,0.318303543,5,0
brazil3,1,2,462.5,53.154911295,53,0
buildingenergy,1,2,1.1620105829019494,183.580398062,4,0
cap6000,1,1,0.34984418961261365,0.028365119,1,0
cbs-cta,1,1,0.0,2.549207393,41,11
chromaticindex1024-7,1,1,0.0,61.537222049,6,0
chromaticindex512-7,1,1,0.0,73.826551494,6,0
cmflsp50-24-8-8,1,1,14.673182350374777,13.800732743,107,22
co-100,1,1,302.2083840733988,4.396025202,13,0
cod105,1,1,100.0,1.654500393,1,0
comp07-2idx,1,2,3716.6666666666665,16.455187131,63,0
comp21-2idx,1,2,987.8378378378378,13.167303138,66,2
cost266-UUE,1,1,37.91750295504299,0.291529993,17,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,74.07407407407408,20.640254286,1555,400
csched008,1,3,9.826589595375722,12.005248573,1290,488
cvs16r128-89,1,1,97.9381443298969,1.099652741,1,0
dano3_3,1,1,0.00963739684602819,23.519364177,2,0
dano3_5,1,1,0.3173406278143815,24.173808963,2,0
