problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,8.008658008658008,13.532241103,177,0
30n20b8,1,2,233.11258278145695,3.516061759,121,21
50v-10,1,2,130.36047622046243,0.293292402,25,0
CMS750_4,1,1,97.22222222222294,4.872183224,81,28
a1c1s1,1,1,57.75480455778291,0.539069184,31,1
academictimetablesmall,1,3,inf,757.123268125,1242,0
aflow30a,1,1,194.99136442141622,0.132508153,35,3
aflow40b,1,1,348.1164383561644,0.337069335,35,4
air04,1,1,3.436236350357162,2.253682903,10,0
air05,1,1,2.396299385758702,0.70633651,5,0
app1-1,1,1,0.0,0.568625341,37,6
app1-2,1,1,43.90243902439025,7.202512373,36,5
arki001,1,3,3.168711264855907,37.346016147,1408,315
assign1-5-8,1,1,4.716981132076454,0.032017011,4,0
atlanta-ip,1,1,31.12296157513315,13.478269032,16,0
b1c1s1,1,1,218.7714905711114,0.671024535,33,3
bab2,1,2,60.060677122533285,432.951626057,315,111
bab6,1,2,31.68930866453399,105.488691838,116,40
beasleyC3,1,1,11.273209549071618,0.219454066,36,6
binkar10_1,1,1,0.9683802264566433,0.064302787,12,0
blp-ar98,1,1,77.11953441964822,1.978192867,16,0
blp-ic98,1,1,33.292251749600865,0.513296117,3,0
bnatt400,1,3,0.0,167.37102784,699,0
bppc4-08,1,1,50.943396226415096,0.129054846,5,0
brazil3,1,2,858.3333333333334,66.633552924,42,0
buildingenergy,1,2,1.3912145036734194,144.546303076,3,0
cap6000,1,1,0.34984418961261365,0.034046036,1,0
cbs-cta,1,1,0.0,2.743260041,41,11
chromaticindex1024-7,1,1,0.0,60.993553166,5,0
chromaticindex512-7,1,1,0.0,61.695075418,5,0
cmflsp50-24-8-8,1,3,15.905253688316986,151.148882528,889,252
co-100,1,1,261.6389118782401,11.745221407,31,0
cod105,1,1,100.0,1.828061837,1,0
comp07-2idx,1,2,2933.3333333333335,17.216908988,55,2
comp21-2idx,1,2,345.94594594594594,12.884707605,56,0
cost266-UUE,1,1,32.000246136809785,0.492460332,34,2
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,2,62.96296296296296,5.562618285,442,73
csched008,1,1,9.248554913294798,0.346704469,36,2
cvs16r128-89,1,1,97.9381443298969,0.985391894,1,0
dano3_3,1,1,0.010385283753323659,20.455563182,2,0
dano3_5,1,1,0.3173406278143815,20.94351608,2,0
dano3mip,1,1,15.44095552884615,25.612003097,5,0
danoint,1,1,20.243531202435307,0.336445404,32,1
disctom,1,1,0.0,1.309297726,2,0
drayage-100-23,1,1,16.408033403938173,0.337527916,13,0
drayage-25-23,1,1,6.706069814095083,0.186597767,4,0
ds,1,1,5695.251336898489,6.239890623,1,0
dws008-01,1,3,146.09933466421762,132.593374962,1442,411
eil33-2,1,1,440.7063534994712,0.063533993,1,0
eilA101-2,1,1,466.38764181779794,1.063494321,1,0
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,177.25955044242414,0.044468236,13,0
fast0507,1,1,14.367816091954023,0.910676232,1,0
fastxgemm-n2r6s0t2,1,1,1173.9130434782608,0.736093857,41,3
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,11.594202898550725,1.594251877,10,0
fiber,1,1,129.6217056318348,0.059517585,14,0
fixnet6,1,1,60.35651518955561,0.105365808,31,1
gen-ip002,1,2,16.47404906422928,0.007367888,1,0
gen-ip054,1,2,9.695150073878425,0.012804045,5,0
germanrr,1,2,3.328318454001145,7.12170504,39,3
gesa2-o,1,2,8.85026055706071,0.226225515,37,3
gesa2,1,2,2.70304653241005,0.201749374,25,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.568783513,1,0
glass4,1,1,190.27718665055866,0.161304713,58,20
gmu-35-40,1,1,7.605918589613913,0.033862179,3,0
gmu-35-50,1,1,19.532673503261094,0.307252201,32,1
graph20-20-1rand,1,1,22.22222222222222,2.127555076,21,0
graphdraw-domain,1,2,194.13288631514783,0.377014568,80,29
h80x6320d,1,1,19.23473099483427,1.193104109,33,3
harp2,1,1,12.235064163665893,0.053448821,13,0
highschool1-aigio,1,2,inf,1350.648579014,48,0
hypothyroid-k1,1,1,0.0,4.531932918,1,0
ic97p,1,3,17.858954845256214,3.599902803,636,137
ic97t,1,3,11.719939117199392,2.456491275,816,222
icir97p,1,3,20.948616600790515,17.025188437,1004,160
icir97t,1,2,14.541176470588235,3.433276656,169,99
irish-electricity,1,1,7.444316865950733,10.778167028,5,0
irp,1,1,1.6131201050754702,0.214156499,2,0
istanbul-no-cutoff,1,1,21.89662781675388,4.432387152,13,0
k1mushroom,1,1,18.248175182481752,40.217968737,1,0
lectsched-5-obj,1,3,2720.8333333333335,88.516922251,887,13
leo1,1,1,36.720876120929724,0.11638614,1,0
leo2,1,1,29.85195427531367,0.254779923,1,0
liu,1,1,412.9151291512915,0.194015111,13,0
lotsize,1,1,476.81386574066255,0.475806867,43,9
mad,1,1,10794.029850746265,0.136576306,15,0
manna81,1,2,56.73047705864479,0.070813337,2,0
map10,1,1,44.24242424242424,12.909532672,7,0
map16715-04,1,1,80.18018018018019,21.916506224,9,0
markshare1,1,1,82000.0,0.005803564,1,0
markshare2,1,1,99400.0,0.004787733,1,0
markshare_4_0,1,1,7400.0,0.00556745,1,0
mas74,1,2,35.13542622275701,0.016317431,6,0
mas76,1,2,12.179250649292209,0.011476109,4,0
mc11,1,1,128.590982975447,0.432545833,44,14
mcsched,1,1,6.061921637653188,0.536533186,4,0
mik-250-20-75-4,1,2,9.877440201908186,0.033053755,6,0
milo-v12-6-r2-40-1,1,1,146.90537991965712,0.892779183,43,13
