problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,7.142857142857143,21.260274364,372,34
30n20b8,1,2,149.33774834437085,22.237197299,815,165
50v-10,1,2,124.71505675792288,0.372068449,31,1
CMS750_4,1,1,49.99999999999856,5.874251645,97,20
a1c1s1,1,1,36.01378583102138,0.605155068,32,2
academictimetablesmall,1,3,inf,625.139174149,1161,0
aflow30a,1,1,150.43177892918825,0.116430538,31,1
aflow40b,1,1,271.40410958904107,0.583257218,61,15
air04,1,1,1.182820599604539,4.379870328,25,0
air05,1,1,3.1015393948585728,1.907103524,20,0
app1-1,1,1,33.333333333333336,0.656062458,42,6
app1-2,1,1,43.90243902439025,11.468488191,56,18
arki001,1,2,3.1718639024662574,22.719960697,1024,297
assign1-5-8,1,1,3.3018867924537996,0.110991489,24,0
atlanta-ip,1,1,11.122852195988678,15.396336301,19,0
b1c1s1,1,1,121.80592195728126,0.584960117,34,4
bab2,1,3,7.464882153494546,788.151851562,723,168
bab6,1,3,11.934579580832198,515.093473213,782,248
beasleyC3,1,1,11.671087533156498,0.221367319,36,6
binkar10_1,1,1,0.9683802264566433,0.064249537,12,0
blp-ar98,1,1,70.07550424181375,2.391625025,20,0
blp-ic98,1,1,33.292251749600865,0.504897143,3,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,41.509433962264154,1.112855979,63,9
brazil3,1,2,350.0,19.004233034,25,0
buildingenergy,1,2,1.3912145036735724,663.854341382,11,0
cap6000,1,1,0.34984418961261365,0.033867795,1,0
cbs-cta,1,1,0.0,2.819527038,41,11
chromaticindex1024-7,1,1,0.0,53.541549496,2,0
chromaticindex512-7,1,1,0.0,45.884662798,2,0
cmflsp50-24-8-8,1,2,21.30973966284621,55.389521692,427,156
co-100,1,1,588.096396706525,5.43560232,14,0
cod105,1,1,100.0,1.91415267,1,0
comp07-2idx,1,2,4183.333333333333,5.100931834,17,0
comp21-2idx,1,2,386.4864864864865,4.188425326,24,0
cost266-UUE,1,1,59.633720570533775,0.47388467,26,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,41.02564102564025,10.652070712,902,193
csched008,1,3,9.826589595375722,6.655590199,853,315
cvs16r128-89,1,1,97.9381443298969,0.980706657,1,0
dano3_3,1,1,0.008979373125562616,17.808419246,18,0
dano3_5,1,1,0.1421269359095316,102.484855099,48,9
dano3mip,1,1,12.07932692307692,144.840994663,70,16
danoint,1,2,651.4307458143074,4.36267678,261,117
disctom,1,1,0.0,1.335593907,2,0
drayage-100-23,1,1,14.520782928924772,0.531337892,21,0
drayage-25-23,1,1,6.205405804065995,0.461730356,16,0
ds,1,1,5695.251336898489,6.042658212,1,0
dws008-01,1,3,31.838673913375843,66.292449136,1165,389
eil33-2,1,1,440.7063534994712,0.063211608,1,0
eilA101-2,1,1,466.38764181779794,1.049324543,1,0
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,51.27263344817642,0.087534867,27,0
fast0507,1,1,14.367816091954023,0.888614733,1,0
fastxgemm-n2r6s0t2,1,1,1173.9130434782608,0.379375547,25,0
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,10.869565217391305,8.073433419,56,4
fiber,1,1,160.5454171010545,0.068039625,16,0
fixnet6,1,1,58.95053979412503,0.102244571,31,1
gen-ip002,1,2,16.47404906422928,0.006841058,1,0
gen-ip054,1,2,13.57159346087679,0.044549197,16,0
germanrr,1,2,2.7743685145598205,10.065864089,51,5
gesa2-o,1,2,2.0490128103374605,0.209799967,34,2
gesa2,1,2,2.70304653241005,0.206532949,25,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.536758522,1,0
glass4,1,1,883.3304416970288,0.305791877,112,40
gmu-35-40,1,1,6.895152435715877,0.106607134,14,0
gmu-35-50,1,1,12.71927267718268,0.575852835,61,11
graph20-20-1rand,1,1,33.333333333333336,4.47547894,50,1
graphdraw-domain,1,2,320.3291679366047,0.665569559,145,59
h80x6320d,1,1,19.23473099483427,1.201926808,33,3
harp2,1,1,11.85149613695565,0.054757954,13,0
highschool1-aigio,1,2,inf,665.052306562,16,0
hypothyroid-k1,1,1,0.0,4.57511478,1,0
ic97p,1,3,11.11111111111111,4.531119316,719,357
ic97t,1,3,12.836123795027905,4.824423882,1459,521
icir97p,1,3,19.74703557312253,22.160807238,971,300
icir97t,1,2,10.996078431372549,2.330965974,108,50
irish-electricity,1,1,5.95767106312423,23.460366334,33,2
irp,1,1,0.3037094976156847,0.226255258,2,0
istanbul-no-cutoff,1,1,21.89662781675388,6.70687609,24,0
k1mushroom,1,1,18.248175182481752,39.669689163,1,0
lectsched-5-obj,1,3,2754.1666666666665,100.674300335,1021,0
leo1,1,1,36.720876120929724,0.121131192,1,0
leo2,1,1,29.85195427531367,0.247058139,1,0
liu,1,1,229.15129151291512,1.156232175,90,58
lotsize,1,1,66.6281807464557,0.56381511,52,17
mad,1,1,6188.059701492536,0.136900365,15,0
manna81,1,2,56.73047705864479,0.069906361,2,0
map10,1,1,9.090909090909092,44.796200871,29,0
map16715-04,1,1,100.0,55.196501258,43,6
markshare1,1,1,82000.0,0.005502079,1,0
markshare2,1,1,99400.0,0.004745657,1,0
markshare_4_0,1,1,7400.0,0.005488091,1,0
mas74,1,2,1233.2933136460697,0.188032848,90,15
mas76,1,2,293.31137899917763,0.187668174,90,13
mc11,1,1,95.34605184361365,0.438030973,44,14
mcsched,1,1,11.24093377942835,0.538516432,4,0
mik-250-20-75-4,1,2,54.69493891130189,0.029531173,6,0
milo-v12-6-r2-40-1,1,1,126.91953956305876,0.975527474,44,14
misc07,1,1,56.22775800711744,0.191793406,32,1
mkc,1,2,90.83114579638173,0.036772571,2,0
mod011,1,1,5.604339503166583,0.489102889,29,0
modglob,1,1,72.58622810346723,0.073369918,31,1
