problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,1.0822510822511069,0.47771032,7,0
30n20b8,1,3,1292.0529801324503,25.470060238,937,275
50v-10,1,2,188.55030591697002,0.375013488,31,1
CMS750_4,1,1,46.82539682539682,5.615480706,92,16
a1c1s1,1,1,24.65101948119686,0.565160622,32,2
academictimetablesmall,1,3,inf,497.524119145,985,6
aflow30a,1,1,120.20725388601036,0.144483343,38,4
aflow40b,1,1,216.69520547945206,0.349725507,36,3
air04,1,1,1.1810392432798333,3.678566414,18,0
air05,1,1,3.1015393948585728,1.901959292,20,0
app1-1,1,1,33.333333333333336,0.786770056,51,11
app1-2,1,1,43.90243902439025,21.970009277,109,62
arki001,1,2,2.8344080452286304,19.521777834,949,240
assign1-5-8,1,1,1.8867924528311448,0.101108156,23,0
atlanta-ip,1,1,11.122860745899791,15.344981708,19,0
b1c1s1,1,1,125.33065789339666,0.644118251,39,7
bab2,1,3,34.192614892154204,901.470072476,843,225
bab6,1,2,45.03160757932562,312.503790477,496,27
beasleyC3,1,1,12.86472148541114,0.224902896,36,6
binkar10_1,1,1,0.9683802264566433,0.0622223,12,0
blp-ar98,1,1,73.20115131531362,2.327263479,20,0
blp-ic98,1,1,33.292251749600865,0.49432254,3,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,50.943396226415096,1.102312157,63,9
brazil3,1,2,179.16666666666666,17.184175234,19,0
buildingenergy,1,2,1.3912145036735506,714.650607003,11,0
cap6000,1,1,0.34984418961261365,0.033856506,1,0
cbs-cta,1,1,0.0,2.843975979,41,11
chromaticindex1024-7,1,1,0.0,53.299310103,2,0
chromaticindex512-7,1,1,0.0,46.318560675,2,0
cmflsp50-24-8-8,1,1,19.342528900713766,43.527203393,336,129
co-100,1,1,302.52800017891286,6.751741261,18,0
cod105,1,1,100.0,1.755732045,1,0
comp07-2idx,1,2,3650.0,5.918366567,23,0
comp21-2idx,1,2,436.4864864864865,4.392011449,24,0
cost266-UUE,1,1,80.93675298741917,0.487414632,26,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,31.90883190883139,12.213780475,906,151
csched008,1,1,9.248554913294798,0.748658119,68,6
cvs16r128-89,1,1,97.9381443298969,0.982004187,1,0
dano3_3,1,1,0.008979373126154381,17.73578742,18,0
dano3_5,1,1,0.015390167937547347,69.274666158,41,5
dano3mip,1,1,10.779747596153845,118.053189007,71,15
danoint,1,1,651.4307458143074,2.429171943,125,47
disctom,1,1,0.0,1.325747219,2,0
drayage-100-23,1,1,14.520782928924772,0.579049019,21,0
drayage-25-23,1,1,10.911273925398623,0.657684576,25,0
ds,1,1,5695.251336898489,6.048624823,1,0
dws008-01,1,3,38.86799438572129,82.429270008,1251,462
eil33-2,1,1,440.7063534994712,0.06368023,1,0
eilA101-2,1,1,466.38764181779794,1.056435924,1,0
enlight_hard,1,3,0.0,2.529262359,723,201
exp-1-500-5-5,1,1,40.15663180900633,0.0893262,27,0
fast0507,1,1,14.367816091954023,0.915326742,1,0
fastxgemm-n2r6s0t2,1,1,650.8695652173913,0.307663851,20,0
fhnw-binpack4-48,1,3,0.0,60.56711034,1481,179
fiball,1,2,10.144927536231885,7.321175566,52,2
fiber,1,1,160.5454171010545,0.067846454,16,0
fixnet6,1,1,45.06653276424805,0.103098479,31,1
