problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,1.5151515151515151,6.218641895,128,7
30n20b8,1,3,1325.8278145695365,22.610397452,814,326
50v-10,1,2,161.5732161604713,0.399474385,31,1
CMS750_4,1,1,47.619047619046896,17.508931314,302,36
a1c1s1,1,1,33.01219202287229,0.727455903,35,3
academictimetablesmall,1,3,inf,596.553572108,1510,2
aflow30a,1,1,187.8238341968912,0.150956465,40,5
aflow40b,1,1,194.6917808219178,0.372160921,38,5
air04,1,1,0.09441188520939843,3.375266699,14,0
air05,1,1,3.1015393948585728,1.905404847,22,0
app1-1,1,1,66.66666666666667,0.950380859,65,19
app1-2,1,1,43.90243902439025,14.581606076,83,28
arki001,1,3,2.6254847879837886,26.142994472,1189,388
assign1-5-8,1,1,2.830188679246248,0.101136921,23,0
atlanta-ip,1,1,8.900629973766456,15.90364768,20,0
b1c1s1,1,1,175.8117117219091,1.271621209,43,7
bab2,1,3,9.634994346707291,969.193565537,832,292
bab6,1,3,11.460324315749181,554.69676543,809,269
beasleyC3,1,1,12.73209549071618,0.355632264,59,14
binkar10_1,1,1,1.0093164200980496,0.156931393,34,2
blp-ar98,1,1,71.42032211991456,2.145663157,18,0
blp-ic98,1,1,33.292251749600865,0.501892108,3,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,30.18867924528302,0.978367521,62,8
brazil3,1,2,241.66666666666666,18.556648563,29,0
buildingenergy,1,2,1.3912145036735943,649.597930652,11,0
cap6000,1,1,0.34984418961261365,0.033925072,1,0
cbs-cta,1,1,inf,8.11862334,87,28
chromaticindex1024-7,1,1,0.0,54.083535657,2,0
chromaticindex512-7,1,1,0.0,45.379216227,2,0
cmflsp50-24-8-8,1,1,12.82256459257949,34.598185987,265,105
co-100,1,1,302.1390745977203,6.398619768,16,0
cod105,1,1,100.0,1.757716994,1,0
comp07-2idx,1,2,3616.6666666666665,6.7523569,27,0
comp21-2idx,1,2,348.64864864864865,5.408356068,35,2
cost266-UUE,1,1,31.384377569183822,0.516138959,34,2
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,28.774928774929034,7.492956738,800,208
csched008,1,2,9.248554913294798,3.409808432,458,169
cvs16r128-89,1,1,97.9381443298969,1.016679654,1,0
dano3_3,1,1,0.008979385061637795,17.722532086,18,0
dano3_5,1,1,0.02611869481934687,37.510061589,36,3
dano3mip,1,1,14.165998931623914,112.189100341,72,16
danoint,1,2,651.4307458143074,9.11236232,624,288
disctom,1,1,0.0,1.324671168,2,0
drayage-100-23,1,1,14.520782928924772,0.565667589,21,0
drayage-25-23,1,1,10.911273925398623,0.735938204,29,0
ds,1,1,5695.251336898489,5.993227202,1,0
dws008-01,1,3,19.149950406619425,43.552164203,813,357
eil33-2,1,1,440.7063534994712,0.062922078,1,0
eilA101-2,1,1,466.38764181779794,1.049963997,1,0
enlight_hard,1,3,2.3044629267895143e-13,4.253132622,690,215
exp-1-500-5-5,1,1,41.1401338655577,0.094115285,29,0
fast0507,1,1,14.367816091954023,0.91623623,1,0
fastxgemm-n2r6s0t2,1,1,911.7391304347826,0.591888128,44,5
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,12.318840579710104,7.896217415,59,7
fiber,1,1,160.5454171010545,0.069255092,16,0
fixnet6,1,1,55.66156163695707,0.104081119,31,1
gen-ip002,1,2,16.47404906422928,0.008169189,1,0
gen-ip054,1,2,13.57159346087679,0.053251875,16,0
germanrr,1,2,11.005216633280835,20.270672529,145,37
gesa2-o,1,2,9.986245925027962,0.218459927,35,3
gesa2,1,2,2.70304653241005,0.290744241,33,2
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.572576227,1,0
glass4,1,2,877.7739778176774,0.639948724,236,97
gmu-35-40,1,1,6.895152435715877,0.107319981,14,0
gmu-35-50,1,1,14.807721962336725,0.736850955,80,20
graph20-20-1rand,1,1,33.333333333333336,5.153773041,72,3
graphdraw-domain,1,2,56.278573605608045,0.307092352,62,12
h80x6320d,1,1,22.5218025431465,1.351297161,37,4
harp2,1,1,11.85149613695565,0.055784539,13,0
highschool1-aigio,1,2,inf,903.079835242,35,0
hypothyroid-k1,1,1,0.0,4.585096216,1,0
ic97p,1,2,12.455606291222729,12.07888893,1862,828
ic97t,1,3,14.789446981227803,5.470777754,1709,608
icir97p,1,3,19.731225296442688,49.452425467,1803,475
icir97t,1,2,10.321568627450981,7.025275913,227,98
irish-electricity,1,2,8.779732951467905,44.603094685,100,33
