problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,10.389610389610366,35.712770451,467,4
30n20b8,1,2,1731.1258278145694,5.522230217,175,37
50v-10,1,2,130.43899808231643,0.365458343,31,1
CMS750_4,1,1,49.999999999999275,4.368655405,70,12
a1c1s1,1,1,30.026538892849086,0.472650726,32,2
academictimetablesmall,1,3,inf,770.027695582,1154,0
aflow30a,1,1,152.24525043177894,0.117531108,31,1
aflow40b,1,1,266.95205479452056,0.332106138,34,3
air04,1,1,0.0748169656376365,2.938576256,10,0
air05,1,1,4.14802456965193,0.809042625,4,0
app1-1,1,1,66.66666666666667,0.520617164,33,2
app1-2,1,1,43.90243902439025,18.137883341,91,53
arki001,1,3,2.640523245922634,21.914766784,805,187
assign1-5-8,1,1,1.8867924528311448,0.111734732,24,0
atlanta-ip,1,1,11.122915631355363,14.631987793,18,0
b1c1s1,1,1,148.27326155820612,0.500690016,34,4
bab2,1,1,15.754014170632004,135.761785423,42,1
bab6,1,1,31.017685064521157,89.92014215,75,18
beasleyC3,1,1,10.212201591511937,0.219401086,36,6
binkar10_1,1,1,0.9683802264566433,0.062286021,12,0
blp-ar98,1,1,68.19912931791531,1.91919249,16,0
blp-ic98,1,1,33.292251749600865,0.513014902,3,0
bnatt400,1,3,0.0,166.276250048,699,0
bppc4-08,1,1,37.735849056603776,1.217662157,62,9
brazil3,1,2,583.3333333333334,21.589120293,24,0
buildingenergy,1,2,1.391214503673616,725.912480092,12,0
cap6000,1,1,0.34984418961261365,0.033430082,1,0
cbs-cta,1,1,0.0,2.759856589,40,10
chromaticindex1024-7,1,1,0.0,54.536188698,3,0
chromaticindex512-7,1,1,0.0,44.893791586,2,0
cmflsp50-24-8-8,1,3,15.951102271277705,118.545486506,736,202
co-100,1,1,302.5318438238753,5.459746189,14,0
cod105,1,1,100.0,1.760235018,1,0
comp07-2idx,1,2,3083.3333333333335,5.177610687,17,0
comp21-2idx,1,2,494.5945945945946,4.159892851,20,0
cost266-UUE,1,1,33.59150108071186,0.456142156,32,1
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,84.61538461536828,11.762641554,823,132
csched008,1,2,9.826589595375722,1.623695208,163,27
cvs16r128-89,1,1,97.9381443298969,1.012593684,1,0
dano3_3,1,1,0.008979373125562616,17.786901253,18,0
dano3_5,1,1,0.335696869832265,103.117316429,42,6
dano3mip,1,1,11.694564962476553,274.543617394,68,18
danoint,1,1,651.4307458143074,3.757991743,100,36
disctom,1,1,0.0,1.289163955,2,0
drayage-100-23,1,1,6.301876675373455,0.34813068,13,0
drayage-25-23,1,1,18.310217648448532,0.505204141,21,0
ds,1,1,5695.251336898489,5.992048387,1,0
dws008-01,1,3,78.40936013760783,67.734743225,724,233
eil33-2,1,1,440.7063534994712,0.06366058,1,0
eilA101-2,1,1,466.38764181779794,1.067917639,1,0
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,59.542853673714085,0.082740014,25,0
fast0507,1,1,14.367816091954023,0.918196102,1,0
fastxgemm-n2r6s0t2,1,1,911.7391304347826,0.301128751,20,0
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,21.014492753623188,7.045056593,58,5
fiber,1,1,160.5454171010545,0.067354333,16,0
fixnet6,1,1,62.26462465478283,0.102400439,31,1
gen-ip002,1,2,16.47404906422928,0.006972993,1,0
gen-ip054,1,2,10.078242921120696,0.013885318,5,0
germanrr,1,2,3.321491414551721,10.259408662,39,3
gesa2-o,1,2,8.85026055706071,0.223765418,37,3
gesa2,1,2,2.70304653241005,0.195343202,25,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.561886784,1,0
glass4,1,1,224.99973750275623,0.308820308,110,35
gmu-35-40,1,1,6.895152435715877,0.106783354,14,0
gmu-35-50,1,1,6.732697017440485,0.298318311,31,1
graph20-20-1rand,1,1,11.11111111111111,3.854876763,29,0
graphdraw-domain,1,2,51.88966778421213,0.287961968,53,7
h80x6320d,1,1,19.23473099483427,1.188064651,33,3
harp2,1,1,11.85149613695565,0.054918249,13,0
highschool1-aigio,1,2,inf,669.38130842,12,0
hypothyroid-k1,1,1,0.0,4.98009214,1,0
ic97p,1,3,17.93505834601725,4.018770071,710,136
ic97t,1,3,12.125824454591578,4.611274132,1519,384
icir97p,1,3,24.284584980237153,30.464399796,1707,268
icir97t,1,2,17.55294117647059,3.194031683,163,94
irish-electricity,1,1,7.42025385490239,21.84808579,34,1
irp,1,1,0.3037094976156847,0.2334564,2,0
istanbul-no-cutoff,1,1,22.818847316345217,6.472839302,22,0
k1mushroom,1,1,18.248175182481752,39.372659027,1,0
lectsched-5-obj,1,3,2645.8333333333335,105.284165328,1165,7
leo1,1,1,36.720876120929724,0.116924264,1,0
leo2,1,1,29.85195427531367,0.255860855,1,0
liu,1,1,674.7232472324723,1.147286238,90,58
lotsize,1,1,72.58347717699357,0.499285864,46,12
mad,1,1,13107.462686567165,0.13708523,15,0
manna81,1,2,56.73047705864479,0.070550342,2,0
map10,1,1,77.44668911335577,46.19260232,33,2
map16715-04,1,1,90.09009009009009,52.662016151,44,7
markshare1,1,1,82000.0,0.005823614,1,0
markshare2,1,1,99400.0,0.006432219,1,0
markshare_4_0,1,1,7400.0,0.004425278,1,0
mas74,1,2,1233.2933136460697,0.188831852,90,17
mas76,1,2,293.31137899917763,0.188593435,90,25
mc11,1,1,107.28890409786979,0.447536822,45,14
mcsched,1,1,10.296206462085856,0.526426002,4,0
mik-250-20-75-4,1,2,62.57624137205789,0.201307285,41,6
milo-v12-6-r2-40-1,1,1,147.82426913145477,0.909934601,43,13
misc07,1,1,26.156583629893237,0.108811257,16,0
mkc,1,2,90.83114579638173,0.036830599,2,0
mod011,1,1,7.052281184890657,0.471689587,30,0
modglob,1,1,98.08018189267754,0.074711708,32,2
momentum1,1,2,176.33820011323905,43.707579695,638,393
msc98-ip,1,1,14.28052337210666,6.269094524,31,1
mushroom-best,1,2,10542745.64472056,14.843506875,52,3
mzzv11,1,2,21.364766553089602,4.044702234,18,0
mzzv42z,1,2,36.73807205452775,4.391716634,22,0
n2seq36q,1,1,29.118773946360154,0.406955572,1,0
n3div36,1,1,30.428134556574925,0.396682129,1,0
n5-3,1,2,5.860579888957433,0.335113287,25,0
neos-1122047,1,1,100.0,0.072219487,0,0
neos-1171448,1,1,0.6472491909385113,5.238502903,31,1
neos-1171737,1,1,4.615384615384615,1.571590095,31,1
neos-1354092,1,2,17.391304347826086,176.288878665,36,0
neos-1445765,1,1,28.144857448124615,0.779282406,6,0
neos-1456979,1,3,170.45454545454547,64.218813489,782,118
neos-1582420,1,2,93.4065934065934,2.088493861,112,18
neos-2657525-crna,1,2,1136.7350564518088,0.45150219,133,6
neos-2746589-doon,1,3,28.448361716960708,1449.111373747,756,39
neos-2978193-inde,1,1,1.674998929801807e-07,0.152462695,2,0
neos-2987310-joes,1,1,0.17041864432026857,6.888776732,42,8
neos-3004026-krka,1,3,0.0,81.544072963,1024,3
neos-3024952-loue,1,3,787.8158170130064,61.917670482,1126,31
neos-3046615-murg,1,2,13545.9375,0.149716722,93,63
neos-3083819-nubu,1,2,0.8047722287712294,0.043825511,1,0
neos-3216931-puriri,1,3,135.20751542344362,480.784522083,1166,0
neos-3381206-awhea,1,3,4.856512141280353,16.386018826,940,2
neos-3402294-bobin,1,1,571.3754646840199,23.126613108,26,0
neos-3555904-turama,1,1,4.322766570605207,118.735119356,57,2
neos-3627168-kasai,1,1,1.9954528571841024,0.155388768,25,0
neos-3656078-kumeu,1,3,37.433382426625435,200.751170072,1298,0
neos-3754480-nidda,1,1,30.84442366796024,0.219110156,67,13
neos-4300652-rahue,1,3,331.8640268957795,906.33741023,720,0
neos-4338804-snowy,1,2,165748.81033310673,0.753205173,96,30
neos-4387871-tavua,1,3,717.4583427715139,25.759618007,863,459
neos-4413714-turia,1,1,399.12042135568277,86.04181998,89,18
neos-4532248-waihi,1,3,949.3506493506494,738.416641828,771,44
neos-4647030-tutaki,1,1,38.16624370555519,23.587871515,25,0
neos-4722843-widden,1,2,352.0150436958733,64.236153793,108,26
neos-4738912-atrato,1,2,7.758866947560246,0.497031219,26,0
neos-4763324-toguru,1,1,61.61804646270454,21.20872803,24,0
neos-4954672-berkel,1,1,56.15835664884354,0.099840775,32,1
neos-5049753-cuanza,1,1,59.07473389743146,328.176576614,137,30
neos-5052403-cygnet,1,1,0.0,42.061156819,2,0
neos-5093327-huahum,1,1,902.332268370607,13.89650819,124,94
neos-5104907-jarama,0,0,0,0,0,0
neos-5107597-kakapo,1,1,43059.50617283951,1.926262382,128,101
neos-5114902-kasavu,0,0,0,0,0,0
neos-5188808-nattai,1,1,3800.1188181857183,5.251355242,26,0
neos-5195221-niemur,1,1,860.2418824932552,5.665744346,16,0
