problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,9.090909090909092,10.035039128,136,3
30n20b8,1,2,200.0,4.169725444,134,25
50v-10,1,2,117.16971036219525,0.165316405,13,0
CMS750_4,1,1,80.95238095238095,4.777518085,77,25
a1c1s1,1,1,33.57069268651008,0.574571884,32,2
academictimetablesmall,1,3,inf,642.230012897,908,0
aflow30a,1,1,105.18134715025907,0.118646795,31,1
aflow40b,1,1,244.60616438356163,0.135713774,13,0
air04,1,1,2.07528011828206,2.445250887,14,0
air05,1,1,11.96633047698491,1.259654974,13,0
app1-1,1,1,0.0,0.536822016,35,5
app1-2,1,1,43.90243902439025,8.425857091,40,8
arki001,1,3,3.0626434406536918,43.67100932,1647,368
assign1-5-8,1,1,1.8867924528311448,0.112077784,21,0
atlanta-ip,1,1,8.900601542944221,13.405258123,14,0
b1c1s1,1,1,276.48407907579934,0.59101426,34,4
bab2,1,2,57.923919927893934,369.01170928,275,59
bab6,1,3,21.875870905816406,498.710150949,721,223
beasleyC3,1,1,11.405835543766578,0.201829481,33,3
binkar10_1,1,1,3.317613855492543,0.079159519,16,0
blp-ar98,1,1,72.22500438685219,1.798407936,15,0
blp-ic98,1,1,51.33839572546307,0.24811088,1,0
bnatt400,1,3,0.0,431.041263989,1266,0
bppc4-08,1,1,35.84905660377358,0.581611114,30,0
brazil3,1,2,983.3333333333334,37.380354069,31,0
buildingenergy,1,2,0.7166165224593998,93.540354514,4,0
cap6000,1,1,0.34984418961261365,0.033514089,1,0
cbs-cta,1,1,inf,2.517778257,30,0
chromaticindex1024-7,1,1,0.0,61.657238086,6,0
chromaticindex512-7,1,1,0.0,66.752616132,7,0
cmflsp50-24-8-8,1,3,21.315699194067548,120.23846993,798,221
co-100,1,1,302.11147474956306,6.234098726,16,0
cod105,1,1,100.0,1.768848653,1,0
comp07-2idx,1,2,3300.0,5.510696497,19,0
comp21-2idx,1,2,322.97297297297297,3.917013532,22,0
cost266-UUE,1,1,36.635952429162785,0.427946744,31,1
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,112.25071225071225,11.623804344,964,172
csched008,1,2,9.826589595375722,2.656091439,274,52
cvs16r128-89,1,1,97.9381443298969,0.962921304,1,0
dano3_3,1,1,0.009018908856346486,18.057895868,4,0
dano3_5,1,1,0.3168578694885874,21.091368868,13,0
dano3mip,1,1,16.053610304789533,244.625647112,62,14
danoint,1,1,21.76560121765601,0.509511116,23,0
disctom,1,1,0.0,1.341362365,2,0
drayage-100-23,1,1,19.404411912256084,0.334981203,14,0
drayage-25-23,1,1,6.706069814095083,0.18165831,4,0
ds,1,1,3833.719251336991,6.140892818,1,0
