problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,11.03896103896104,5.566728948,107,1
30n20b8,1,2,1731.1258278145694,4.624890003,165,28
50v-10,1,2,164.77116976376803,0.159080914,13,0
CMS750_4,1,1,53.57142857142857,5.090469011,86,14
a1c1s1,1,1,23.1728201010136,0.635017616,32,2
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,154.57685664939552,0.142758831,38,6
aflow40b,1,1,318.75,0.383523247,39,6
air04,1,1,2.9214243725172344,4.471384765,39,3
air05,1,1,2.4759232577538484,0.756567256,4,0
app1-1,1,1,33.333333333333336,0.515215849,33,3
app1-2,1,1,43.90243902439025,7.775637794,40,9
arki001,1,3,2.8418017099113575,24.222554688,840,215
assign1-5-8,1,1,9.43396226415197,0.038239154,6,0
atlanta-ip,1,1,8.900656748166446,11.865058974,14,0
b1c1s1,1,1,46.043737331554254,0.68627589,35,4
bab2,1,3,30.643040506043434,1010.868835522,862,259
bab6,1,2,9.788358939466558,98.040682688,113,21
beasleyC3,1,1,10.344827586206897,0.218898155,35,5
binkar10_1,1,1,4.02732289448295,0.09728706,20,0
blp-ar98,1,1,79.52562865760855,2.195560495,18,0
blp-ic98,1,1,51.33839572546307,0.242549462,1,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,62.264150943396224,0.142803347,6,0
brazil3,1,2,300.0,49.6712584,50,0
buildingenergy,1,2,0.732193177495503,133.000960348,4,0
cap6000,1,1,0.34984418961261365,0.033818869,1,0
cbs-cta,1,1,0.0,2.891354823,42,12
chromaticindex1024-7,1,1,0.0,64.009611302,6,0
chromaticindex512-7,1,1,0.0,69.379399194,7,0
cmflsp50-24-8-8,1,2,21.858266983921222,48.274636714,383,133
co-100,1,1,588.5049852192591,8.213668226,21,0
cod105,1,1,100.0,1.870200821,1,0
comp07-2idx,1,2,3066.6666666666665,15.056479358,51,0
comp21-2idx,1,2,358.1081081081081,13.142629505,56,0
cost266-UUE,1,1,44.375983287941764,0.226678463,13,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,74.64387464387387,9.655950411,909,283
csched008,1,2,9.826589595375722,1.488288879,190,49
cvs16r128-89,1,1,97.9381443298969,0.977297256,1,0
dano3_3,1,1,0.010233971803313167,18.606059204,2,0
dano3_5,1,1,0.3169558664130266,21.0337161,2,0
dano3mip,1,1,15.44095552884615,25.754458394,5,0
danoint,1,1,32.420091324200904,0.629730188,38,5
disctom,1,1,0.0,1.283803158,2,0
drayage-100-23,1,1,15.917307815076173,0.377518898,14,0
drayage-25-23,1,1,6.706069814095083,0.203848677,5,0
ds,1,1,3833.719251336991,6.185865102,1,0
dws008-01,1,3,68.83795828588721,60.67740351,776,211
eil33-2,1,1,74.54690351896336,0.063541465,1,0
eilA101-2,1,1,184.80858186971926,1.061002493,1,0
enlight_hard,1,3,3.706344540586469e-12,3.380211662,619,144
exp-1-500-5-5,1,1,320.9798594563419,0.100026865,31,1
fast0507,1,1,58.04597701149425,0.908584541,1,0
fastxgemm-n2r6s0t2,1,1,650.9739130434782,0.685277545,43,2
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,13.768115942028986,2.123616944,13,0
fiber,1,1,129.6217056318348,0.060118428,14,0
fixnet6,1,1,44.99121265377856,0.103475486,31,1
gen-ip002,1,2,16.950993641411536,0.009175172,1,0
gen-ip054,1,2,14.35012540513408,0.007685876,1,0
germanrr,1,2,2.921809824206571,8.98013895,54,8
gesa2-o,1,2,39.39904208613676,0.30363524,40,1
gesa2,1,2,2.2122049815195335,0.114047297,13,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,30.434782608695652,0.570144947,1,0
glass4,1,1,199.99925834112076,0.305227924,111,43
gmu-35-40,1,1,6.895152435715877,0.035118257,3,0
gmu-35-50,1,1,15.890997575870019,0.424567446,45,3
graph20-20-1rand,1,1,22.22222222222222,2.512021964,27,0
graphdraw-domain,1,2,61.13989637305699,0.075788174,13,0
h80x6320d,1,1,19.73933870707044,1.222730197,32,2
harp2,1,1,11.793274056924764,0.05439011,13,0
highschool1-aigio,1,2,inf,1292.680820659,57,0
hypothyroid-k1,1,1,0.0,4.788245999,1,0
ic97p,1,3,16.438356164383563,3.960927921,642,166
ic97t,1,3,15.322171486555048,3.017911529,934,255
icir97p,1,3,19.383399209486164,16.256661966,771,183
icir97t,1,2,15.04313725490196,5.282249858,182,95
irish-electricity,1,1,7.271202254487167,10.643850414,8,0
irp,1,1,12.042660992736957,0.367954003,5,0
istanbul-no-cutoff,1,1,31.553136054018395,3.955953307,12,0
k1mushroom,1,1,18.248175182481752,40.787369685,1,0
lectsched-5-obj,1,3,2150.0,84.174861332,952,23
leo1,1,1,80.42343297249363,0.109686028,1,0
leo2,1,1,75.64281067332057,0.213244125,1,0
liu,1,1,383.21033210332104,0.221489108,15,0
lotsize,1,2,341.1091106239381,1.272018908,126,51
mad,1,1,5562.686567164178,0.116298911,13,0
manna81,1,2,0.0,0.113928314,3,0
map10,1,1,79.79797979797979,14.733608333,8,0
map16715-04,1,1,76.57657657657657,19.476143592,8,0
markshare1,1,1,24200.0,0.006252717,1,0
markshare2,1,1,57100.0,0.004327053,1,0
markshare_4_0,1,1,7400.0,0.005533298,1,0
mas74,1,2,29.142219949666064,0.021973776,9,0
mas76,1,2,12.179250649292209,0.01368006,5,0
mc11,1,1,109.80408931474035,0.452985084,45,14
mcsched,1,1,6.558351776436557,0.606087559,5,0
mik-250-20-75-4,1,2,0.8011319095237185,0.037342061,6,0
milo-v12-6-r2-40-1,1,1,99.95470913975456,0.809341453,39,9
misc07,1,1,32.02846975088968,0.128328057,21,0
mkc,1,2,53.63710535650949,0.036820605,2,0
mod011,1,1,13.122385989906144,0.118035783,5,0
modglob,1,1,48.570437494009546,0.016517073,5,0
momentum1,1,3,211.46403981697475,101.93656212,1629,822
msc98-ip,1,1,12.234241654612838,5.927174388,33,1
mushroom-best,1,2,8981226.069512341,21.948038629,62,3
mzzv11,1,2,25.140436504282164,2.970626618,14,0
mzzv42z,1,2,27.14703018500487,1.905639819,7,0
n2seq36q,1,1,31.417624521072796,0.413073762,1,0
n3div36,1,1,64.98470948012232,0.344239488,1,0
n5-3,1,2,39.975323874151755,0.409869543,31,1
neos-1122047,1,1,100.0,0.073937235,0,0
neos-1171448,1,1,16.666666666666632,1.149248463,4,0
neos-1171737,1,1,12.307692307692308,0.386519737,4,0
neos-1354092,1,2,13.043478260869565,105.909821784,26,0
neos-1445765,1,1,21.430579767193386,0.613528021,5,0
neos-1456979,1,2,119.88636363636364,34.125401447,501,79
neos-1582420,1,2,64.83516483516483,1.470163697,97,12
neos-2657525-crna,1,2,1050.9307921367301,0.311711846,71,6
neos-2746589-doon,1,3,10.805696643760637,773.966369858,770,56
neos-2978193-inde,1,1,25.94027183610996,0.239149509,5,0
neos-2987310-joes,1,2,10.079804366090187,19.632534078,108,38
neos-3004026-krka,1,3,0.0,68.435051549,991,3
neos-3024952-loue,1,2,856.8993870533712,124.263378278,1234,21
neos-3046615-murg,1,2,3700.9375,0.155449343,95,64
neos-3083819-nubu,1,2,0.8047722287712294,0.043002211,1,0
neos-3216931-puriri,1,3,121.0880538418396,117.232788578,1005,150
neos-3381206-awhea,1,3,4.856512141280353,24.320870363,1056,0
