problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,2.1645021645021645,36.378667862,536,73
30n20b8,1,3,1359.6026490066224,21.86979215,865,257
50v-10,1,2,110.0964011338491,0.150251256,13,0
CMS750_4,1,1,52.77777777777778,7.222268159,106,17
a1c1s1,1,1,38.244947689378805,0.374557437,32,2
academictimetablesmall,1,3,inf,585.008860058,1467,66
aflow30a,1,1,69.86183074265976,0.107373602,32,2
aflow40b,1,1,137.32876712328766,0.292165159,33,2
air04,1,1,0.10331866683292659,2.85044185,5,0
air05,1,1,3.238037461135967,1.756150607,15,0
app1-1,1,1,33.333333333333336,0.961466626,70,31
app1-2,1,1,43.90243902439025,28.875971158,131,78
arki001,1,2,3.1032083698610737,20.576610483,1186,297
assign1-5-8,1,1,0.47169811320849003,0.087387315,24,0
atlanta-ip,1,1,14.456332044622036,17.756424866,37,1
b1c1s1,1,1,319.40699054696546,0.447719039,34,4
bab2,1,2,20.771500485751318,441.382553095,364,9
bab6,1,3,12.243539991188031,468.416742256,779,248
beasleyC3,1,1,13.52785145888594,0.193521194,35,5
binkar10_1,1,1,3.317613855492543,0.06940419,16,0
blp-ar98,1,1,73.32487123087317,1.763181678,16,0
blp-ic98,1,1,51.33839572546307,0.228711502,1,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,16.9811320754717,1.240193265,60,8
brazil3,1,2,400.0,22.160983396,25,0
buildingenergy,1,2,0.7322299400659112,771.054405352,11,0
cap6000,1,1,0.34984418961261365,0.088756849,1,0
cbs-cta,1,1,0.0,3.022249091,40,10
chromaticindex1024-7,1,1,0.0,66.118482962,2,0
chromaticindex512-7,1,1,0.0,39.230121165,2,0
cmflsp50-24-8-8,1,2,21.983335306509314,58.630482303,470,155
co-100,1,1,302.0721212343575,6.489401948,16,0
cod105,1,1,100.0,1.97872101,1,0
comp07-2idx,1,2,3450.0,6.100597537,30,0
comp21-2idx,1,2,439.18918918918916,4.373640298,32,0
cost266-UUE,1,1,38.585396457750505,0.395766502,31,1
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,58.97435897435897,12.794182012,1033,268
csched008,1,1,9.826589595375722,0.942628606,105,15
cvs16r128-89,1,1,97.9381443298969,0.864891537,1,0
dano3_3,1,1,1.1154768006354878e-10,18.434042167,15,0
dano3_5,1,1,0.017657910131496212,74.605418767,39,4
dano3mip,1,1,15.44095552884615,154.083239098,74,15
danoint,1,1,651.4307458143074,2.504071318,135,50
disctom,1,1,0.0,1.189416471,2,0
drayage-100-23,1,1,2.3156001862942444,0.320960331,14,0
drayage-25-23,1,1,10.911273925398623,0.821361508,31,1
ds,1,1,3833.719251336991,6.881391984,1,0
dws008-01,1,3,42.331464920530095,63.816661599,906,271
