problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,1.0822510822510822,4.121869932,86,0
30n20b8,1,2,348.6754966887417,7.4748024,298,82
50v-10,1,2,129.59579414172228,0.150699058,13,0
CMS750_4,1,1,51.98412698412698,5.738836769,99,15
a1c1s1,1,1,176.94777737786515,0.424148508,32,2
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,47.66839378238342,0.122768567,36,4
aflow40b,1,1,143.236301369863,0.283808348,32,2
air04,1,1,5.082209594385165,3.364679839,29,0
air05,1,1,2.0095548646394175,0.78553898,5,0
app1-1,1,1,66.66666666666667,0.405630213,31,1
app1-2,1,1,43.90243902439025,7.947212432,38,8
arki001,1,2,2.820761251198024,15.859395867,830,259
assign1-5-8,1,1,4.245283018868903,0.029384164,5,0
atlanta-ip,1,1,13.345123093566432,14.757028407,33,1
b1c1s1,1,1,332.18583651905163,0.652208955,36,5
bab2,1,3,20.08253100119559,779.166628123,740,222
bab6,1,3,20.25829042389858,467.705143193,783,181
beasleyC3,1,1,11.273209549071618,0.194131174,35,5
binkar10_1,1,1,4.02732289448295,0.084242433,20,0
blp-ar98,1,1,77.2266614266937,1.476745368,13,0
blp-ic98,1,1,51.33839572546307,0.228650881,1,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,50.943396226415096,0.124632171,6,0
brazil3,1,2,216.66666666666666,40.291921458,39,0
buildingenergy,1,2,0.7321931774954155,134.12658502,4,0
cap6000,1,1,0.34984418961261365,0.028310018,1,0
cbs-cta,1,1,0.0,2.405527995,40,10
chromaticindex1024-7,1,1,0.0,62.559432017,6,0
chromaticindex512-7,1,1,0.0,64.32201101,9,0
cmflsp50-24-8-8,1,1,14.023360150515536,10.898301608,102,28
co-100,1,1,588.6275053324471,6.828773629,21,0
cod105,1,1,100.0,1.628227658,1,0
comp07-2idx,1,2,2950.0,14.561918524,55,1
comp21-2idx,1,2,478.3783783783784,13.676292357,66,1
cost266-UUE,1,1,37.329153240481645,0.193386313,13,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,41.59544159544159,7.662502398,878,284
csched008,1,3,9.826589595375722,6.335535034,835,311
cvs16r128-89,1,1,97.9381443298969,0.87033432,1,0
dano3_3,1,1,0.010233971803313167,17.032926185,2,0
dano3_5,1,1,0.3169558664130266,19.127579868,2,0
dano3mip,1,1,15.44095552884615,23.729785542,5,0
danoint,1,2,651.4307458143074,3.261517169,170,71
disctom,1,1,0.0,1.188246858,2,0
drayage-100-23,1,1,15.917307815076173,0.318618374,14,0
drayage-25-23,1,1,6.706069814095083,0.205238519,5,0
ds,1,1,3833.719251336991,5.433276912,1,0
dws008-01,1,3,85.66076827569752,123.277705038,1506,518
eil33-2,1,1,74.54690351896336,0.058496856,1,0
eilA101-2,1,1,184.80858186971926,0.908735409,1,0
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,50.745974167893515,0.075451384,27,0
fast0507,1,1,58.04597701149425,0.796757447,1,0
fastxgemm-n2r6s0t2,1,1,650.8695652173913,0.679675412,42,2
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,13.768115942028986,1.868187952,13,0
fiber,1,1,79.50312759277836,0.056667705,15,0
fixnet6,1,1,55.6866683404469,0.092047208,31,1
