problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,1.0822510822510822,0.88880293,17,0
30n20b8,1,3,895.364238410596,23.886759659,926,267
50v-10,1,2,115.62947390220803,0.155752902,13,0
CMS750_4,1,1,63.888888888888886,7.042498887,105,18
a1c1s1,1,1,37.30425080845666,0.447201425,32,2
academictimetablesmall,0,0,0,0,0,0
aflow30a,1,1,65.71675302245251,0.143352927,33,2
aflow40b,1,1,178.68150684931507,0.428364918,38,5
air04,1,1,1.1400680478116036,4.267057323,19,0
air05,1,1,3.238037461135967,1.599613647,15,0
app1-1,1,1,33.333333333333336,0.771182523,45,12
app1-2,1,1,43.90243902439025,20.133204204,91,50
arki001,1,3,2.715697590713858,22.213374398,1250,310
assign1-5-8,1,1,1.8867924528311448,0.092662459,25,0
atlanta-ip,1,1,11.123046821366497,21.255975942,35,2
b1c1s1,1,1,139.31374866639084,0.560259491,34,4
bab2,1,3,11.388561666432354,922.702462082,769,261
bab6,1,3,12.459057779457687,566.412314977,829,125
beasleyC3,1,1,13.52785145888594,0.19319333,35,5
binkar10_1,1,1,3.317613855492543,0.069661789,16,0
blp-ar98,1,1,80.04887486125048,1.770906064,16,0
blp-ic98,1,1,51.33839572546307,0.227871869,1,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,41.509433962264154,1.345435572,63,9
brazil3,1,2,454.1666666666667,24.217356665,32,0
buildingenergy,1,2,0.7138938821640368,754.645977359,11,0
cap6000,1,1,0.34984418961261365,0.036295198,1,0
cbs-cta,1,1,0.0,2.915760041,40,10
chromaticindex1024-7,1,1,0.0,55.357118339,2,0
chromaticindex512-7,1,1,0.0,38.397683046,2,0
cmflsp50-24-8-8,1,3,21.29605014380783,152.418081219,1087,341
co-100,1,1,302.0721212343575,6.666706913,16,0
cod105,1,1,100.0,1.859209017,1,0
comp07-2idx,1,2,3866.6666666666665,7.386718722,30,0
comp21-2idx,1,2,441.8918918918919,6.526727115,36,1
cost266-UUE,1,1,40.43719931556443,0.876466008,31,1
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,2,25.925925925925927,1.945509297,196,15
csched008,1,1,8.670520231213873,0.89481731,94,15
cvs16r128-89,1,1,97.9381443298969,0.866166316,1,0
dano3_3,1,1,0.00897938506240709,15.934490495,18,0
dano3_5,1,1,0.24664840316577383,131.661271049,48,8
dano3mip,1,1,12.37980769230769,182.610552826,74,15
danoint,1,2,651.4307458143074,4.135573378,192,82
disctom,1,1,0.0,1.398882752,2,0
drayage-100-23,1,1,2.3156001862942444,0.427855629,14,0
