problem,numSols,gap,stage3Time
30n20b8,3,100.7,0.5
CMS750_4,3,185.1,0.9
academictimetablesmall,3,inf,4310.5
arki001,3,1.6,0.9
bab2,3,27.0,20.9
bab6,3,35.1,10.1
cmflsp50-24-8-8,3,11.4,3.7
csched007,3,45.1,4.7
dws008-01,3,43.3,7.7
eilA101-2,3,466.4,4.3
glass4,3,515.2,2.2
ic97p,3,11.3,0.1
ic97t,3,8.0,7.2
icir97p,3,18.6,0.2
icir97t,3,7.4,0.6
irish-electricity,3,39.7,12.9
lectsched-5-obj,3,2097.1,5.1
markshare1,3,6.07e+05,0.1
markshare_4_0,3,2.99e+05,0.1
momentum1,3,53.9,17.5
neos-1456979,3,109.7,4.7
neos-1582420,3,41.5,1.8
neos-2746589-doon,3,25.0,39.2
neos-2987310-joes,3,4.9,1.4
neos-3024952-loue,3,211.4,18.5
neos-3216931-puriri,3,78.9,7.3
neos-3381206-awhea,3,2.2,5.9
neos-3555904-turama,3,4.3,102.1
neos-4300652-rahue,3,206.4,15.8
neos-4338804-snowy,3,1087.8,0.1
neos-4387871-tavua,3,132.4,2.7
neos-4532248-waihi,3,788.4,75.7
neos-5049753-cuanza,3,26.3,19.9
neos-5107597-kakapo,3,961.7,5.4
neos-848589,3,1.85e+06,0.1
neos20,3,63.5,2.3
nh97p,3,10.8,0.1
nh97t,3,11.8,5.3
ns1830653,3,461.3,0.7
physiciansched3-3,3,239.5,7.2
physiciansched6-2,3,22.6,2.4
piperout-08,3,5.0,1.4
piperout-27,3,2.3,2.0
proteindesign122trx11p8,3,1.1,1.8
rB12-111111,3,57.3,0.4
rC10-100001,3,1264.5,0.1
radiationm18-12-05,3,311.3,0.5
radiationm40-10-02,3,139.3,1.8
rd-rplusc-21,3,101.9,5.4
rocI-4-11,3,54.9,5.7
rocII-5-11,3,90.6,2.3
satellites2-40,3,256.2,0.1
satellites2-60-fs,3,425.6,0.6
swath,3,52.6,4.1
swath1,3,123.9,0.1
timtab1,3,58.3,2.3
timtab2,3,69.5,1.4
traininstance2,3,23.1,0.7
traininstance6,3,37.5,0.4
unitcal_7,3,38.6,0.9
