problem,numSols,gap,stage3Time
30n20b8,3,100.7,0.5
CMS750_4,3,197.5,1.0
academictimetablesmall,3,inf,2831.8
arki001,3,0.4,1.0
bab2,3,27.0,19.7
bab6,3,35.1,8.8
cmflsp50-24-8-8,3,11.2,7.9
csched007,3,45.1,4.6
dws008-01,3,43.3,7.7
eilA101-2,3,466.4,2.2
glass4,3,185.4,4.1
ic97p,3,11.3,0.1
ic97t,3,8.0,3.7
icir97p,3,18.6,0.2
icir97t,3,6.4,1.4
irish-electricity,3,22.2,18.1
lectsched-5-obj,3,2097.1,5.0
markshare1,3,6.07e+05,0.1
markshare_4_0,3,2.99e+05,0.1
momentum1,3,41.0,24.1
neos-1456979,3,109.7,3.6
neos-1582420,3,20.8,1.7
neos-2746589-doon,3,25.0,38.4
neos-2987310-joes,3,42.1,0.9
neos-3024952-loue,3,211.4,18.4
neos-3216931-puriri,3,61.5,11.1
neos-3381206-awhea,3,2.2,3.9
neos-3555904-turama,3,2.0,142.0
neos-4300652-rahue,3,206.4,13.9
neos-4338804-snowy,3,1087.8,0.1
neos-4387871-tavua,3,132.4,2.7
neos-4532248-waihi,3,788.4,63.9
neos-5049753-cuanza,3,26.3,17.5
neos-5107597-kakapo,3,961.7,4.4
neos-848589,3,1.85e+06,0.1
neos20,3,63.5,2.2
nh97p,3,10.8,0.1
nh97t,3,11.8,5.1
ns1830653,3,179.3,0.5
physiciansched3-3,3,55.6,54.9
physiciansched6-2,3,22.6,2.0
piperout-08,3,5.0,1.3
piperout-27,3,2.3,1.9
proteindesign122trx11p8,3,1.1,0.9
rB12-111111,3,52.7,2.2
rC10-100001,3,1264.5,0.1
radiationm18-12-05,3,219.6,0.5
radiationm40-10-02,3,109.8,3.2
rd-rplusc-21,3,101.9,4.7
rocI-4-11,3,54.9,5.7
rocII-5-11,3,90.6,2.0
satellites2-40,3,256.2,0.1
satellites2-60-fs,3,425.6,0.4
swath,3,52.6,2.3
swath1,3,92.6,0.1
timtab1,3,20.5,2.8
timtab2,3,51.6,1.7
traininstance2,3,23.1,0.6
traininstance6,3,37.5,0.4
unitcal_7,3,40.0,0.3
