problem,numSols,gap,stage3Time
30n20b8,3,115.4,0.5
CMS750_4,3,294.0,0.1
academictimetablesmall,3,inf,652.3
arki001,3,1.2,0.5
bab2,3,27.0,18.8
bab6,3,35.3,5.1
cmflsp50-24-8-8,3,10.3,4.2
csched007,3,36.5,4.9
dws008-01,3,39.3,8.2
eilA101-2,3,466.4,0.1
glass4,3,241.7,0.1
ic97p,3,11.3,0.1
ic97t,3,8.5,2.5
icir97p,3,19.8,0.1
icir97t,3,7.8,1.0
irish-electricity,3,22.0,17.6
lectsched-5-obj,3,2080.5,5.1
markshare1,3,7.28e+05,0.1
markshare_4_0,3,3.08e+05,0.1
momentum1,3,389.1,0.1
neos-1456979,3,96.7,1.7
neos-1582420,3,49.0,1.2
neos-2746589-doon,3,25.2,65.8
neos-2987310-joes,3,100.0,0.1
neos-3024952-loue,3,191.8,22.1
neos-3216931-puriri,3,91.0,42.1
neos-3381206-awhea,3,2.2,1.5
neos-3555904-turama,3,4.3,0.3
neos-4300652-rahue,3,206.4,14.2
neos-4338804-snowy,3,1087.8,0.1
neos-4387871-tavua,3,150.0,1.7
neos-4532248-waihi,3,949.4,26.7
neos-5049753-cuanza,3,28.5,22.6
neos-5107597-kakapo,3,954.8,3.6
neos-848589,3,1.85e+06,0.4
neos20,3,59.1,2.5
nh97p,3,10.7,0.1
nh97t,3,11.0,2.3
ns1830653,3,340.9,1.5
physiciansched3-3,3,17.9,16.1
physiciansched6-2,3,4.7,2.4
piperout-08,3,12.5,1.5
piperout-27,3,13.8,1.8
proteindesign122trx11p8,3,1.1,0.2
rB12-111111,3,64.8,0.3
rC10-100001,3,485.3,0.1
radiationm18-12-05,3,501.3,0.1
radiationm40-10-02,3,1550.2,0.1
rd-rplusc-21,3,101.9,4.1
rocI-4-11,3,38.0,7.6
rocII-5-11,3,91.2,3.4
satellites2-40,3,331.6,0.8
satellites2-60-fs,3,610.5,0.1
swath,3,52.6,0.1
swath1,3,299.8,0.1
timtab1,3,73.6,1.3
timtab2,3,78.8,1.5
traininstance2,3,29.8,1.3
traininstance6,3,31.8,0.4
unitcal_7,3,46.4,0.1
