problem,numSols,gap,stage3Time
30n20b8,3,94.0,0.5
CMS750_4,3,294.0,0.1
academictimetablesmall,3,inf,538.3
arki001,3,1.1,0.3
bab2,3,25.8,21.2
bab6,3,34.3,7.0
cmflsp50-24-8-8,3,10.7,6.1
csched007,3,31.6,5.7
dws008-01,3,37.2,5.3
eilA101-2,3,466.4,0.1
glass4,3,252.7,0.1
ic97p,3,10.7,0.1
ic97t,3,8.6,2.2
icir97p,3,21.1,0.2
icir97t,3,8.3,0.7
irish-electricity,3,21.4,21.2
lectsched-5-obj,3,1630.3,5.4
markshare1,3,7.28e+05,0.1
markshare_4_0,3,3.08e+05,0.1
momentum1,3,389.1,0.1
neos-1456979,3,110.7,3.5
neos-1582420,3,41.2,1.3
neos-2746589-doon,3,24.4,57.9
neos-2987310-joes,3,100.0,0.1
neos-3024952-loue,3,81.2,20.7
neos-3216931-puriri,3,129.7,84.0
neos-3381206-awhea,3,2.2,1.8
neos-3555904-turama,3,4.3,0.3
neos-4300652-rahue,3,206.4,21.9
neos-4338804-snowy,3,1087.8,0.1
neos-4387871-tavua,3,66.5,1.4
neos-4532248-waihi,3,949.4,31.3
neos-5049753-cuanza,3,26.4,16.3
neos-5107597-kakapo,3,954.8,3.7
neos-848589,3,1.85e+06,0.4
neos20,3,51.1,2.2
nh97p,3,9.6,0.8
nh97t,3,11.8,2.2
ns1830653,3,362.0,2.5
physiciansched3-3,3,115.0,28.3
physiciansched6-2,3,6.3,2.5
piperout-08,3,12.3,1.2
piperout-27,3,12.6,1.7
proteindesign122trx11p8,3,1.1,0.2
rB12-111111,3,59.5,0.4
rC10-100001,3,363.3,0.1
radiationm18-12-05,3,501.3,0.1
radiationm40-10-02,3,1550.2,0.1
rd-rplusc-21,3,101.9,4.0
rocI-4-11,3,52.7,10.3
rocII-5-11,3,90.9,3.2
satellites2-40,3,331.6,0.8
satellites2-60-fs,3,610.5,0.1
swath,3,52.6,0.1
swath1,3,299.8,0.1
timtab1,3,56.5,1.3
timtab2,3,67.4,1.4
traininstance2,3,33.9,1.6
traininstance6,3,33.4,0.4
unitcal_7,3,46.4,0.1
