problem,numSols,gap,stage3Time
30n20b8,3,100.7,0.5
CMS750_4,3,294.0,0.1
academictimetablesmall,3,inf,640.4
arki001,3,1.4,0.8
bab2,3,27.0,18.5
bab6,3,35.1,7.8
cmflsp50-24-8-8,3,10.7,6.0
csched007,3,45.1,4.6
dws008-01,3,43.3,7.6
eilA101-2,3,466.4,0.1
glass4,3,241.7,0.1
ic97p,3,11.3,0.1
ic97t,3,8.0,1.9
icir97p,3,18.6,0.2
icir97t,3,7.3,1.2
irish-electricity,3,29.3,25.8
lectsched-5-obj,3,2097.1,4.8
markshare1,3,7.28e+05,0.1
markshare_4_0,3,3.08e+05,0.1
momentum1,3,389.1,0.1
neos-1456979,3,104.5,1.3
neos-1582420,3,49.0,1.2
neos-2746589-doon,3,25.0,37.6
neos-2987310-joes,3,100.0,0.1
neos-3024952-loue,3,211.4,18.3
neos-3216931-puriri,3,80.8,28.7
neos-3381206-awhea,3,2.2,1.7
neos-3555904-turama,3,4.3,0.3
neos-4300652-rahue,3,206.4,12.1
neos-4338804-snowy,3,1087.8,0.1
neos-4387871-tavua,3,132.4,2.7
neos-4532248-waihi,3,788.4,39.9
neos-5049753-cuanza,3,26.3,14.5
neos-5107597-kakapo,3,961.7,4.0
neos-848589,3,1.85e+06,0.4
neos20,3,63.5,2.2
nh97p,3,10.8,0.1
nh97t,3,11.8,2.6
ns1830653,3,303.2,0.7
physiciansched3-3,3,64.1,19.8
physiciansched6-2,3,5.9,2.2
piperout-08,3,5.0,1.3
piperout-27,3,2.3,1.8
proteindesign122trx11p8,3,1.1,0.2
rB12-111111,3,65.0,0.4
rC10-100001,3,486.6,0.1
radiationm18-12-05,3,501.3,0.1
radiationm40-10-02,3,10.9,0.1
rd-rplusc-21,3,101.9,4.0
rocI-4-11,3,54.9,5.6
rocII-5-11,3,90.6,1.8
satellites2-40,3,331.6,0.8
satellites2-60-fs,3,610.5,0.1
swath,3,52.6,0.1
swath1,3,299.8,0.1
timtab1,3,74.2,1.6
timtab2,3,66.5,1.5
traininstance2,3,23.1,0.6
traininstance6,3,37.5,0.3
unitcal_7,3,46.4,0.1
