problem,numSols,gap,stage3Time
10teams,3,3.9,20.7
30n20b8,3,218.5,1.7
arki001,3,2.4,2.0
bab2,3,10.2,98.8
bab6,3,13.4,115.9
comp21-2idx,3,1893.3,3.3
csched007,3,57.9,20.0
csched008,3,9.8,4.7
danoint,3,197.9,1.2
eilA101-2,3,466.4,21.8
fastxgemm-n2r6s0t2,3,2714.2,0.1
fiball,3,9.6,0.2
hypothyroid-k1,3,95.2,7.8
ic97p,3,11.2,0.1
ic97t,3,10.0,1.8
icir97p,3,13.2,13.3
icir97t,3,6.5,0.6
lectsched-5-obj,3,1439.9,259.8
milo-v12-6-r2-40-1,3,105.7,0.3
momentum1,3,42.6,12.8
mushroom-best,3,2.88e+05,0.2
neos-1456979,3,151.2,89.6
neos-1582420,3,38.6,0.7
neos-2657525-crna,3,966.0,6.1
neos-2746589-doon,3,1052.0,602.7
neos-3046615-murg,3,58.9,0.1
neos-3216931-puriri,3,53.6,988.1
neos-3381206-awhea,3,4.9,6.0
neos-3656078-kumeu,2,725.4,948.1
neos-4338804-snowy,3,1455.3,0.1
neos-4387871-tavua,3,71.9,6.6
neos-4532248-waihi,3,949.4,261.4
neos-4722843-widden,3,43.5,1.7
neos-5107597-kakapo,3,46596.4,1.9
neos-848589,3,1.85e+06,4.1
neos16,3,1.1,7.6
neos20,3,38.2,0.7
nh97p,3,8.7,8.6
nh97t,3,8.2,3.5
ns1208400,3,0.0,254.7
ns1830653,3,435.5,5.8
physiciansched3-3,2,1042.3,705.1
physiciansched6-2,3,67.5,27.8
piperout-08,3,56.1,10.0
piperout-27,3,25.8,56.4
proteindesign121hz512p9,3,4.4,71.8
proteindesign122trx11p8,3,1.8,42.6
rB12-111111,3,68.9,0.2
rC10-100001,3,409.8,0.1
radiationm18-12-05,3,166.6,0.1
radiationm40-10-02,3,245.8,1.4
rd-rplusc-21,3,101.5,10.3
reblock115,3,10.7,1.8
rocI-4-11,3,69.1,22.6
rocII-5-11,3,98.9,31.6
roll3000,3,46.8,0.3
supportcase42,3,3.89e+14,0.2
swath,3,62.5,4.4
swath1,3,179.3,0.4
swath3,3,155.5,0.4
timtab1,3,60.4,0.1
timtab2,3,57.0,1.9
traininstance2,3,29.6,6.5
traininstance6,3,464.1,0.7
unitcal_7,3,13.5,32.7
