problem,numSols,gap,stage3Time
10teams,3,2.5,78.6
30n20b8,3,193.7,1.7
arki001,3,0.5,2.7
bab2,3,10.2,97.5
bab6,3,13.4,115.0
comp21-2idx,3,1893.3,3.2
csched007,3,48.6,19.3
csched008,3,7.7,5.2
danoint,3,8.6,6.8
eilA101-2,3,466.4,19.8
fastxgemm-n2r6s0t2,3,370.2,0.1
fiball,3,9.6,0.1
hypothyroid-k1,3,86.1,7.8
ic97p,3,5.9,0.1
ic97t,3,10.0,1.8
icir97p,3,13.2,13.2
icir97t,3,0.9,5.0
lectsched-5-obj,3,1439.9,259.8
milo-v12-6-r2-40-1,3,181.9,0.3
momentum1,3,15.5,63.1
mushroom-best,3,2.88e+05,0.2
neos-1456979,3,151.2,83.9
neos-1582420,3,10.5,3.2
neos-2657525-crna,3,966.0,5.6
neos-2746589-doon,3,1052.0,602.5
neos-3046615-murg,3,58.9,0.1
neos-3216931-puriri,3,53.6,985.5
neos-3381206-awhea,3,4.9,5.9
neos-3656078-kumeu,2,725.4,948.0
neos-4338804-snowy,3,1455.3,0.1
neos-4387871-tavua,3,71.9,6.6
neos-4532248-waihi,3,949.4,253.1
neos-4722843-widden,3,36.1,1.6
neos-5107597-kakapo,3,46596.4,1.2
neos-848589,3,4.34e+05,68.3
neos16,3,1.1,6.0
neos20,3,38.2,0.7
nh97p,3,8.7,8.6
nh97t,3,8.2,3.4
ns1208400,3,0.0,360.2
ns1830653,3,190.2,11.0
physiciansched3-3,2,1042.3,693.0
physiciansched6-2,3,67.5,27.2
piperout-08,3,56.1,10.0
piperout-27,3,25.8,56.4
proteindesign121hz512p9,3,4.4,71.4
proteindesign122trx11p8,3,1.8,42.3
rB12-111111,3,81.0,1.2
rC10-100001,3,279.4,0.1
radiationm18-12-05,3,171.7,0.1
radiationm40-10-02,3,239.2,1.3
rd-rplusc-21,3,101.5,10.0
reblock115,3,9.9,38.6
rocI-4-11,3,69.1,20.1
rocII-5-11,3,98.9,29.3
roll3000,3,17.9,1.0
supportcase42,3,3.89e+14,0.2
swath,3,45.5,3.9
swath1,3,28.1,0.3
swath3,3,13.2,0.5
timtab1,3,23.6,1.2
timtab2,3,48.2,13.4
traininstance2,3,29.6,6.5
traininstance6,3,464.1,0.7
unitcal_7,3,13.5,32.5
