problem,numSols,gap,stage3Time
10teams,3,7.0,13.8
30n20b8,3,197.1,2.7
arki001,3,2.1,4.0
bab2,3,9.7,92.3
bab6,3,13.4,107.2
comp21-2idx,3,15776.6,3.4
csched007,3,82.6,45.2
csched008,3,9.8,4.9
danoint,3,197.9,1.2
eilA101-2,3,466.4,17.4
fastxgemm-n2r6s0t2,3,2714.2,0.1
fiball,3,10.5,1.4
hypothyroid-k1,3,99.6,20.1
ic97p,3,14.9,0.1
ic97t,3,10.6,1.8
icir97p,3,13.0,11.2
icir97t,3,5.7,0.6
lectsched-5-obj,3,1421.4,192.9
milo-v12-6-r2-40-1,3,116.1,0.4
momentum1,3,323.3,1.5
mushroom-best,3,1.47e+07,0.3
neos-1456979,3,117.2,31.1
neos-1582420,3,42.9,1.4
neos-2657525-crna,3,880.4,8.9
neos-2746589-doon,3,1013.8,389.3
neos-3046615-murg,3,58.9,0.1
neos-3216931-puriri,3,56.3,1236.1
neos-3381206-awhea,3,4.9,6.7
neos-3656078-kumeu,2,734.8,1250.6
neos-4338804-snowy,3,1016.4,0.1
neos-4387871-tavua,3,214.5,3.9
neos-4532248-waihi,3,949.4,243.0
neos-4722843-widden,3,61.1,5.2
neos-5107597-kakapo,3,38602.9,0.6
neos-848589,3,1.85e+06,61.5
neos16,3,0.7,16.0
neos20,3,38.2,0.7
nh97p,3,7.0,10.2
nh97t,3,8.7,5.6
ns1208400,3,0.0,203.9
ns1830653,3,469.3,3.9
physiciansched3-3,3,1042.4,180.8
physiciansched6-2,3,68.4,36.2
piperout-08,3,95.9,11.9
piperout-27,3,29.1,57.3
proteindesign121hz512p9,3,3.9,39.5
proteindesign122trx11p8,3,1.8,41.8
rB12-111111,3,74.4,1.5
rC10-100001,3,1255.7,0.3
radiationm18-12-05,3,413.5,0.4
radiationm40-10-02,3,332.9,1.7
rd-rplusc-21,3,101.5,13.9
reblock115,3,100.0,0.7
rocI-4-11,3,41.8,16.3
rocII-5-11,3,98.9,24.9
roll3000,3,48.7,0.4
supportcase42,3,3.89e+14,0.4
swath,3,55.7,0.2
swath1,3,192.1,1.6
swath3,3,166.0,1.7
timtab1,3,59.3,0.1
timtab2,3,60.2,2.9
traininstance2,3,21.9,30.7
traininstance6,3,584.0,0.7
unitcal_7,3,13.7,50.5
