problem,numSols,gap,stage3Time
10teams,3,3.2,7.7
30n20b8,3,133.1,2.8
arki001,3,2.1,6.5
bab2,3,9.7,93.1
bab6,3,12.4,92.7
comp21-2idx,3,18379.4,3.0
csched007,3,64.8,38.3
csched008,3,9.8,6.8
danoint,3,197.9,0.3
eilA101-2,3,466.4,17.5
fastxgemm-n2r6s0t2,3,2714.2,0.1
fiball,3,9.1,2.7
hypothyroid-k1,3,97.2,19.9
ic97p,3,15.0,0.1
ic97t,3,9.6,2.5
icir97p,3,13.3,6.7
icir97t,3,5.4,0.9
lectsched-5-obj,3,770.4,359.0
milo-v12-6-r2-40-1,3,131.3,0.5
momentum1,3,323.3,1.5
mushroom-best,3,1.47e+07,0.3
neos-1456979,3,125.4,40.1
neos-1582420,3,31.9,1.3
neos-2657525-crna,3,461.4,5.9
neos-2746589-doon,3,1061.7,523.1
neos-3046615-murg,3,58.9,0.1
neos-3216931-puriri,3,54.6,1701.9
neos-3381206-awhea,3,4.9,0.9
neos-3656078-kumeu,2,753.0,1126.4
neos-4338804-snowy,3,11406.3,0.2
neos-4387871-tavua,3,176.0,11.5
neos-4532248-waihi,3,949.4,175.8
neos-4722843-widden,3,42.4,5.1
neos-5107597-kakapo,3,36797.7,0.5
neos-848589,3,1.85e+06,62.2
neos16,3,1.6,15.1
neos20,3,50.8,3.7
nh97p,3,10.3,16.4
nh97t,3,9.1,2.9
ns1208400,3,0.0,143.6
ns1830653,3,400.4,4.9
physiciansched3-3,3,1042.4,277.2
physiciansched6-2,3,62.0,33.2
piperout-08,3,140.6,11.2
piperout-27,3,25.0,63.3
proteindesign121hz512p9,3,7.5,66.0
proteindesign122trx11p8,3,1.8,42.0
rB12-111111,3,71.8,1.8
rC10-100001,3,1258.2,0.4
radiationm18-12-05,3,401.3,0.4
radiationm40-10-02,3,320.9,1.7
rd-rplusc-21,3,102.6,22.0
reblock115,3,100.0,0.7
rocI-4-11,3,56.7,18.9
rocII-5-11,3,98.9,26.7
roll3000,3,43.7,1.7
supportcase42,3,3.89e+14,0.4
swath,3,55.7,0.2
swath1,3,252.7,1.5
swath3,3,226.8,1.8
timtab1,3,58.2,0.7
timtab2,3,51.3,3.5
traininstance2,3,21.9,30.7
traininstance6,3,583.8,0.7
unitcal_7,3,12.3,70.3
