problem,numSols,gap,stage3Time
10teams,3,6.6,9.5
30n20b8,3,218.5,2.4
arki001,3,2.4,2.7
bab2,3,10.2,96.3
bab6,3,13.4,114.1
comp21-2idx,3,1893.3,3.1
csched007,3,65.2,9.3
csched008,3,9.8,9.2
danoint,3,197.9,1.2
eilA101-2,3,466.4,17.7
fastxgemm-n2r6s0t2,3,2714.2,0.1
fiball,3,10.5,1.1
hypothyroid-k1,3,99.6,20.0
ic97p,3,14.9,0.1
ic97t,3,10.0,1.8
icir97p,3,13.2,13.2
icir97t,3,5.8,0.5
lectsched-5-obj,3,1439.9,259.7
milo-v12-6-r2-40-1,3,134.9,0.5
momentum1,3,323.3,1.5
mushroom-best,3,1.47e+07,0.3
neos-1456979,3,151.2,80.6
neos-1582420,3,43.7,0.9
neos-2657525-crna,3,966.0,5.3
neos-2746589-doon,3,1052.0,602.2
neos-3046615-murg,3,58.9,0.1
neos-3216931-puriri,3,53.6,983.1
neos-3381206-awhea,3,4.9,5.8
neos-3656078-kumeu,2,725.4,947.9
neos-4338804-snowy,3,1455.3,0.1
neos-4387871-tavua,3,71.9,6.5
neos-4532248-waihi,3,949.4,239.8
neos-4722843-widden,3,61.1,5.2
neos-5107597-kakapo,3,46596.4,0.4
neos-848589,3,1.85e+06,61.6
neos16,3,1.1,5.4
neos20,3,38.2,0.7
nh97p,3,8.7,8.6
nh97t,3,8.2,3.4
ns1208400,3,0.0,277.9
ns1830653,3,444.3,6.5
physiciansched3-3,2,1042.3,635.4
physiciansched6-2,3,67.5,26.7
piperout-08,3,56.1,9.9
piperout-27,3,25.8,56.3
proteindesign121hz512p9,3,4.4,71.0
proteindesign122trx11p8,3,1.8,42.0
rB12-111111,3,76.0,1.4
rC10-100001,3,1256.5,0.3
radiationm18-12-05,3,413.5,0.4
radiationm40-10-02,3,333.6,1.7
rd-rplusc-21,3,101.5,9.6
reblock115,3,100.0,0.7
rocI-4-11,3,69.1,18.6
rocII-5-11,3,98.9,27.8
roll3000,3,47.0,0.6
supportcase42,3,3.89e+14,0.3
swath,3,55.7,0.2
swath1,3,207.1,1.5
swath3,3,167.7,1.6
timtab1,3,57.0,0.1
timtab2,3,60.2,4.5
traininstance2,3,29.6,6.4
traininstance6,3,464.1,0.7
unitcal_7,3,13.5,32.3
