problem,numSols,gap,stage3Time
30n20b8,3,249.0,0.1
academictimetablesmall,3,inf,1018.0
arki001,3,2.2,1.1
bab2,3,11.7,11.6
cmflsp50-24-8-8,3,13.6,5.7
csched007,3,32.0,1.2
csched008,3,9.8,0.1
dws008-01,3,36.9,8.7
germanrr,3,5.1,0.2
ic97p,3,9.9,0.1
ic97t,3,10.7,1.2
icir97p,3,17.3,0.1
icir97t,3,9.5,0.9
lectsched-5-obj,3,1337.8,25.1
momentum1,3,49.2,27.0
mushroom-best,3,21005.2,0.3
neos-1456979,3,113.4,0.6
neos-1582420,3,47.2,0.5
neos-2746589-doon,3,7.7,0.9
neos-3024952-loue,3,208.4,402.0
neos-3216931-puriri,3,134.4,17.1
neos-3381206-awhea,3,3.5,0.1
neos-3656078-kumeu,3,28.5,10.3
neos-4300652-rahue,3,162.5,44.6
neos-4338804-snowy,3,37839.7,0.3
neos-4387871-tavua,3,48.1,2.5
neos-4532248-waihi,3,949.4,0.8
neos-4722843-widden,3,51.8,0.3
neos-5049753-cuanza,3,48.4,20.3
neos-5104907-jarama,3,141.4,11.7
neos-5107597-kakapo,3,23587.3,26.0
neos-5114902-kasavu,3,50.4,58.2
neos-848589,3,7.66e+05,0.6
neos-960392,3,2.4,0.4
neos16,3,0.6,1.9
neos20,3,59.0,0.8
nh97p,3,10.9,1.2
nh97t,3,10.0,2.5
ns1830653,3,527.5,1.4
physiciansched3-3,3,370.9,1.4
physiciansched6-2,3,2.2,0.2
piperout-08,3,44.8,1.2
piperout-27,3,37.1,0.9
proteindesign121hz512p9,3,10.3,0.7
rB12-111111,3,64.0,0.1
rC10-100001,3,504.6,0.1
rC12-100000,3,233.1,0.1
radiationm18-12-05,3,135.0,0.1
radiationm40-10-02,3,106.3,0.1
rd-rplusc-21,3,58.4,0.2
rocI-4-11,3,54.8,7.4
rocII-5-11,3,90.6,6.8
satellites2-60-fs,3,124.8,0.3
supportcase26,3,4595.9,0.1
supportcase33,3,67.7,0.1
swath,3,164.2,4.8
swath1,3,241.8,0.1
timtab1,3,46.0,0.1
timtab2,3,50.6,1.9
traininstance2,3,19.4,0.1
traininstance6,3,182.1,0.1
unitcal_7,3,7.7,1.6
