problem,numSols,gap,stage3Time
30n20b8,3,249.0,0.1
academictimetablesmall,3,inf,693.7
arki001,3,0.8,1.0
bab2,3,11.7,11.6
cmflsp50-24-8-8,3,3.5,36.5
csched007,3,32.0,1.1
csched008,3,8.3,0.2
dws008-01,3,36.9,8.7
germanrr,3,3.7,0.2
ic97p,3,5.3,0.1
ic97t,3,10.7,1.0
icir97p,3,9.4,0.1
icir97t,3,0.7,2.5
lectsched-5-obj,3,1337.8,25.1
momentum1,3,21.5,27.6
mushroom-best,3,0.0,0.4
neos-1456979,3,95.5,0.7
neos-1582420,3,14.0,0.6
neos-2746589-doon,3,5.8,0.9
neos-3024952-loue,3,208.4,402.0
neos-3216931-puriri,3,67.0,26.2
neos-3381206-awhea,3,1.9,0.1
neos-3656078-kumeu,3,28.5,10.2
neos-4300652-rahue,3,162.5,44.1
neos-4338804-snowy,3,1931.4,0.3
neos-4387871-tavua,3,48.1,2.5
neos-4532248-waihi,3,655.5,7.1
neos-4722843-widden,3,21.0,0.2
neos-5049753-cuanza,3,48.4,20.1
neos-5104907-jarama,3,6.8,15.4
neos-5107597-kakapo,3,10653.4,23.9
neos-5114902-kasavu,3,50.4,57.5
neos-848589,3,3.82e+05,0.7
neos-960392,3,3.6,1.1
neos16,3,0.6,1.8
neos20,3,59.0,0.8
nh97p,3,8.8,1.1
nh97t,3,10.0,2.5
ns1830653,3,249.4,2.5
physiciansched3-3,3,30.5,14.2
physiciansched6-2,3,0.7,0.3
piperout-08,3,44.8,1.2
piperout-27,3,37.1,0.9
proteindesign121hz512p9,3,10.3,0.7
rB12-111111,3,34.5,0.1
rC10-100001,3,215.7,0.1
rC12-100000,3,147.7,0.1
radiationm18-12-05,3,84.6,0.1
radiationm40-10-02,3,81.2,0.2
rd-rplusc-21,3,58.4,0.2
rocI-4-11,3,54.8,7.4
rocII-5-11,3,90.6,6.7
satellites2-60-fs,3,119.0,0.3
supportcase26,3,35.4,0.1
supportcase33,3,80.7,0.1
swath,3,164.2,4.3
swath1,3,12.8,0.1
timtab1,3,37.8,0.5
timtab2,3,26.9,4.1
traininstance2,3,19.4,0.1
traininstance6,3,182.1,0.1
unitcal_7,3,4.2,1.6
