problem,numSols,gap,stage3Time
30n20b8,3,249.0,0.1
academictimetablesmall,3,inf,177.3
arki001,3,2.0,1.7
bab2,3,12.6,9.1
cmflsp50-24-8-8,3,13.5,11.0
csched007,3,34.4,0.7
csched008,3,9.8,0.3
dws008-01,3,21.3,9.4
germanrr,3,5.4,0.3
ic97p,3,12.4,0.1
ic97t,3,11.6,0.6
icir97p,3,17.2,1.5
icir97t,3,8.6,1.7
lectsched-5-obj,3,1425.2,20.8
momentum1,3,106.2,25.0
mushroom-best,3,93553.2,0.6
neos-1456979,3,99.1,0.8
neos-1582420,3,68.8,0.1
neos-2746589-doon,3,5.7,2.1
neos-3024952-loue,3,196.8,687.0
neos-3216931-puriri,3,134.8,38.5
neos-3381206-awhea,3,4.9,0.1
neos-3656078-kumeu,3,27.1,10.2
neos-4300652-rahue,3,235.0,47.4
neos-4338804-snowy,3,18182.4,0.3
neos-4387871-tavua,3,240.8,2.3
neos-4532248-waihi,3,949.4,4.5
neos-4722843-widden,3,333.3,5.5
neos-5049753-cuanza,3,39.2,20.3
neos-5104907-jarama,2,68.2,373.9
neos-5107597-kakapo,3,34038.5,28.4
neos-5114902-kasavu,3,49.7,42.4
neos-848589,3,1.25e+06,3.2
neos-960392,3,27.5,0.8
neos16,3,1.9,2.1
neos20,3,50.2,0.3
nh97p,3,10.1,1.0
nh97t,3,8.9,3.0
ns1830653,3,527.2,2.3
physiciansched3-3,3,906.7,8.4
physiciansched6-2,3,1.9,0.4
piperout-08,3,81.8,1.6
piperout-27,3,92.1,1.2
proteindesign121hz512p9,3,18.1,0.7
rB12-111111,3,64.2,0.8
rC10-100001,3,383.5,0.1
rC12-100000,3,215.5,0.2
radiationm18-12-05,3,136.8,0.1
radiationm40-10-02,3,107.1,0.2
rd-rplusc-21,3,58.5,0.4
rocI-4-11,3,70.0,7.7
rocII-5-11,3,91.1,5.0
satellites2-60-fs,3,352.6,2.4
supportcase26,3,713.2,0.1
supportcase33,3,84.1,0.1
swath,3,171.7,3.4
swath1,3,123.6,0.5
timtab1,3,54.6,0.3
timtab2,3,58.4,2.0
traininstance2,3,153.3,0.1
traininstance6,3,451.7,0.1
unitcal_7,3,9.2,5.9
