problem,numSols,gap,stage3Time
30n20b8,3,249.0,0.1
academictimetablesmall,3,inf,179.2
arki001,3,2.0,1.1
bab2,3,15.5,8.8
cmflsp50-24-8-8,3,12.7,11.6
csched007,3,34.1,1.2
csched008,3,9.8,0.4
dws008-01,3,40.3,4.5
germanrr,3,5.5,0.3
ic97p,3,13.5,0.1
ic97t,3,10.9,0.6
icir97p,3,20.6,1.5
icir97t,3,9.0,1.7
lectsched-5-obj,3,1448.6,24.6
momentum1,3,75.1,10.9
mushroom-best,3,58773.4,0.6
neos-1456979,3,106.6,1.6
neos-1582420,3,69.1,0.1
neos-2746589-doon,3,7.0,2.2
neos-3024952-loue,3,197.6,402.0
neos-3216931-puriri,3,99.2,73.8
neos-3381206-awhea,3,4.9,0.1
neos-3656078-kumeu,3,24.1,6.0
neos-4300652-rahue,3,194.0,38.8
neos-4338804-snowy,3,76618.3,0.3
neos-4387871-tavua,3,248.0,1.9
neos-4532248-waihi,3,949.4,4.6
neos-4722843-widden,3,336.3,5.4
neos-5049753-cuanza,3,50.9,22.1
neos-5104907-jarama,2,121.2,341.5
neos-5107597-kakapo,3,40506.5,28.8
neos-5114902-kasavu,3,49.3,38.0
neos-848589,3,1.34e+06,3.2
neos-960392,3,27.5,0.7
neos16,3,1.4,2.5
neos20,3,47.2,0.4
nh97p,3,9.5,1.1
nh97t,3,10.1,3.0
ns1830653,3,525.6,0.8
physiciansched3-3,3,908.7,11.2
physiciansched6-2,3,2.1,0.3
piperout-08,3,29.2,0.8
piperout-27,3,52.4,0.7
proteindesign121hz512p9,3,18.1,0.7
rB12-111111,3,64.7,0.7
rC10-100001,3,371.9,0.1
rC12-100000,3,215.5,0.2
radiationm18-12-05,3,136.8,0.1
radiationm40-10-02,3,106.4,0.2
rd-rplusc-21,3,57.2,1.2
rocI-4-11,3,60.4,9.3
rocII-5-11,3,91.1,7.5
satellites2-60-fs,3,352.6,2.4
supportcase26,3,2451.6,0.1
supportcase33,3,84.1,0.1
swath,3,209.5,3.4
swath1,3,167.6,0.5
timtab1,3,69.2,0.4
timtab2,3,62.9,2.0
traininstance2,3,163.2,0.1
traininstance6,3,451.7,0.1
unitcal_7,3,8.7,4.7
