problem,numSols,gap,stage3Time
30n20b8,3,170.9,0.1
academictimetablesmall,3,inf,184.4
arki001,3,2.6,1.5
bab2,3,11.0,27.6
cmflsp50-24-8-8,3,14.6,18.9
csched007,3,35.6,2.5
csched008,3,9.8,0.2
dws008-01,3,31.8,5.7
germanrr,3,5.1,0.6
ic97p,3,13.4,0.1
ic97t,3,11.7,0.8
icir97p,3,19.0,1.5
icir97t,3,9.4,2.0
lectsched-5-obj,3,871.8,45.9
momentum1,3,121.7,4.0
mushroom-best,3,2.19e+05,0.7
neos-1456979,3,99.6,1.0
neos-1582420,3,90.0,0.1
neos-2746589-doon,3,6.0,2.1
neos-3024952-loue,2,103.0,73.5
neos-3216931-puriri,3,128.8,57.8
neos-3381206-awhea,3,4.9,0.1
neos-3656078-kumeu,3,24.5,10.5
neos-4300652-rahue,3,182.0,41.8
neos-4338804-snowy,3,65762.9,0.1
neos-4387871-tavua,3,114.2,6.3
neos-4532248-waihi,3,949.4,4.6
neos-4722843-widden,3,166.8,5.5
neos-5049753-cuanza,3,45.6,19.7
neos-5104907-jarama,2,71.9,406.0
neos-5107597-kakapo,3,32399.6,28.6
neos-5114902-kasavu,3,35.6,84.6
neos-848589,3,8.43e+05,3.1
neos-960392,3,35.5,0.8
neos16,3,1.3,2.6
neos20,3,60.2,2.2
nh97p,3,10.7,1.4
nh97t,3,11.6,4.1
ns1830653,3,523.7,3.4
physiciansched3-3,3,907.2,9.7
physiciansched6-2,3,2.4,0.3
piperout-08,3,18.0,0.6
piperout-27,3,109.1,1.2
proteindesign121hz512p9,3,5.9,0.7
rB12-111111,3,57.3,0.8
rC10-100001,3,253.3,0.1
rC12-100000,3,157.1,0.2
radiationm18-12-05,3,140.8,0.1
radiationm40-10-02,3,95.1,0.2
rd-rplusc-21,3,56.7,4.8
rocI-4-11,3,76.1,5.2
rocII-5-11,3,93.1,5.8
satellites2-60-fs,3,352.6,2.7
supportcase26,3,4548.0,0.1
supportcase33,3,84.1,0.1
swath,3,201.7,3.9
swath1,3,141.8,0.6
timtab1,3,73.2,0.3
timtab2,3,65.8,2.9
traininstance2,3,153.3,0.1
traininstance6,3,343.4,0.1
unitcal_7,3,8.8,7.1
