problem,numSols,gap,stage3Time
30n20b8,3,182.6,0.1
academictimetablesmall,3,inf,299.4
arki001,3,2.3,1.2
bab2,3,12.1,19.2
cmflsp50-24-8-8,3,14.6,13.0
csched007,3,31.0,1.6
csched008,3,9.8,0.3
dws008-01,3,38.1,6.7
germanrr,3,4.2,0.7
ic97p,3,14.0,0.1
ic97t,3,10.4,0.8
icir97p,3,19.4,2.5
icir97t,3,9.2,1.7
lectsched-5-obj,3,973.1,35.0
momentum1,3,208.4,92.6
mushroom-best,3,52704.2,0.6
neos-1456979,3,100.1,1.1
neos-1582420,3,58.4,0.1
neos-2746589-doon,3,7.5,2.0
neos-3024952-loue,2,102.5,167.3
neos-3216931-puriri,3,128.8,48.7
neos-3381206-awhea,3,4.9,0.1
neos-3656078-kumeu,3,22.0,13.1
neos-4300652-rahue,3,185.1,39.3
neos-4338804-snowy,3,79152.9,0.1
neos-4387871-tavua,3,84.7,5.9
neos-4532248-waihi,3,949.4,4.4
neos-4722843-widden,3,167.9,5.5
neos-5049753-cuanza,3,49.6,19.8
neos-5104907-jarama,3,131.7,107.3
neos-5107597-kakapo,3,38157.8,28.1
neos-5114902-kasavu,3,28.5,60.0
neos-848589,3,8.45e+05,3.1
neos-960392,3,100.0,0.8
neos16,3,0.6,2.4
neos20,3,33.6,0.9
nh97p,3,9.6,1.5
nh97t,3,11.9,3.8
ns1830653,3,525.6,2.2
physiciansched3-3,3,906.0,12.9
physiciansched6-2,3,2.6,0.4
piperout-08,3,21.6,0.6
piperout-27,3,118.5,1.1
proteindesign121hz512p9,3,5.9,0.7
rB12-111111,3,56.0,0.8
rC10-100001,3,270.9,0.1
rC12-100000,3,157.4,0.2
radiationm18-12-05,3,131.8,0.1
radiationm40-10-02,3,112.9,0.3
rd-rplusc-21,3,57.0,2.3
rocI-4-11,3,69.1,4.8
rocII-5-11,3,93.0,11.0
satellites2-60-fs,3,352.6,2.5
supportcase26,3,6414.4,0.1
supportcase33,3,84.1,0.1
swath,3,177.1,4.0
swath1,3,129.2,0.6
timtab1,3,63.7,0.4
timtab2,3,58.4,2.8
traininstance2,3,163.2,0.1
traininstance6,3,343.4,0.1
unitcal_7,3,9.4,8.1
