problem,numSols,gap,stage3Time
30n20b8,3,234.2,0.1
academictimetablesmall,3,inf,363.0
arki001,3,2.2,2.4
bab2,3,11.0,15.1
cmflsp50-24-8-8,3,14.8,22.7
csched007,3,28.3,1.8
csched008,3,9.8,0.3
dws008-01,3,19.0,6.9
germanrr,3,4.4,0.7
ic97p,3,12.6,0.1
ic97t,3,11.3,0.7
icir97p,3,18.4,1.5
icir97t,3,9.2,1.4
lectsched-5-obj,3,1034.4,39.5
momentum1,3,121.7,4.0
mushroom-best,3,1.15e+05,0.6
neos-1456979,3,105.5,1.1
neos-1582420,3,74.2,0.1
neos-2746589-doon,3,6.5,1.7
neos-3024952-loue,2,82.4,166.0
neos-3216931-puriri,3,134.6,95.6
neos-3381206-awhea,3,4.9,0.2
neos-3656078-kumeu,3,21.9,7.1
neos-4300652-rahue,3,186.5,44.7
neos-4338804-snowy,3,8421.4,0.2
neos-4387871-tavua,3,114.2,6.3
neos-4532248-waihi,3,949.4,4.3
neos-4722843-widden,3,62.4,5.5
neos-5049753-cuanza,3,38.0,19.4
neos-5104907-jarama,3,179.7,102.2
neos-5107597-kakapo,3,10210.1,21.0
neos-5114902-kasavu,3,30.8,41.6
neos-848589,3,1.03e+06,3.1
neos-960392,3,35.5,0.8
neos16,3,1.3,2.4
neos20,3,49.8,0.6
nh97p,3,11.1,1.4
nh97t,3,11.7,3.2
ns1830653,3,528.8,2.5
physiciansched3-3,3,906.3,9.0
physiciansched6-2,3,2.7,0.4
piperout-08,3,42.0,1.0
piperout-27,3,112.2,0.8
proteindesign121hz512p9,3,5.3,0.7
rB12-111111,3,59.0,0.8
rC10-100001,3,267.0,0.1
rC12-100000,3,156.9,0.2
radiationm18-12-05,3,126.8,0.1
radiationm40-10-02,3,94.3,0.2
rd-rplusc-21,3,57.8,1.0
rocI-4-11,3,47.8,8.8
rocII-5-11,3,92.7,11.7
satellites2-60-fs,3,352.6,2.5
supportcase26,3,7910.8,0.1
supportcase33,3,84.1,0.1
swath,3,180.4,3.6
swath1,3,141.8,0.6
timtab1,3,79.5,0.3
timtab2,3,64.4,2.8
traininstance2,3,37.5,0.1
traininstance6,3,305.7,0.1
unitcal_7,3,8.9,4.1
