problem,numSols,gap,stage3Time
30n20b8,3,249.0,0.1
academictimetablesmall,3,inf,228.1
arki001,3,2.2,0.7
bab2,3,11.7,11.6
cmflsp50-24-8-8,3,12.2,5.9
csched007,3,32.0,1.1
csched008,3,9.8,0.4
dws008-01,3,36.9,8.6
germanrr,3,5.4,0.3
ic97p,3,12.4,0.1
ic97t,3,10.7,0.8
icir97p,3,17.9,1.2
icir97t,3,9.0,1.8
lectsched-5-obj,3,1337.8,25.1
momentum1,3,153.4,64.1
mushroom-best,3,2.37e+05,0.6
neos-1456979,3,105.2,1.4
neos-1582420,3,102.4,0.1
neos-2746589-doon,3,7.4,1.6
neos-3024952-loue,3,208.4,402.0
neos-3216931-puriri,3,127.8,46.6
neos-3381206-awhea,3,4.9,0.1
neos-3656078-kumeu,3,28.5,10.2
neos-4300652-rahue,3,162.5,43.6
neos-4338804-snowy,3,18182.4,0.3
neos-4387871-tavua,3,48.1,2.5
neos-4532248-waihi,3,949.4,4.7
neos-4722843-widden,3,326.6,5.5
neos-5049753-cuanza,3,48.4,20.0
neos-5104907-jarama,3,110.7,127.8
neos-5107597-kakapo,3,38711.4,32.7
neos-5114902-kasavu,3,50.4,56.7
neos-848589,3,8.57e+05,3.1
neos-960392,3,27.5,0.8
neos16,3,0.6,1.7
neos20,3,59.0,0.8
nh97p,3,13.0,1.3
nh97t,3,10.0,2.5
ns1830653,3,525.3,1.3
physiciansched3-3,3,907.5,6.1
physiciansched6-2,3,2.2,0.3
piperout-08,3,44.8,1.2
piperout-27,3,37.1,0.9
proteindesign121hz512p9,3,10.3,0.7
rB12-111111,3,66.7,0.8
rC10-100001,3,365.3,0.1
rC12-100000,3,215.5,0.2
radiationm18-12-05,3,141.3,0.1
radiationm40-10-02,3,106.7,0.2
rd-rplusc-21,3,58.4,0.2
rocI-4-11,3,54.8,7.4
rocII-5-11,3,90.6,6.7
satellites2-60-fs,3,352.6,2.4
supportcase26,3,387.4,0.1
supportcase33,3,84.1,0.1
swath,3,164.2,3.7
swath1,3,176.5,0.6
timtab1,3,70.5,0.3
timtab2,3,65.2,2.1
traininstance2,3,19.4,0.1
traininstance6,3,182.1,0.1
unitcal_7,3,7.8,3.2
