problem,numSols,stage,gap,time,iterations
10teams,1,2,2.1186440677966103,0.684351384,11
30n20b8,1,3,68.3105981112277,1.345270201,20
50v-10,1,3,57.15862360210197,0.117510929,10
CMS750_4,1,3,55.0,2.255315622,20
a1c1s1,1,3,41.51907053582794,0.371830724,20
academictimetablesmall,0,3,100,942.7620611350001,20
aflow30a,1,3,30.575539568345324,0.071759847,20
aflow40b,1,3,39.73168214654283,0.187319436,20
air04,1,1,1.4292988709592456,1.89633397,7
air05,1,1,2.6358535144713526,0.673234695,5
app1-1,1,3,33.333333333333336,0.306480991,20
app1-2,1,3,43.90243902439025,5.568695521,20
arki001,1,3,2.401719423875576,1.504328001,20
assign1-5-8,1,1,4.072398190046149,0.028975981,5
atlanta-ip,1,1,10.90032491895907,9.884362206,6
b1c1s1,1,3,62.53230151664475,0.275927442,20
bab2,1,3,14.370650195618788,106.23712005,20
bab6,1,3,14.412425259116686,52.545275333000006,20
beasleyC3,1,3,10.55753262158956,0.118325595,20
binkar10_1,1,3,3.3036717257564967,0.091956803,20
blp-ar98,1,2,44.628678875506914,2.283668933,19
blp-ic98,1,1,23.24602194600889,0.477542028,3
bnatt400,0,3,100,58.166705789,20
bppc4-08,1,1,26.38888888888889,0.141429086,6
brazil3,1,3,84.31372549019608,45.896651266999996,20
buildingenergy,1,2,1.1486629973112918,109.813417195,3
cap6000,1,1,0.34984418961261365,0.029838398,1
cbs-cta,1,3,100.0,1.207422893,20
chromaticindex1024-7,1,1,0.0,75.10284833,5
chromaticindex512-7,1,1,0.0,86.095588602,6
cmflsp50-24-8-8,0,3,100,58.586724438000005,20
co-100,1,2,75.10920510233572,4.676053631,12
cod105,1,1,100.0,1.674475964,1
comp07-2idx,1,2,96.95431472081218,4.598603274,11
comp21-2idx,1,2,78.55072463768116,2.712140966,11
cost266-UUE,1,3,40.12386004395458,0.361616621,20
cryptanalysiskb128n5obj16,1,3,0.0,1035.315439499,20
csched007,1,3,32.75862068965588,2.240619501,20
csched008,1,3,8.947368421052632,1.042875335,20
cvs16r128-89,1,1,97.9381443298969,0.870349433,1
dano3_3,1,1,0.01038420532413522,18.667291035,2
dano3_5,1,1,0.3163367627454773,19.294132614,2
dano3mip,1,1,13.375630388807545,23.697370411,5
danoint,1,3,1.2030075187969882,0.5677767,20
disctom,1,1,0.0,1.17432124,2
drayage-100-23,1,2,9.930384136334695,0.285045247,12
drayage-25-23,1,1,6.284618884172661,0.170571907,4
ds,1,1,98.22634914838679,5.564980583,1
dws008-01,0,3,100,14.290319520999999,20
eil33-2,1,1,76.87622937403727,0.059169543,1
eilA101-2,1,1,80.84131692238944,1.013991053,1
enlight_hard,0,3,100,1.395943614,16
exp-1-500-5-5,1,2,71.16908576154448,0.054087011,19
fast0507,1,1,15.533980582524272,0.805035411,1
fastxgemm-n2r6s0t2,1,3,90.11602922217448,0.397520776,20
fhnw-binpack4-48,0,3,100,41.770284084,20
fiball,1,2,10.38961038961039,0.874775115,5
fiber,1,2,58.39038484869742,0.046684468,11
fixnet6,1,3,10.191657271702368,0.067150971,20
gen-ip002,1,2,9.532299706806066,0.008308799,1
gen-ip054,1,2,9.262959049364076,0.00746916,4
germanrr,1,3,3.6786126356577795,4.795620272,20
gesa2-o,1,3,0.11950553664134293,0.122599799,20
gesa2,1,3,0.9926948317940544,0.10270715,13
gfd-schedulen180f7d50m30k18,0,3,100,3601.6852783930003,20
glass-sc,1,1,8.0,0.496028028,1
glass4,1,3,91.72408168391819,0.766325444,20
gmu-35-40,1,1,7.605918589613913,0.032335187,3
gmu-35-50,1,2,18.469935924934827,0.171857454,18
graph20-20-1rand,1,2,33.333333333333336,1.938277666,17
graphdraw-domain,1,3,29.31925894011202,0.111918192,20
h80x6320d,1,3,6.647473814178752,0.760821334,20
harp2,1,3,12.024679287760115,0.083025185,20
highschool1-aigio,1,3,100.0,942.6257461060001,20
hypothyroid-k1,1,1,0.0,5.601901708,1
ic97p,1,3,5.376860297647624,0.090961984,14
ic97t,1,3,10.449795547478418,0.713303606,20
icir97p,1,3,9.20183749641114,0.313568752,20
icir97t,1,3,0.03136270973812137,3.417611244,20
irish-electricity,1,1,7.049824708457759,9.390399337,6
irp,1,1,2.391215179040197,0.223929314,2
istanbul-no-cutoff,1,2,27.548804167184596,4.000792465,12
k1mushroom,1,1,18.248175182481752,53.068489582,1
lectsched-5-obj,0,3,100,35.059045403,20
leo1,1,1,30.583744682823593,0.09783381,1
