problem,numSols,stage,gap,time,iterations
10teams,1,3,7.968127490039841,5.819976957,20
30n20b8,1,3,94.53887884267631,1.549349262,20
50v-10,1,3,55.745075649887056,0.114275155,10
CMS750_4,1,3,55.319148936170215,3.64775335,20
a1c1s1,1,3,41.036829479678495,0.317630998,20
academictimetablesmall,1,3,100.0,168.575035768,20
aflow30a,1,3,59.95850622406639,0.074555216,20
aflow40b,1,3,75.45702878756042,0.206355766,20
app1-1,1,3,66.66666666666667,0.33047862499999997,20
app1-2,1,3,3.466062125659024e-14,37.791007628,20
arki001,1,3,1.3429845979223611,2.015158704,20
assign1-5-8,1,3,8.62068965517327,0.102515736,20
b1c1s1,1,3,62.53230151664475,0.266112921,20
bab2,1,3,8.207160079513212,122.952990693,20
bab6,1,3,10.832805018405704,56.268167458,20
beasleyC3,1,3,18.66235167206041,0.116149095,20
bnatt400,0,3,100,42.292028702,20
bppc4-08,1,3,44.21052631578947,0.387749234,20
buildingenergy,1,3,0.12220946758016193,629.74904155,10
cbs-cta,1,3,100.0,1.122087359,20
cmflsp50-24-8-8,1,3,14.589834460748778,17.026166678,20
cryptanalysiskb128n5obj16,1,3,0.0,2877.132885295,20
csched007,0,3,100,2.922649419,20
csched008,1,3,8.947368421052632,0.731612918,20
dano3_5,1,3,0.10234127113139604,19.98251609,20
dano3mip,1,3,25.849706299372084,32.386057749,20
danoint,1,3,15.769230769230766,0.468792742,20
dws008-01,1,3,33.75159221055878,13.953104548999999,20
enlight_hard,0,3,100,0.943908877,14
exp-1-500-5-5,1,3,61.97613084176872,0.061891526,20
fhnw-binpack4-48,0,3,100,63.138459319000006,20
fiball,1,3,8.0,2.774088255,20
fixnet6,1,3,10.191657271702368,0.061711722,20
germanrr,1,3,5.957282740710353,6.171544236,20
gesa2-o,1,3,0.9926948317939978,0.127073229,20
gfd-schedulen180f7d50m30k18,0,3,100,3600.909453847,20
glass4,1,3,92.1568111497602,0.24341279700000001,20
gmu-35-50,1,3,14.358658951425818,0.206105984,20
graph20-20-1rand,1,3,44.44444444444444,2.504602446,20
graphdraw-domain,1,3,79.00921265887571,0.11608874,20
h80x6320d,1,3,6.580132655001786,0.704608399,20
ic97p,1,3,9.14957363447799,0.233498166,20
ic97t,0,3,100,0.975035488,20
icir97p,1,3,14.895048439181917,0.6119689050000001,20
icir97t,1,3,1.4226070821091696,1.648722406,20
istanbul-no-cutoff,1,3,20.67121211586237,5.185448945,20
lectsched-5-obj,0,3,100,24.464981403,20
liu,1,3,81.89712758851036,0.236616664,20
lotsize,1,3,90.31960834632812,0.568331798,20
map10,1,3,81.41414141414141,29.059766203,20
map16715-04,1,3,62.16216216216216,31.064689474,20
mas74,1,3,38.52731005365207,0.03620877,20
mas76,1,3,10.856954899233902,0.035711743,20
mc11,1,3,13.542899408284024,0.199354055,20
mik-250-20-75-4,1,3,100.0,0.073153426,17
milo-v12-6-r2-40-1,1,3,0.7059492426377669,0.337283884,20
modglob,1,3,0.21212734820205806,0.047357284,20
momentum1,1,3,5.603099521978149,9.13376805,20
msc98-ip,1,3,19.949081664301243,5.195604553,20
mushroom-best,1,3,29.956126137796563,10.078680805,20
n5-3,1,3,25.812356979405035,0.161895936,10
neos-1171448,1,3,3.559870550161812,3.04353794,20
neos-1171737,1,3,6.666666666666667,0.956790352,20
neos-1354092,0,3,100,348.633893381,20
neos-1456979,1,3,41.13712374581941,2.2997245189999997,20
neos-1582420,1,3,34.53237410071942,0.756080081,20
neos-2746589-doon,1,3,6.477902482187018,9.375893136999998,20
neos-2987310-joes,1,3,1.4965723870882937e-09,3.118231828,20
neos-3004026-krka,1,3,0.0,13.639006779,20
neos-3024952-loue,0,3,100,22.089289796,10
neos-3046615-murg,1,3,30.855661192739845,0.034010597,20
neos-3216931-puriri,1,3,44.8286532063464,57.685187924999994,20
neos-3381206-awhea,1,3,4.631578947368421,0.356488079,12
neos-3656078-kumeu,1,3,23.97928971622026,14.203606602999999,20
neos-3754480-nidda,1,3,34.273600578393626,0.049890949,20
neos-4338804-snowy,1,3,99.90676590509644,0.86327756,20
neos-4387871-tavua,1,3,59.88629179441233,10.226509859999998,20
neos-4413714-turia,1,3,1.0846828864096008,32.514559827,20
neos-4532248-waihi,1,3,90.47029702970296,46.912559832,20
neos-4722843-widden,1,3,76.80554671053969,17.566808305,20
neos-4763324-toguru,1,3,31.474218701229837,17.732191604,20
neos-4954672-berkel,1,3,32.94643434591264,0.059040808,20
neos-5049753-cuanza,1,3,26.24671953164042,50.482776994,20
neos-5093327-huahum,1,3,23.93681652490887,14.40056943,20
neos-5104907-jarama,1,3,38.24306472919419,432.038180035,20
neos-5107597-kakapo,0,3,100,114.03522025800001,20
neos-5114902-kasavu,1,3,43.48576358930112,720.0466293029999,20
neos-5188808-nattai,1,3,97.47122816517268,11.394914728,20
neos-848589,1,3,99.97717180147542,27.485190944,20
neos-873061,1,3,12.175495192651436,16.804078351,20
