problem,numSols,stage,gap,time,iterations
10teams,1,3,7.968127490039841,9.87986478,20
30n20b8,1,3,94.53887884267631,1.5533009500000001,20
50v-10,1,3,55.745075649887056,0.114212438,10
CMS750_4,1,3,55.319148936170215,3.2010351669999997,20
a1c1s1,1,3,41.51907053582794,0.319704643,20
academictimetablesmall,1,3,100.0,483.785390343,20
aflow30a,1,3,25.482625482625483,0.070494322,20
aflow40b,1,3,40.52953156822811,0.185893201,20
app1-1,1,3,33.333333333333336,0.306811652,20
app1-2,1,3,43.90243902439025,5.98465908,20
arki001,1,3,1.3429845979223611,2.015246975,20
assign1-5-8,1,3,10.924369747899997,0.103312834,20
b1c1s1,1,3,62.53230151664475,0.265943827,20
bab2,1,3,8.207160079513212,122.96300759,20
bab6,1,3,10.832805018405704,56.270873244,20
beasleyC3,1,3,8.606060606060606,0.119543271,20
bnatt400,0,3,100,59.718981314000004,20
bppc4-08,1,3,33.75,0.398815745,20
buildingenergy,1,3,0.12708921504632129,635.289458369,10
cbs-cta,1,3,100.0,1.162203387,20
cmflsp50-24-8-8,1,3,13.288032580446842,45.347010774999994,20
cryptanalysiskb128n5obj16,1,3,0.0,2880.263444569,20
csched007,0,3,100,2.922641533,20
csched008,1,3,8.947368421052632,0.782463138,20
dano3_5,1,3,0.31627825206251126,20.244985382,20
dano3mip,1,3,20.973582665479366,32.787450257,20
danoint,1,3,1.2030075187969882,1.862327997,20
dws008-01,1,3,33.75159221055878,13.953353055,20
enlight_hard,0,3,100,0.9439919999999999,14
exp-1-500-5-5,1,3,61.97613084176872,0.0623165,20
fhnw-binpack4-48,0,3,100,53.752934786,20
fiball,1,3,7.382550335570469,2.787529491,20
fixnet6,1,3,10.191657271702368,0.062015322,20
germanrr,1,3,3.815939307972036,5.775556021,20
gesa2-o,1,3,0.12611375230953076,0.132841343,20
gfd-schedulen180f7d50m30k18,0,3,100,3600.9696593470003,20
glass4,1,3,61.290280749613586,0.57760733,20
gmu-35-50,1,3,3.694009248222946,0.183267403,20
graph20-20-1rand,1,3,44.44444444444444,6.538983274,20
graphdraw-domain,1,3,79.00921265887571,0.11613316,20
h80x6320d,1,3,6.647473814178752,0.710120467,20
ic97p,1,3,5.285920230658338,0.09710736,20
ic97t,0,3,100,0.975943833,20
icir97p,1,3,14.895048439181917,0.613064165,20
icir97t,1,3,8.19412442396311,5.866502033,20
istanbul-no-cutoff,1,3,20.671212115862353,5.13777031,20
lectsched-5-obj,0,3,100,24.465108937,20
liu,1,3,80.50359712230215,0.234889391,20
lotsize,1,3,90.31960834632812,0.5683300229999999,20
map10,1,3,81.41414141414141,29.183036857,20
map16715-04,1,3,81.08108108108108,30.983557938,20
mas74,1,3,38.52731005365207,0.035908883,20
mas76,1,3,10.856954899233902,0.036038427,20
mc11,1,3,9.93913244471839,0.206441088,20
mik-250-20-75-4,1,3,2.6901971281619854,0.074471297,17
milo-v12-6-r2-40-1,1,3,0.7059492426377669,0.339426444,20
modglob,1,3,0.22263622004537262,0.042930139,20
momentum1,1,3,10.518817170169363,18.063342544,20
msc98-ip,1,3,9.22355531545543,6.307833433,20
mushroom-best,1,3,99.08857215858485,10.994070681,20
n5-3,1,3,25.812356979405035,0.159562997,10
neos-1171448,1,3,0.8090614886731392,3.056765822,20
neos-1171737,1,3,39.99999999999999,0.963338283,20
neos-1354092,0,3,100,425.037656416,20
neos-1456979,1,3,23.80952380952381,1.50075052,20
neos-1582420,1,3,34.53237410071942,1.942263444,20
neos-2746589-doon,1,3,6.477902482187018,9.390086836999998,20
neos-2987310-joes,1,3,1.4965723870882937e-09,3.12181388,20
neos-3004026-krka,1,3,0.0,13.937565603000001,20
neos-3024952-loue,0,3,100,22.089705680999998,10
neos-3046615-murg,1,3,13.137893593919653,0.035864905,20
neos-3216931-puriri,1,3,55.61916614810205,18.455464136,20
neos-3381206-awhea,1,3,0.0,0.545174137,12
neos-3656078-kumeu,1,3,23.97928971622026,14.203763337,20
neos-3754480-nidda,1,3,34.273600578393626,0.050123068,20
neos-4338804-snowy,1,3,99.90676590509644,0.8839062740000001,20
neos-4387871-tavua,1,3,59.88629179441233,10.226518227,20
neos-4413714-turia,1,3,16.489786777726884,32.659190498,20
neos-4532248-waihi,1,3,90.47029702970296,48.21017874,20
neos-4722843-widden,1,3,11.086985533263883,12.332039552,20
neos-4763324-toguru,1,3,31.474218701229837,17.726559377,20
neos-4954672-berkel,1,3,31.643227519885972,0.059384353,20
neos-5049753-cuanza,1,3,26.24671953164042,50.482218573000004,20
neos-5093327-huahum,1,3,23.93681652490887,14.388053434,20
neos-5104907-jarama,1,3,0.0,374.236771695,20
neos-5107597-kakapo,1,3,99.62540234562877,41.255746243,20
neos-5114902-kasavu,1,3,43.48576358930112,720.0415951839999,20
neos-5188808-nattai,1,3,98.03166998176032,5.025296266,20
neos-848589,1,3,99.9790057542956,26.572024007,20
neos-873061,1,3,12.217957683498499,16.931304922,20
neos-911970,1,3,67.64167109850501,0.09562655,20
neos16,0,3,100,1.6981780439999998,20
neos17,1,3,32.63990942661704,0.123097781,20
neos20,1,3,71.6589861751152,0.90765804,20
nh97p,1,3,7.981829980532298,2.1574014200000002,20
nh97t,1,3,10.649023314429742,6.748534383,20
noswot,1,3,0.0,0.038239888,20
ns1116954,1,3,0.0,133.207646265,20
ns1208400,1,3,4.9560355819242425e-11,17.194659,20
ns1644855,1,3,33.54471900284263,259.16958937,20
ns1760995,1,3,62.24117488872229,23.993975516,20
ns1952667,0,3,100,97.03152040100001,10
opt1217,1,3,0.0,0.072228753,20
p200x1188c,1,3,4.24842827205182,0.121147225,20
peg-solitaire-a3,0,3,100,183.278905996,20
pg,1,3,100.0,0.10012583,20
pg5_34,1,3,70.05443784496434,0.131964324,20
physiciansched6-2,1,3,0.0,5.92743708,20
piperout-08,1,3,70.79307469714061,2.256386425,20
piperout-27,1,3,52.67389024816498,1.6887427830000001,20
pk1,1,3,94.11764705882352,0.06091455,20
rB10-011000,1,3,56.49479923945867,0.439335519,20
rB10-011001,1,3,50.009390286512925,0.421053562,20
rB11-010000,1,3,61.403703170188486,0.892736223,20
rB11-110001,1,3,51.057021404495586,2.367133735,20
rB12-111111,1,3,26.65662002152853,3.138361977,20
rC10-001000,1,3,51.688377387125335,0.177143129,20
rC10-100001,1,3,70.4749708606834,0.914723145,20
radiationm18-12-05,1,3,48.57577797944905,0.734930026,20
radiationm40-10-02,1,3,62.2579892698857,6.828453226,20
rail02,0,0,0,3600.0,0
rd-rplusc-21,1,3,36.9090658713965,1.843852028,20
reblock115,1,3,6.9202611135024314,1.177845383,20
rocI-4-11,1,3,66.4429422064339,9.239181859,20
rocII-5-11,1,3,92.14771119548787,11.086790310000001,20
roi2alpha3n4,1,3,52.318677153607894,15.050472248,20
roi5alpha10n8,1,3,62.77087268264418,306.901392425,20
roll3000,1,3,17.350602718645902,0.927011113,20
rout,1,3,43.22683975385653,0.08879806300000001,20
satellites2-40,1,3,100.0,47.821509562,20
satellites2-60-fs,1,3,89.47368421058172,19.476582281,20
sct2,1,3,100.0,0.459347587,20
set1ch,1,3,44.15172011243837,0.049203356,20
sing326,1,3,31.899740135999224,17.153176143,20
sing44,1,3,12.28420244461294,17.090616736,20
sp150x300d,1,3,2.816901408450704,0.043714165,20
square47,0,3,100,3602.034199015,10
supportcase12,1,3,5.3139182521020665,8.423605475,10
supportcase26,1,3,30.51457082243327,0.058833138,20
supportcase33,1,3,100.0,2.6395904629999998,20
supportcase7,1,3,100.0,8.558550213,20
swath,1,3,68.25902101355555,5.433639371000001,20
swath1,1,3,61.04426805170734,0.9294788460000001,20
swath3,1,3,52.39090219600091,0.937644368,20
t1717,1,3,76.12790577233245,128.373149944,20
timtab1,1,3,38.340999334832865,0.55975129,20
timtab2,1,3,33.835188944025745,3.658702645,20
tr12-30,1,3,4.374313538844548,0.247248107,20
traininstance2,1,3,36.94468832309043,0.10220152099999999,20
traininstance6,1,3,36.25506985128436,0.062032969,20
uccase9,1,3,53.960955903333804,9.047051468,20
unitcal_7,1,3,7.384119493161214,9.390977729,20
var-smallemery-m6j6,1,3,100.0,6.847382866,20
