problem,numSols,stage,gap,time,iterations
10teams,1,3,7.968127490039841,5.792981265,20
30n20b8,1,3,94.53887884267631,1.552027795,20
50v-10,1,3,59.63786992142477,0.12173161,10
CMS750_4,1,3,55.319148936170215,2.990909901,20
a1c1s1,1,3,49.923284408505324,0.396991287,20
academictimetablesmall,1,3,100.0,168.095430049,20
aflow30a,1,3,59.95850622406639,0.074591888,20
aflow40b,1,3,75.45702878756042,0.211709782,20
air04,1,1,0.9352120704704562,2.51814956,10
air05,1,1,3.982816368137469,0.666006865,4
app1-1,1,3,66.66666666666667,0.317209575,20
app1-2,1,3,3.466062125659024e-14,37.583186298,20
arki001,1,3,1.3429845979223611,2.043364534,20
assign1-5-8,1,3,54.01301518438221,0.090613287,20
atlanta-ip,1,2,10.009550262395457,13.554866629,18
b1c1s1,1,3,64.62494026050418,0.322377983,20
bab2,1,3,8.207160079513212,122.585652959,20
bab6,1,3,10.832805018405704,56.907066759,20
beasleyC3,1,3,15.659955257270694,0.126207142,20
binkar10_1,1,3,4.308001204220087,0.092184527,20
blp-ar98,1,2,40.54666013699231,1.758612822,16
blp-ic98,1,1,24.97688448698636,0.464533687,3
bnatt400,0,3,100,42.870900264,20
bppc4-08,1,3,98.97266912192285,0.425732056,20
brazil3,1,2,81.6793893129771,16.296156834,17
buildingenergy,1,3,4.603661609583697,750.475542237,10
cap6000,1,1,0.34984418961261365,0.029517294,1
cbs-cta,1,3,100.0,1.238695897,20
chromaticindex1024-7,1,1,0.0,68.07358545,3
chromaticindex512-7,1,1,0.0,38.968578505,2
cmflsp50-24-8-8,1,3,13.288032580446842,12.572368971,20
co-100,1,2,75.13599723647873,4.974200446,13
cod105,1,1,100.0,1.624840839,1
comp07-2idx,1,2,97.44680851063829,3.720207443,11
comp21-2idx,1,2,83.10502283105023,2.479155243,11
cost266-UUE,1,3,43.63326609303321,0.4154267,20
cryptanalysiskb128n5obj16,1,3,0.0,3586.780721937,20
csched007,0,3,100,2.924025789,20
csched008,1,3,8.947368421052632,0.732137789,20
cvs16r128-89,1,1,97.9381443298969,0.866574695,1
dano3_3,1,2,0.008978566906538749,15.98378339,18
dano3_5,1,3,97.49163080018886,18.38252742,20
dano3mip,1,3,97.10608695652174,32.658187685,20
danoint,1,3,86.69205371792015,1.626860088,20
disctom,1,1,0.0,1.176913183,2
drayage-100-23,1,2,5.0152218564519515,0.297658387,12
drayage-25-23,1,2,6.284618884172661,0.296090095,11
ds,1,1,98.27444930018311,5.435704799,1
dws008-01,1,3,33.75159221055878,14.022784666,20
eil33-2,1,1,81.50567320824024,0.058362449,1
eilA101-2,1,1,82.34424754059708,0.908345902,1
enlight_hard,0,3,100,0.952829083,14
exp-1-500-5-5,1,3,87.51165682312714,0.063340395,20
fast0507,1,1,12.56281407035176,0.828995458,1
fastxgemm-n2r6s0t2,1,2,86.68210770121598,0.285686823,20
fhnw-binpack4-48,0,3,100,30.893492193,20
fiball,1,3,12.101910828025478,3.007596821,20
fiber,1,2,61.61897564246381,0.058751048,16
fixnet6,1,3,40.32064728798322,0.064163186,20
gen-ip002,1,2,16.47404906422928,0.005118015,1
gen-ip054,1,2,9.155526699624478,0.009073987,5
germanrr,1,3,5.957282740710353,6.363954205,20
gesa2-o,1,3,11.292259087023009,0.132904393,20
gesa2,1,3,4.962366589066414,0.122734773,15
gfd-schedulen180f7d50m30k18,0,3,100,3602.479120374,20
glass-sc,1,1,8.0,0.48277058,1
glass4,1,3,92.1568111497602,0.24172042,20
gmu-35-40,1,2,6.895152435715877,0.095532359,14
gmu-35-50,1,3,14.358658951425818,0.20807179,20
graph20-20-1rand,1,3,44.44444444444444,2.504799957,20
graphdraw-domain,1,3,79.00921265887571,0.128763098,20
h80x6320d,1,3,32.87178382816294,0.833347955,20
harp2,1,2,11.85149613695565,0.048201467,13
highschool1-aigio,1,2,100.0,814.321412547,18
hypothyroid-k1,1,1,0.0,5.419869291,1
ic97p,1,3,9.14957363447799,0.233852282,20
ic97t,0,3,100,0.969451664,20
icir97p,1,3,14.895048439181917,0.617412025,20
icir97t,1,3,8.19412442396311,3.168892081,20
irish-electricity,1,3,14.900953526794675,17.121358176,20
irp,1,1,0.3027898959438825,0.23311421,2
istanbul-no-cutoff,1,3,4.901595887721819,5.08787332,20
k1mushroom,1,1,18.248175182481752,40.378667722,1
lectsched-5-obj,0,3,100,26.001541857,20
leo1,1,1,26.858280288117875,0.10420954,1
leo2,1,1,22.98922218145535,0.228414657,1
liu,1,3,87.09216480114313,0.260235227,20
lotsize,1,3,90.31960834632812,0.570154203,20
mad,1,2,98.81415929203538,0.121432598,15
manna81,1,2,56.73047705864479,0.065847392,2
map10,1,3,100.0,28.636440736,20
map16715-04,1,3,100.0,30.584985249,20
markshare1,1,1,99.87819732034104,0.002475023,1
markshare2,1,1,99.89949748743719,0.002797564,1
markshare_4_0,1,1,98.66666666666667,0.002086343,1
mas74,1,3,92.4997748825023,0.037035933,20
mas76,1,3,74.57485205374414,0.036903957,20
mc11,1,3,62.18008865305594,0.216444826,20
mcsched,1,1,9.335050399602965,0.467669664,4
mik-250-20-75-4,1,3,46.84996462782738,0.072605609,17
milo-v12-6-r2-40-1,1,3,75.71788951772035,0.455911115,20
misc07,1,2,24.664879356568363,0.098778131,19
mkc,1,2,90.83114579638173,0.033526274,2
mod011,1,3,40.81273618419177,0.313113842,20
modglob,1,3,61.27920868015575,0.044373592,20
momentum1,1,3,45.18388943455313,14.186954975,20
msc98-ip,1,3,19.949081664301243,5.2699931,20
mushroom-best,1,3,99.97695054941042,10.985629643,20
mzzv11,1,2,18.50999171194401,3.066370261,13
mzzv42z,1,2,21.645569620253166,3.069004999,14
n2seq36q,1,1,22.551928783382788,0.344789398,1
n3div36,1,1,23.329425556858148,0.351137101,1
n5-3,1,3,23.320719016083256,0.162604726,10
neos-1122047,1,1,100.0,0.063766713,0
neos-1171448,1,3,100.0,3.041954115,20
neos-1171737,1,3,100.0,1.003269487,20
neos-1354092,0,3,100,342.015474927,20
neos-1445765,1,1,28.144857448124615,0.665393775,6
neos-1456979,1,3,41.13712374581941,2.309488799,20
neos-1582420,1,3,34.53237410071942,0.73610666,20
neos-2657525-crna,1,3,91.88436343303418,0.05939871,20
neos-2746589-doon,1,3,6.477902482187018,9.861482859,20
neos-2978193-inde,1,1,1.674998929801807e-07,0.140257124,2
neos-2987310-joes,1,3,22.038688485388466,3.728479468,20
neos-3004026-krka,1,3,0.0,13.411385205,20
neos-3024952-loue,0,3,100,22.150176856,10
neos-3046615-murg,1,3,30.855661192739845,0.035098336,20
neos-3083819-nubu,1,2,0.7983473510012407,0.040229571,1
neos-3216931-puriri,1,3,44.8286532063464,58.044010757,20
