problem,numSols,stage,gap,time,iterations
10teams,0,2,100,1.292505808,20
30n20b8,0,2,100,1.406290959,20
50v-10,0,2,100,0.109390631,10
CMS750_4,0,2,100,1.772438007,20
a1c1s1,0,2,100,0.257297352,20
academictimetablesmall,0,2,100,10.993942045,20
aflow30a,0,2,100,0.068135093,20
aflow40b,0,2,100,0.179328367,20
air04,1,1,0.9352120704704562,2.552216326,10
air05,1,1,3.982816368137469,0.666700595,4
app1-1,0,2,100,0.295022153,20
app1-2,0,2,100,6.578419051,20
arki001,0,2,100,0.255084678,20
assign1-5-8,0,2,100,0.090171623,20
atlanta-ip,1,2,10.009550262395457,13.995138619,18
b1c1s1,0,2,100,0.239497583,20
bab2,0,2,100,130.928530471,20
bab6,0,2,100,56.258625459,20
beasleyC3,0,2,100,0.114126629,20
binkar10_1,0,2,100,0.083410714,20
blp-ar98,1,2,40.54666013699231,1.866107235,16
blp-ic98,1,1,24.97688448698636,0.480297341,3
bnatt400,0,2,100,2.998924317,20
bppc4-08,0,2,100,0.383633056,20
brazil3,1,2,81.6793893129771,16.305441189,17
buildingenergy,0,2,100,739.766820452,10
cap6000,1,1,0.34984418961261365,0.029302671,1
cbs-cta,0,2,100,1.058494881,20
chromaticindex1024-7,1,1,0.0,66.148860426,3
chromaticindex512-7,1,1,0.0,41.895451153,2
cmflsp50-24-8-8,0,2,100,2.882677021,20
co-100,1,2,75.13599723647873,4.321078774,13
cod105,1,1,100.0,1.660406125,1
comp07-2idx,1,2,97.44680851063829,3.881093047,11
comp21-2idx,1,2,83.10502283105023,2.573752116,11
cost266-UUE,0,2,100,0.271784191,20
cryptanalysiskb128n5obj16,0,2,100,182.299857452,20
csched007,0,2,100,0.240957999,20
csched008,0,2,100,0.235420433,20
cvs16r128-89,1,1,97.9381443298969,0.878950343,1
dano3_3,1,2,0.008978566906538749,16.12574849,18
dano3_5,0,2,100,17.161806042,20
dano3mip,0,2,100,31.625611075,20
danoint,0,2,100,0.306553395,20
disctom,1,1,0.0,1.191608638,2
drayage-100-23,1,2,5.0152218564519515,0.299578176,12
drayage-25-23,1,2,6.284618884172661,0.300124735,11
ds,1,1,98.27444930018311,5.580014506,1
dws008-01,0,2,100,1.006823086,20
eil33-2,1,1,81.50567320824024,0.060211937,1
eilA101-2,1,1,82.34424754059708,1.002401153,1
enlight_hard,0,2,100,0.029606515,14
exp-1-500-5-5,0,2,100,0.056435706,20
fast0507,1,1,12.56281407035176,0.828256549,1
fastxgemm-n2r6s0t2,1,2,86.68210770121598,0.286929124,20
fhnw-binpack4-48,0,2,100,0.468810183,20
fiball,0,2,100,2.696573497,20
fiber,1,2,61.61897564246381,0.057813109,16
fixnet6,0,2,100,0.058842449,20
gen-ip002,1,2,16.47404906422928,0.004953696,1
gen-ip054,1,2,9.155526699624478,0.009256731,5
germanrr,0,2,100,5.898031232,20
gesa2-o,0,2,100,0.122226593,20
gesa2,0,2,100,0.10490362,15
gfd-schedulen180f7d50m30k18,0,2,100,223.541127405,20
glass-sc,1,1,8.0,0.49014367,1
glass4,0,2,100,0.047432563,20
gmu-35-40,1,2,6.895152435715877,0.095533356,14
gmu-35-50,0,2,100,0.180490201,20
graph20-20-1rand,0,2,100,2.401986288,20
graphdraw-domain,0,2,100,0.109663916,20
h80x6320d,0,2,100,0.706534807,20
harp2,1,2,11.85149613695565,0.048367456,13
highschool1-aigio,1,2,100.0,811.368948547,18
hypothyroid-k1,1,1,0.0,5.398284268,1
ic97p,0,2,100,0.089910109,20
ic97t,0,2,100,0.052767257,20
icir97p,0,2,100,0.286252445,20
icir97t,0,2,100,0.269412728,20
irish-electricity,0,2,100,17.361815322,20
irp,1,1,0.3027898959438825,0.222262728,2
istanbul-no-cutoff,0,2,100,4.9836053,20
k1mushroom,1,1,18.248175182481752,51.575091984,1
lectsched-5-obj,0,2,100,1.849359594,20
leo1,1,1,26.858280288117875,0.103854495,1
leo2,1,1,22.98922218145535,0.227322837,1
liu,0,2,100,0.21952881,20
lotsize,0,2,100,0.221731234,20
mad,1,2,98.81415929203538,0.121231575,15
manna81,1,2,56.73047705864479,0.065312749,2
map10,0,2,100,28.714715647,20
map16715-04,0,2,100,30.305760379,20
markshare1,1,1,99.87819732034104,0.00236708,1
markshare2,1,1,99.89949748743719,0.002452875,1
markshare_4_0,1,1,98.66666666666667,0.002203023,1
mas74,0,2,100,0.034539042,20
mas76,0,2,100,0.035009791,20
mc11,0,2,100,0.191674263,20
mcsched,1,1,9.335050399602965,0.467378385,4
mik-250-20-75-4,0,2,100,0.069961763,17
milo-v12-6-r2-40-1,0,2,100,0.319270046,20
misc07,1,2,24.664879356568363,0.099852178,19
mkc,1,2,90.83114579638173,0.033483366,2
mod011,0,2,100,0.281596013,20
modglob,0,2,100,0.039501173,20
momentum1,0,2,100,1.328139472,20
msc98-ip,0,2,100,5.01551245,20
mushroom-best,0,2,100,10.0192364,20
