problem,numSols,stage,gap,time,iterations
10teams,0,2,100,1.369491706,20
30n20b8,0,2,100,1.25755351,20
50v-10,0,2,100,0.101083215,10
CMS750_4,0,2,100,1.552397152,20
a1c1s1,0,2,100,0.283835325,20
academictimetablesmall,0,2,100,11.509048759,20
aflow30a,0,2,100,0.068688003,20
aflow40b,0,2,100,0.179555824,20
air04,1,1,2.224196189082802,2.318520528,7
air05,1,1,4.285973507530394,1.227333394,8
app1-1,0,2,100,0.309415559,20
app1-2,0,2,100,5.310471417,20
arki001,0,2,100,0.308625483,20
assign1-5-8,1,1,9.401709401710253,0.030768777,4
atlanta-ip,1,2,15.102839751246883,11.985241823,17
b1c1s1,0,2,100,0.277096414,20
bab2,0,2,100,106.911397612,20
bab6,0,2,100,41.867506182,20
beasleyC3,0,2,100,0.111747871,20
binkar10_1,1,2,3.172717922413855,0.069338864,16
blp-ar98,1,2,41.15391698811619,2.363083407,19
blp-ic98,1,1,33.922915251853205,0.235180649,1
bnatt400,0,2,100,3.070734569,20
bppc4-08,0,2,100,0.324467676,20
brazil3,0,2,100,34.181478768,20
buildingenergy,1,2,0.7269073071266896,264.845450098,5
cap6000,1,1,0.34984418961261365,0.028292112,1
cbs-cta,0,2,100,0.995950829,20
chromaticindex1024-7,1,1,0.0,67.15940166,2
chromaticindex512-7,1,1,0.0,38.351031282,2
cmflsp50-24-8-8,0,2,100,3.192994571,20
co-100,1,1,75.10920510233572,2.869053471,7
cod105,1,1,100.0,1.650841563,1
comp07-2idx,1,2,97.41379310344827,4.138044578,11
comp21-2idx,0,2,100,4.731626086,20
cost266-UUE,1,2,26.916730005747233,0.177107393,13
cryptanalysiskb128n5obj16,0,2,100,198.864067114,20
csched007,0,2,100,0.246103732,20
csched008,0,2,100,0.243061706,20
cvs16r128-89,1,1,97.9381443298969,0.868115332,1
dano3_3,1,1,0.009036913294338072,18.576770458,2
dano3_5,1,1,0.3159946876339561,19.672933661,3
dano3mip,1,2,11.467287388810373,28.020575242,11
danoint,0,2,100,0.296002028,20
disctom,1,1,0.0,1.193115657,2
drayage-100-23,1,1,5.2367466720952836,0.181810006,7
drayage-25-23,1,2,8.519765161636228,0.396865909,13
ds,1,1,97.45787653844357,5.434883993,1
dws008-01,0,2,100,0.974502907,20
eil33-2,1,1,42.70880893104147,0.060477072,1
eilA101-2,1,1,64.8886984572174,1.00541025,1
enlight_hard,0,2,100,0.027891827,13
exp-1-500-5-5,0,2,100,0.056662679,20
fast0507,1,1,36.72727272727273,0.828730801,1
fastxgemm-n2r6s0t2,0,2,100,0.371815693,20
