problem,numSols,stage,gap,time,iterations
10teams,1,2,2.1186440677966103,0.686448448,11
30n20b8,0,2,100,1.520090208,20
50v-10,0,2,100,0.109120759,10
CMS750_4,0,2,100,1.487856451,20
a1c1s1,0,2,100,0.285067822,20
academictimetablesmall,0,2,100,12.294599449,20
aflow30a,0,2,100,0.068492382,20
aflow40b,0,2,100,0.18158001,20
air04,1,1,2.2310076979344458,1.784964739,5
air05,1,1,2.6358535144713526,0.672763193,5
app1-1,0,2,100,0.280030295,20
app1-2,0,2,100,4.895241975,20
arki001,0,2,100,0.305137381,20
assign1-5-8,1,1,6.607929515419379,0.026152048,4
atlanta-ip,0,2,100,12.275634432,20
b1c1s1,0,2,100,0.25507035,20
bab2,0,2,100,102.494448938,20
bab6,0,2,100,44.956651838,20
beasleyC3,0,2,100,0.110582429,20
binkar10_1,1,2,3.8714087630304066,0.083383192,20
blp-ar98,0,2,100,2.370562566,20
blp-ic98,1,1,33.922915251853205,0.228422281,1
bnatt400,0,2,100,3.096489199,20
bppc4-08,1,1,26.38888888888889,0.123054333,6
brazil3,0,2,100,34.135386704,20
buildingenergy,1,2,0.7268947290552298,109.222994413,3
cap6000,1,1,0.34984418961261365,0.028298163,1
cbs-cta,0,2,100,0.985278022,20
chromaticindex1024-7,1,1,0.0,61.068253617,5
chromaticindex512-7,1,1,0.0,57.896194678,5
cmflsp50-24-8-8,0,2,100,2.71650636,20
co-100,1,2,75.10920510233572,4.101105369,12
cod105,1,1,100.0,1.635221449,1
comp07-2idx,1,2,97.74436090225564,4.410894245,11
comp21-2idx,1,2,79.78142076502732,2.623934004,11
cost266-UUE,1,2,30.543603192608618,0.221101409,13
cryptanalysiskb128n5obj16,0,2,100,195.025040519,20
csched007,0,2,100,0.243100719,20
csched008,0,2,100,0.210891467,20
cvs16r128-89,1,1,97.9381443298969,0.869973102,1
dano3_3,1,1,0.01038420532413522,18.67322635,2
dano3_5,1,1,0.3163367627454773,19.152238889,2
dano3mip,1,1,13.375630388807545,23.388513557,5
danoint,0,2,100,0.3787414,20
disctom,1,1,0.0,1.193217738,2
drayage-100-23,1,2,19.760526676793454,0.328999872,14
drayage-25-23,1,1,6.284618884172661,0.169215942,4
ds,1,1,97.45787653844357,5.567838507,1
dws008-01,0,2,100,0.959765608,20
eil33-2,1,1,42.70880893104147,0.060573156,1
eilA101-2,1,1,64.8886984572174,0.909402167,1
enlight_hard,0,2,100,0.033004015,16
exp-1-500-5-5,1,2,34.71363456202933,0.043248585,15
fast0507,1,1,36.72727272727273,0.831348692,1
fastxgemm-n2r6s0t2,0,2,100,0.345199602,20
fhnw-binpack4-48,0,2,100,0.471987484,20
fiball,0,2,100,1.769822864,12
fiber,1,2,58.39038484869742,0.042066557,11
fixnet6,0,2,100,0.059146681,20
gen-ip002,1,2,16.950993641411536,0.005137404,1
gen-ip054,1,2,12.549286985294193,0.003303822,1
germanrr,0,2,100,5.122023132,20
gesa2-o,0,2,100,0.115725269,20
gesa2,0,2,100,0.089107824,12
gfd-schedulen180f7d50m30k18,0,2,100,358.447991562,20
glass-sc,1,1,23.333333333333332,0.488861131,1
glass4,0,2,100,0.050326746,20
gmu-35-40,1,1,6.895152435715877,0.032060259,3
gmu-35-50,0,2,100,0.180247297,20
graph20-20-1rand,1,2,33.333333333333336,1.787599181,16
graphdraw-domain,1,2,37.95190216534812,0.065145638,12
h80x6320d,0,2,100,0.770780405,20
harp2,1,2,12.214268437223401,0.06007835,17
highschool1-aigio,0,2,100,893.171080892,20
hypothyroid-k1,1,1,0.0,4.990398372,1
ic97p,0,2,100,0.080631296,16
ic97t,0,2,100,0.055186033,20
icir97p,0,2,100,0.278079949,20
icir97t,0,2,100,0.28043663,20
irish-electricity,1,1,6.612617199583205,11.14353163,6
irp,1,1,10.748281847320289,0.343569076,5
istanbul-no-cutoff,1,2,30.27005006453189,3.955588371,12
k1mushroom,1,1,18.248175182481752,40.468570572,1
lectsched-5-obj,0,2,100,2.056553245,20
leo1,1,1,44.57482692104331,0.100818547,1
leo2,1,1,43.066272045719664,0.193960249,1
liu,1,2,79.84380810710302,0.181828969,14
lotsize,0,2,100,0.217551893,20
mad,1,2,98.85665529010238,0.08969744,11
manna81,1,2,0.0,0.10292075,3
map10,1,1,78.58585858585859,12.266315891,8
map16715-04,1,1,76.57657657657657,17.053298929,8
markshare1,1,1,99.58847736625515,0.002319713,1
markshare2,1,1,99.82517482517483,0.002571974,1
markshare_4_0,1,1,98.66666666666667,0.00207122,1
mas74,1,2,29.668684289116644,0.019109441,9
mas76,1,2,10.856954899233902,0.009596386,4
mc11,0,2,100,0.196640622,20
mcsched,1,1,6.5256035323126325,0.51918296,4
mik-250-20-75-4,1,2,0.8011319095237185,0.029268689,6
milo-v12-6-r2-40-1,0,2,100,0.342243331,20
misc07,1,2,8.766233766233766,0.07071687,12
mkc,1,2,53.63710535650949,0.033648371,2
mod011,1,1,13.12238598990613,0.0886821,4
modglob,1,1,32.691858698987765,0.013753617,5
momentum1,0,2,100,1.38827217,20
msc98-ip,0,2,100,4.159931043,20
mushroom-best,0,2,100,8.640627165,20
mzzv11,1,2,24.348466709641773,2.948194248,14
mzzv42z,1,2,27.341772151898734,1.993253645,7
n2seq36q,1,1,23.9067055393586,0.365784047,1
n3div36,1,1,39.38832252085264,0.322848659,1
n5-3,0,2,100,0.133520833,10
neos-1122047,1,1,100.0,0.07064255,0
neos-1171448,1,1,16.66666666666665,0.912174027,4
neos-1171737,1,1,12.307692307692308,0.294369458,3
neos-1354092,0,2,100,102.404720433,20
neos-1445765,1,1,17.499859416296463,0.509383522,5
neos-1456979,0,2,100,1.817245198,20
neos-1582420,0,2,100,0.450092624,20
neos-2657525-crna,0,2,100,0.041489447,12
neos-2746589-doon,0,2,100,10.560075561,20
neos-2978193-inde,1,1,25.94027183610996,0.239363841,5
neos-2987310-joes,0,2,100,3.302357282,20
neos-3004026-krka,0,2,100,1.30882139,20
neos-3024952-loue,0,2,100,0.997534586,10
neos-3046615-murg,0,2,100,0.031325958,20
neos-3083819-nubu,1,2,0.7983473510012407,0.039987028,1
neos-3216931-puriri,0,2,100,9.328498991,20
neos-3381206-awhea,0,2,100,0.154375241,11
neos-3402294-bobin,1,2,83.5373317013465,24.04854731,19
neos-3555904-turama,0,2,100,65.29497108,20
neos-3627168-kasai,1,2,1.8421456955805078,0.070400387,13
neos-3656078-kumeu,0,2,100,4.059121808,20
neos-3754480-nidda,1,2,99.95355486949884,0.040186599,11
neos-4300652-rahue,0,2,100,19.182439403,20
neos-4338804-snowy,0,2,100,0.16504626,20
neos-4387871-tavua,0,2,100,0.448817129,20
neos-4413714-turia,1,1,46.56349612882139,19.962748254,7
