problem,numSols,stage,gap,time,iterations
10teams,1,1,11.153846153846153,4.992973458,74
30n20b8,1,2,73.9879414298019,8.203885878,305
50v-10,1,2,56.80327716463325,0.290252587,26
CMS750_4,1,1,29.213483146067414,3.400757831,54
a1c1s1,1,1,22.457954889732914,0.416866736,31
academictimetablesmall,1,3,100.0,443.029554766,690
aflow30a,1,1,48.23424228877962,0.102505102,31
aflow40b,1,1,67.23702664796635,0.269243705,31
air04,1,1,0.10321202953999466,1.861177349,4
air05,1,1,3.982816368137469,0.66109014,4
app1-1,1,1,0.0,0.490270783,36
app1-2,1,1,43.90243902439025,8.872972848,38
arki001,1,2,2.9298612281669434,10.49802698,544
assign1-5-8,1,1,2.304147465438705,0.09486372,23
atlanta-ip,1,1,23.73579341205029,19.196986567,43
b1c1s1,1,1,61.58946087138328,0.398751235,34
bab2,1,2,27.097780885824204,218.537657432,154
bab6,1,2,48.07725823427618,133.257686568,163
beasleyC3,1,1,9.047044632086852,0.195549656,36
binkar10_1,1,1,12.330343718943487,0.083087419,20
blp-ar98,1,1,40.05119171991721,2.127875033,20
blp-ic98,1,1,23.24602194600889,0.465084761,3
bnatt400,0,3,100,222.849305483,1192
bppc4-08,1,1,38.372093023255815,1.125958084,62
brazil3,1,2,89.51965065502183,21.261833018,24
buildingenergy,1,2,1.1486629973110356,689.696823366,12
cap6000,1,1,0.34984418961261365,0.028338805,1
cbs-cta,1,1,0.0,2.433871229,40
chromaticindex1024-7,1,1,0.0,55.933290462,3
chromaticindex512-7,1,1,0.0,39.965387621,2
cmflsp50-24-8-8,1,3,17.337663897223255,173.590811007,1205
co-100,1,1,75.13954421235617,4.906386451,15
cod105,1,1,100.0,1.623341379,1
comp07-2idx,1,2,97.42489270386267,5.742661558,27
comp21-2idx,1,2,79.8913043478261,3.840992866,24
cost266-UUE,1,1,24.788687952681634,0.350245379,27
cryptanalysiskb128n5obj16,0,0,0,3600.0,0
csched007,1,3,47.53363228698111,14.501089385,1179
csched008,1,2,8.947368421052632,2.063036106,211
cvs16r128-89,1,1,97.9381443298969,0.867916845,1
dano3_3,1,1,0.008978566906538749,15.954629996,18
dano3_5,1,1,0.24576670973543208,25.419632313,26
dano3mip,1,1,24.35135573956811,264.69198153,74
danoint,1,1,86.69205371792015,3.46249451,105
disctom,1,1,0.0,1.19326535,2
drayage-100-23,1,1,4.57622947093229,0.28568052,12
drayage-25-23,1,1,9.837840229603518,0.369902854,16
ds,1,1,98.22634914838679,5.40004629,1
dws008-01,0,3,100,76.433682826,971
eil33-2,1,1,76.87622937403727,0.058070288,1
eilA101-2,1,1,80.84131692238944,0.90908338,1
enlight_hard,0,3,100,2.830479481,1058
exp-1-500-5-5,1,1,35.257008657030276,0.071202054,26
fast0507,1,1,15.533980582524272,0.794979072,1
fastxgemm-n2r6s0t2,1,1,91.2647170527915,0.348368766,21
fhnw-binpack4-48,0,3,100,61.073089173,1388
fiball,1,2,14.285714285714286,5.89196179,54
fiber,1,1,58.447656771334515,0.047624105,13
fixnet6,1,1,31.809621640130114,0.086213686,31
gen-ip002,1,2,9.532299706806066,0.005024469,1
gen-ip054,1,2,7.4499958224688205,0.00768207,4
germanrr,1,2,5.7608487626081475,11.309702086,61
gesa2-o,1,2,13.904669050576272,0.160470739,32
gesa2,1,2,2.258991082264304,0.178432126,26
gfd-schedulen180f7d50m30k18,0,0,0,3600.0,0
glass-sc,1,1,8.0,0.474641167,1
glass4,1,1,91.4285111226579,0.219183591,96
gmu-35-40,1,1,6.895152435715877,0.094354693,14
gmu-35-50,1,1,19.84078964559224,0.337696559,40
graph20-20-1rand,1,1,22.22222222222222,3.510300551,27
graphdraw-domain,1,2,15.438144329896907,0.276361275,62
h80x6320d,1,1,17.316508950663962,1.074515389,32
harp2,1,1,12.607910916260842,0.044291925,12
highschool1-aigio,1,2,100.0,749.437404535,23
hypothyroid-k1,1,1,0.0,5.027852849,1
ic97p,1,3,11.554857527484856,6.464792849,1263
ic97t,1,3,12.067811733214365,2.219106788,856
icir97p,1,3,19.241573033707866,15.97132816,1023
icir97t,1,2,10.913918390162102,2.130550208,125
irish-electricity,1,1,5.327794420905618,15.82219539,18
irp,1,1,5.4818681394458055,0.254468971,3
istanbul-no-cutoff,1,1,29.216943054968446,5.779939476,22
k1mushroom,1,1,18.248175182481752,40.387539904,1
lectsched-5-obj,0,3,100,74.401747269,769
leo1,1,1,30.583744682823593,0.093600206,1
leo2,1,1,28.939650256644626,0.203694175,1
liu,1,1,87.09216480114313,1.002850285,90
lotsize,1,1,42.343887426468925,0.480352869,48
mad,1,1,99.01136195956913,0.124672294,15
manna81,1,2,56.73047705864479,0.076194709,3
map10,1,1,69.13859180035651,50.509189676,42
map16715-04,1,1,89.1891891891892,47.553110214,49
markshare1,1,1,99.58847736625515,0.002284373,1
markshare2,1,1,99.6376811594203,0.002540149,1
markshare_4_0,1,1,98.66666666666667,0.001960077,1
mas74,1,2,92.4997748820256,0.151736015,90
mas76,1,2,74.57485205212825,0.153388619,92
