problem,numSols,stage,gap,time,iterations
10teams,1,2,2.1186440677966103,0.685384844,11
30n20b8,1,2,69.98011928429423,3.205945563,121
50v-10,1,3,55.745075649887056,0.11527754,10
CMS750_4,1,3,35.549872122762146,7.629734336,20
a1c1s1,1,3,41.51907053582794,0.407943787,20
academictimetablesmall,1,3,100.0,980.5891821700001,1242
aflow30a,1,3,25.482625482625483,0.070749655,20
aflow40b,1,3,31.934731934731936,0.187958346,20
air04,1,1,1.3756148981026002,1.985589456,10
air05,1,1,2.340220691698141,0.59661652,5
app1-1,1,3,33.333333333333336,0.309601321,20
app1-2,1,3,43.90243902439025,5.691271564,20
arki001,1,3,3.0713878520021005,31.814470909,1408
assign1-5-8,1,1,4.504504504505401,0.025866555,4
atlanta-ip,1,2,22.420910458833685,13.398398207,20
b1c1s1,1,3,62.53230151664475,0.274321686,20
bab2,1,2,60.060677122533285,401.274803525,315
bab6,1,2,31.68930866453399,97.993814814,116
beasleyC3,1,3,9.375,0.120028644,20
binkar10_1,1,3,5.162727369493759,0.090253024,20
blp-ar98,1,2,43.5409536685713,1.809213705,16
blp-ic98,1,1,24.97688448698636,0.46862564,3
bnatt400,0,3,100,165.574201905,699
bppc4-08,1,1,33.75,0.11500531,5
brazil3,1,2,89.56521739130434,59.346815617,42
buildingenergy,1,2,1.3721252975256704,141.735702799,3
cap6000,1,1,0.34984418961261365,0.028648597,1
cbs-cta,1,3,100.0,1.142253735,20
chromaticindex1024-7,1,1,0.0,60.979862704,5
chromaticindex512-7,1,1,0.0,59.658837992,5
cmflsp50-24-8-8,0,3,100,175.550834177,889
co-100,1,2,75.10920510233572,4.114518701,12
cod105,1,1,100.0,1.663313559,1
comp07-2idx,1,2,98.2089552238806,4.867016065,11
comp21-2idx,1,2,77.57575757575758,11.608690365,56
cost266-UUE,1,3,40.12386004395456,0.353370076,20
cryptanalysiskb128n5obj16,0,0,0,3603.123623689,0
csched007,1,2,38.63636363636363,5.477130719,442
csched008,1,3,5.978260869565218,0.774044756,20
cvs16r128-89,1,1,97.9381443298969,0.8715454,1
dano3_3,1,1,0.01038420532413522,18.603510473,2
dano3_5,1,1,0.3163367627454773,19.392560684,2
dano3mip,1,1,13.375630388807545,23.373559896,5
